result/tencentBlock.ns9705.oracleGeneral.zst S4LRU(25:25:25:25) cache size      584, 2633396 req, miss ratio 0.1061, byte miss ratio 0.1061
result/tencentBlock.ns9705.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1753, 2633396 req, miss ratio 0.0897, byte miss ratio 0.0897
result/tencentBlock.ns9705.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5845, 2633396 req, miss ratio 0.0745, byte miss ratio 0.0745
result/tencentBlock.ns9705.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11691, 2633396 req, miss ratio 0.0599, byte miss ratio 0.0599
result/tencentBlock.ns9705.oracleGeneral.zst S4LRU(25:25:25:25) cache size    23382, 2633396 req, miss ratio 0.0398, byte miss ratio 0.0398
result/tencentBlock.ns9705.oracleGeneral.zst S4LRU(25:25:25:25) cache size    46765, 2633396 req, miss ratio 0.0239, byte miss ratio 0.0239
result/tencentBlock.ns9705.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       58, 2633396 req, miss ratio 0.6465, byte miss ratio 0.6465
result/tencentBlock.ns9705.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      175, 2633396 req, miss ratio 0.4002, byte miss ratio 0.4002
result/tencentBlock.ns9705.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      584, 2633396 req, miss ratio 0.1142, byte miss ratio 0.1142
result/tencentBlock.ns9705.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1753, 2633396 req, miss ratio 0.0942, byte miss ratio 0.0942
result/tencentBlock.ns9705.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5845, 2633396 req, miss ratio 0.0768, byte miss ratio 0.0768
result/tencentBlock.ns9705.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11691, 2633396 req, miss ratio 0.0610, byte miss ratio 0.0610
result/tencentBlock.ns9705.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    23382, 2633396 req, miss ratio 0.0439, byte miss ratio 0.0439
result/tencentBlock.ns9705.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    46765, 2633396 req, miss ratio 0.0289, byte miss ratio 0.0289
result/tencentBlock.ns9705.oracleGeneral.zst TwoQ cache size       58, 2633396 req, miss ratio 0.5251, byte miss ratio 0.5251
result/tencentBlock.ns9705.oracleGeneral.zst TwoQ cache size      175, 2633396 req, miss ratio 0.3242, byte miss ratio 0.3242
