result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO-d cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3424.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size        8, 2027971 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3424.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       25, 2027971 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3424.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       84, 2027971 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3424.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      168, 2027971 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn2_allcolo.ns3424.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      337, 2027971 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns3424.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3424.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size        8, 2027971 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3424.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       25, 2027971 req, miss ratio 0.0070, byte miss ratio 0.0070
result/cdn2_allcolo.ns3424.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       84, 2027971 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_allcolo.ns3424.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      168, 2027971 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns3424.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      337, 2027971 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns3424.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
