result/io_traces.ns34.oracleGeneral.zst S3FIFO-d cache size   325263, 18800000 req, miss ratio 0.0975, byte miss ratio 0.0975
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d cache size   650527, 18800000 req, miss ratio 0.0928, byte miss ratio 0.0928
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d cache size  1301055, 18800000 req, miss ratio 0.0872, byte miss ratio 0.0872
result/io_traces.ns34.oracleGeneral.zst S3FIFO cache size     1626, 18800000 req, miss ratio 0.1163, byte miss ratio 0.1163
result/io_traces.ns34.oracleGeneral.zst S3FIFO cache size     4878, 18800000 req, miss ratio 0.1147, byte miss ratio 0.1147
result/io_traces.ns34.oracleGeneral.zst S3FIFO cache size    16263, 18800000 req, miss ratio 0.1094, byte miss ratio 0.1094
result/io_traces.ns34.oracleGeneral.zst S3FIFO cache size    48789, 18800000 req, miss ratio 0.1074, byte miss ratio 0.1074
result/io_traces.ns34.oracleGeneral.zst S3FIFO cache size   162631, 18800000 req, miss ratio 0.1009, byte miss ratio 0.1009
result/io_traces.ns34.oracleGeneral.zst S3FIFO cache size   325263, 18800000 req, miss ratio 0.0975, byte miss ratio 0.0975
result/io_traces.ns34.oracleGeneral.zst S3FIFO cache size   650527, 18800000 req, miss ratio 0.0928, byte miss ratio 0.0928
result/io_traces.ns34.oracleGeneral.zst S3FIFO cache size  1301055, 18800000 req, miss ratio 0.0872, byte miss ratio 0.0872
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1626, 18800000 req, miss ratio 0.1277, byte miss ratio 0.1277
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4878, 18800000 req, miss ratio 0.1178, byte miss ratio 0.1178
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    16263, 18800000 req, miss ratio 0.1107, byte miss ratio 0.1107
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    48789, 18800000 req, miss ratio 0.1073, byte miss ratio 0.1073
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   162631, 18800000 req, miss ratio 0.1020, byte miss ratio 0.1020
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   325263, 18800000 req, miss ratio 0.0982, byte miss ratio 0.0982
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   650527, 18800000 req, miss ratio 0.0922, byte miss ratio 0.0922
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1301055, 18800000 req, miss ratio 0.0873, byte miss ratio 0.0873
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1626, 18800000 req, miss ratio 0.1187, byte miss ratio 0.1187
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4878, 18800000 req, miss ratio 0.1144, byte miss ratio 0.1144
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    16263, 18800000 req, miss ratio 0.1109, byte miss ratio 0.1109
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    48789, 18800000 req, miss ratio 0.1075, byte miss ratio 0.1075
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   162631, 18800000 req, miss ratio 0.1021, byte miss ratio 0.1021
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   325263, 18800000 req, miss ratio 0.0986, byte miss ratio 0.0986
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   650527, 18800000 req, miss ratio 0.0932, byte miss ratio 0.0932
result/io_traces.ns34.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1301055, 18800000 req, miss ratio 0.0877, byte miss ratio 0.0877
