result/ibis_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  3442991, 314957022 req, miss ratio 0.0292, byte miss ratio 0.0292
result/ibis_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  6885982, 314957022 req, miss ratio 0.0284, byte miss ratio 0.0284
result/ibis_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     8607, 314957022 req, miss ratio 0.1030, byte miss ratio 0.1030
result/ibis_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    25822, 314957022 req, miss ratio 0.0856, byte miss ratio 0.0856
result/ibis_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    86074, 314957022 req, miss ratio 0.0716, byte miss ratio 0.0716
result/ibis_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   258224, 314957022 req, miss ratio 0.0586, byte miss ratio 0.0586
result/ibis_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   860747, 314957022 req, miss ratio 0.0413, byte miss ratio 0.0413
result/ibis_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1721495, 314957022 req, miss ratio 0.0297, byte miss ratio 0.0297
result/ibis_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3442991, 314957022 req, miss ratio 0.0277, byte miss ratio 0.0277
result/ibis_api_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  6885982, 314957022 req, miss ratio 0.0273, byte miss ratio 0.0273
result/ibis_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size     8607, 314957022 req, miss ratio 0.1063, byte miss ratio 0.1063
result/ibis_api_cache.0.oracleGeneral.sample10.zst TwoQ cache size    25822, 314957022 req, miss ratio 0.0881, byte miss ratio 0.0881
