result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO-d cache size       61, 1000762 req, miss ratio 0.0244, byte miss ratio 0.0244
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO-d cache size      204, 1000762 req, miss ratio 0.0158, byte miss ratio 0.0158
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO-d cache size      409, 1000762 req, miss ratio 0.0094, byte miss ratio 0.0094
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO-d cache size      818, 1000762 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO-d cache size     1636, 1000762 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size        6, 1000762 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       20, 1000762 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size       61, 1000762 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      204, 1000762 req, miss ratio 0.0160, byte miss ratio 0.0160
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      409, 1000762 req, miss ratio 0.0090, byte miss ratio 0.0090
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      818, 1000762 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1636, 1000762 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size        6, 1000762 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       20, 1000762 req, miss ratio 0.0307, byte miss ratio 0.0307
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size       61, 1000762 req, miss ratio 0.0243, byte miss ratio 0.0243
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      204, 1000762 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      409, 1000762 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      818, 1000762 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn1_nyc.ns338.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1636, 1000762 req, miss ratio 0.0024, byte miss ratio 0.0024
