result/cdn2_colo28.ns509.oracleGeneral.zst LRB cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst LRB cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5565, 11140819 req, miss ratio 0.5090, byte miss ratio 0.5090
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16695, 11140819 req, miss ratio 0.5029, byte miss ratio 0.5029
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    55651, 11140819 req, miss ratio 0.5004, byte miss ratio 0.5004
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   166955, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   556519, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1113039, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst TwoQ cache size     5565, 11140819 req, miss ratio 0.5006, byte miss ratio 0.5006
result/cdn2_colo28.ns509.oracleGeneral.zst TwoQ cache size    16695, 11140819 req, miss ratio 0.5000, byte miss ratio 0.5000
result/cdn2_colo28.ns509.oracleGeneral.zst TwoQ cache size    55651, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn2_colo28.ns509.oracleGeneral.zst TwoQ cache size   166955, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst TwoQ cache size   556519, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst TwoQ cache size  1113039, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst TwoQ cache size  2226078, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst TwoQ cache size  4452156, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5565, 11140819 req, miss ratio 0.5008, byte miss ratio 0.5008
result/cdn2_colo28.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size    16695, 11140819 req, miss ratio 0.5001, byte miss ratio 0.5001
result/cdn2_colo28.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size    55651, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn2_colo28.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size   166955, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size   556519, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1113039, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S4LRU(25:25:25:25) cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst B-LRU cache size     5565, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst B-LRU cache size    16695, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst B-LRU cache size    55651, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst B-LRU cache size   166955, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst B-LRU cache size   556519, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst B-LRU cache size  1113039, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst B-LRU cache size  2226078, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst B-LRU cache size  4452156, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO cache size     5565, 11140819 req, miss ratio 0.5002, byte miss ratio 0.5002
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO cache size    16695, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO cache size    55651, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO cache size   166955, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO cache size   556519, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO cache size  1113039, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d cache size     5565, 11140819 req, miss ratio 0.5002, byte miss ratio 0.5002
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d cache size    16695, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d cache size    55651, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d cache size   166955, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d cache size   556519, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d cache size  1113039, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d cache size  2226078, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst S3FIFO-d cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5565, 11140819 req, miss ratio 0.5005, byte miss ratio 0.5005
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    16695, 11140819 req, miss ratio 0.5001, byte miss ratio 0.5001
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    55651, 11140819 req, miss ratio 0.5000, byte miss ratio 0.5000
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   166955, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   556519, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1113039, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  2226078, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  4452156, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5565, 11140819 req, miss ratio 0.5006, byte miss ratio 0.5006
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    16695, 11140819 req, miss ratio 0.5002, byte miss ratio 0.5002
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    55651, 11140819 req, miss ratio 0.5000, byte miss ratio 0.5000
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   166955, 11140819 req, miss ratio 0.4998, byte miss ratio 0.4998
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   556519, 11140819 req, miss ratio 0.4997, byte miss ratio 0.4997
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1113039, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  2226078, 11140819 req, miss ratio 0.4996, byte miss ratio 0.4996
result/cdn2_colo28.ns509.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  4452156, 11140819 req, miss ratio 0.4995, byte miss ratio 0.4995
