result/tencentBlock.ns11753.oracleGeneral.zst LRB cache size       54, 1573928 req, miss ratio 0.2423, byte miss ratio 0.2423
result/tencentBlock.ns11753.oracleGeneral.zst LRB cache size      163, 1573928 req, miss ratio 0.1531, byte miss ratio 0.1531
result/tencentBlock.ns11753.oracleGeneral.zst LRB cache size      545, 1573928 req, miss ratio 0.1209, byte miss ratio 0.1209
result/tencentBlock.ns11753.oracleGeneral.zst LRB cache size     1635, 1573928 req, miss ratio 0.1048, byte miss ratio 0.1048
result/tencentBlock.ns11753.oracleGeneral.zst LRB cache size     5452, 1573928 req, miss ratio 0.0872, byte miss ratio 0.0872
result/tencentBlock.ns11753.oracleGeneral.zst LRB cache size    10904, 1573928 req, miss ratio 0.0723, byte miss ratio 0.0723
result/tencentBlock.ns11753.oracleGeneral.zst LRB cache size    21808, 1573928 req, miss ratio 0.0487, byte miss ratio 0.0487
result/tencentBlock.ns11753.oracleGeneral.zst LRB cache size    43616, 1573928 req, miss ratio 0.0352, byte miss ratio 0.0352
result/tencentBlock.ns11753.oracleGeneral.zst B-LRU cache size       54, 1573928 req, miss ratio 0.2737, byte miss ratio 0.2737
result/tencentBlock.ns11753.oracleGeneral.zst B-LRU cache size      163, 1573928 req, miss ratio 0.1789, byte miss ratio 0.1789
result/tencentBlock.ns11753.oracleGeneral.zst B-LRU cache size      545, 1573928 req, miss ratio 0.1500, byte miss ratio 0.1500
result/tencentBlock.ns11753.oracleGeneral.zst B-LRU cache size     1635, 1573928 req, miss ratio 0.1368, byte miss ratio 0.1368
result/tencentBlock.ns11753.oracleGeneral.zst B-LRU cache size     5452, 1573928 req, miss ratio 0.1094, byte miss ratio 0.1094
result/tencentBlock.ns11753.oracleGeneral.zst B-LRU cache size    10904, 1573928 req, miss ratio 0.1001, byte miss ratio 0.1001
result/tencentBlock.ns11753.oracleGeneral.zst B-LRU cache size    21808, 1573928 req, miss ratio 0.0756, byte miss ratio 0.0756
result/tencentBlock.ns11753.oracleGeneral.zst B-LRU cache size    43616, 1573928 req, miss ratio 0.0657, byte miss ratio 0.0657
result/tencentBlock.ns11753.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       54, 1573928 req, miss ratio 0.3500, byte miss ratio 0.3500
result/tencentBlock.ns11753.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      163, 1573928 req, miss ratio 0.1818, byte miss ratio 0.1818
result/tencentBlock.ns11753.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      545, 1573928 req, miss ratio 0.1413, byte miss ratio 0.1413
result/tencentBlock.ns11753.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1635, 1573928 req, miss ratio 0.1250, byte miss ratio 0.1250
result/tencentBlock.ns11753.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5452, 1573928 req, miss ratio 0.1084, byte miss ratio 0.1084
result/tencentBlock.ns11753.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10904, 1573928 req, miss ratio 0.0925, byte miss ratio 0.0925
