result/cdn2_allcolo.ns3111.oracleGeneral.zst LRB cache size    18707, 2193373 req, miss ratio 0.0146, byte miss ratio 0.0146
result/cdn2_allcolo.ns3111.oracleGeneral.zst S4LRU(25:25:25:25) cache size       23, 2193373 req, miss ratio 0.7403, byte miss ratio 0.7403
result/cdn2_allcolo.ns3111.oracleGeneral.zst S4LRU(25:25:25:25) cache size       70, 2193373 req, miss ratio 0.6049, byte miss ratio 0.6049
result/cdn2_allcolo.ns3111.oracleGeneral.zst S4LRU(25:25:25:25) cache size      233, 2193373 req, miss ratio 0.4600, byte miss ratio 0.4600
result/cdn2_allcolo.ns3111.oracleGeneral.zst S4LRU(25:25:25:25) cache size      701, 2193373 req, miss ratio 0.3373, byte miss ratio 0.3373
result/cdn2_allcolo.ns3111.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2338, 2193373 req, miss ratio 0.2057, byte miss ratio 0.2057
result/cdn2_allcolo.ns3111.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4676, 2193373 req, miss ratio 0.1266, byte miss ratio 0.1266
result/cdn2_allcolo.ns3111.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9353, 2193373 req, miss ratio 0.0566, byte miss ratio 0.0566
result/cdn2_allcolo.ns3111.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18707, 2193373 req, miss ratio 0.0133, byte miss ratio 0.0133
result/cdn2_allcolo.ns3111.oracleGeneral.zst B-LRU cache size       23, 2193373 req, miss ratio 0.7974, byte miss ratio 0.7974
result/cdn2_allcolo.ns3111.oracleGeneral.zst B-LRU cache size       70, 2193373 req, miss ratio 0.6739, byte miss ratio 0.6739
result/cdn2_allcolo.ns3111.oracleGeneral.zst B-LRU cache size      233, 2193373 req, miss ratio 0.5201, byte miss ratio 0.5201
result/cdn2_allcolo.ns3111.oracleGeneral.zst B-LRU cache size      701, 2193373 req, miss ratio 0.3804, byte miss ratio 0.3804
result/cdn2_allcolo.ns3111.oracleGeneral.zst B-LRU cache size     2338, 2193373 req, miss ratio 0.2326, byte miss ratio 0.2326
result/cdn2_allcolo.ns3111.oracleGeneral.zst B-LRU cache size     4676, 2193373 req, miss ratio 0.1447, byte miss ratio 0.1447
result/cdn2_allcolo.ns3111.oracleGeneral.zst B-LRU cache size     9353, 2193373 req, miss ratio 0.0659, byte miss ratio 0.0659
result/cdn2_allcolo.ns3111.oracleGeneral.zst B-LRU cache size    18707, 2193373 req, miss ratio 0.0216, byte miss ratio 0.0216
result/cdn2_allcolo.ns3111.oracleGeneral.zst TwoQ cache size       23, 2193373 req, miss ratio 0.7413, byte miss ratio 0.7413
result/cdn2_allcolo.ns3111.oracleGeneral.zst TwoQ cache size       70, 2193373 req, miss ratio 0.6003, byte miss ratio 0.6003
result/cdn2_allcolo.ns3111.oracleGeneral.zst TwoQ cache size      233, 2193373 req, miss ratio 0.4500, byte miss ratio 0.4500
result/cdn2_allcolo.ns3111.oracleGeneral.zst TwoQ cache size      701, 2193373 req, miss ratio 0.3304, byte miss ratio 0.3304
result/cdn2_allcolo.ns3111.oracleGeneral.zst TwoQ cache size     2338, 2193373 req, miss ratio 0.2067, byte miss ratio 0.2067
result/cdn2_allcolo.ns3111.oracleGeneral.zst TwoQ cache size     4676, 2193373 req, miss ratio 0.1335, byte miss ratio 0.1335
result/cdn2_allcolo.ns3111.oracleGeneral.zst TwoQ cache size     9353, 2193373 req, miss ratio 0.0654, byte miss ratio 0.0654
result/cdn2_allcolo.ns3111.oracleGeneral.zst TwoQ cache size    18707, 2193373 req, miss ratio 0.0184, byte miss ratio 0.0184
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       23, 2193373 req, miss ratio 0.8067, byte miss ratio 0.8067
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       70, 2193373 req, miss ratio 0.7019, byte miss ratio 0.7019
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      233, 2193373 req, miss ratio 0.5148, byte miss ratio 0.5148
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      701, 2193373 req, miss ratio 0.3717, byte miss ratio 0.3717
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2338, 2193373 req, miss ratio 0.2267, byte miss ratio 0.2267
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4676, 2193373 req, miss ratio 0.1407, byte miss ratio 0.1407
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9353, 2193373 req, miss ratio 0.0647, byte miss ratio 0.0647
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18707, 2193373 req, miss ratio 0.0173, byte miss ratio 0.0173
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO cache size       23, 2193373 req, miss ratio 0.7300, byte miss ratio 0.7300
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO cache size       70, 2193373 req, miss ratio 0.5954, byte miss ratio 0.5954
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO cache size      233, 2193373 req, miss ratio 0.4403, byte miss ratio 0.4403
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO cache size      701, 2193373 req, miss ratio 0.3196, byte miss ratio 0.3196
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO cache size     2338, 2193373 req, miss ratio 0.1969, byte miss ratio 0.1969
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO cache size     4676, 2193373 req, miss ratio 0.1238, byte miss ratio 0.1238
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO cache size     9353, 2193373 req, miss ratio 0.0559, byte miss ratio 0.0559
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO cache size    18707, 2193373 req, miss ratio 0.0135, byte miss ratio 0.0135
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d cache size       23, 2193373 req, miss ratio 0.7472, byte miss ratio 0.7472
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d cache size       70, 2193373 req, miss ratio 0.6133, byte miss ratio 0.6133
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d cache size      233, 2193373 req, miss ratio 0.4504, byte miss ratio 0.4504
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d cache size      701, 2193373 req, miss ratio 0.3238, byte miss ratio 0.3238
