result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-1 cache size    60857, 9434426 req, miss ratio 0.7597, byte miss ratio 0.7597
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-1 cache size   182572, 9434426 req, miss ratio 0.7304, byte miss ratio 0.7304
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-1 cache size   608575, 9434426 req, miss ratio 0.6986, byte miss ratio 0.6986
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-1 cache size  1217151, 9434426 req, miss ratio 0.6736, byte miss ratio 0.6736
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-1 cache size  2434303, 9434426 req, miss ratio 0.6566, byte miss ratio 0.6566
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-1 cache size  4868606, 9434426 req, miss ratio 0.6456, byte miss ratio 0.6456
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO cache size     6085, 9434426 req, miss ratio 0.8394, byte miss ratio 0.8394
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO cache size    18257, 9434426 req, miss ratio 0.8148, byte miss ratio 0.8148
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO cache size    60857, 9434426 req, miss ratio 0.7869, byte miss ratio 0.7869
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO cache size   182572, 9434426 req, miss ratio 0.7572, byte miss ratio 0.7572
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO cache size   608575, 9434426 req, miss ratio 0.7102, byte miss ratio 0.7102
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO cache size  1217151, 9434426 req, miss ratio 0.6885, byte miss ratio 0.6885
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO cache size  2434303, 9434426 req, miss ratio 0.6662, byte miss ratio 0.6662
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO cache size  4868606, 9434426 req, miss ratio 0.6489, byte miss ratio 0.6489
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d-1 cache size     6085, 9434426 req, miss ratio 0.8135, byte miss ratio 0.8135
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d-1 cache size    18257, 9434426 req, miss ratio 0.7884, byte miss ratio 0.7884
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d-1 cache size    60857, 9434426 req, miss ratio 0.7587, byte miss ratio 0.7587
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d-1 cache size   182572, 9434426 req, miss ratio 0.7296, byte miss ratio 0.7296
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d-1 cache size   608575, 9434426 req, miss ratio 0.6973, byte miss ratio 0.6973
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d-1 cache size  1217151, 9434426 req, miss ratio 0.6736, byte miss ratio 0.6736
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d-1 cache size  2434303, 9434426 req, miss ratio 0.6566, byte miss ratio 0.6566
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-d-1 cache size  4868606, 9434426 req, miss ratio 0.6456, byte miss ratio 0.6456
result/cdn2_colo28.ns290.oracleGeneral.zst LRB cache size     6085, 9434426 req, miss ratio 0.8119, byte miss ratio 0.8119
result/cdn2_colo28.ns290.oracleGeneral.zst LRB cache size    18257, 9434426 req, miss ratio 0.7906, byte miss ratio 0.7906
result/cdn2_colo28.ns290.oracleGeneral.zst LRB cache size    60857, 9434426 req, miss ratio 0.7694, byte miss ratio 0.7694
result/cdn2_colo28.ns290.oracleGeneral.zst LRB cache size   182572, 9434426 req, miss ratio 0.7434, byte miss ratio 0.7434
result/cdn2_colo28.ns290.oracleGeneral.zst LRB cache size   608575, 9434426 req, miss ratio 0.6995, byte miss ratio 0.6995
result/cdn2_colo28.ns290.oracleGeneral.zst LRB cache size  1217151, 9434426 req, miss ratio 0.6799, byte miss ratio 0.6799
result/cdn2_colo28.ns290.oracleGeneral.zst LRB cache size  2434303, 9434426 req, miss ratio 0.6582, byte miss ratio 0.6582
result/cdn2_colo28.ns290.oracleGeneral.zst LRB cache size  4868606, 9434426 req, miss ratio 0.6457, byte miss ratio 0.6457
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6085, 9434426 req, miss ratio 0.8259, byte miss ratio 0.8259
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    18257, 9434426 req, miss ratio 0.8036, byte miss ratio 0.8036
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    60857, 9434426 req, miss ratio 0.7752, byte miss ratio 0.7752
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   182572, 9434426 req, miss ratio 0.7448, byte miss ratio 0.7448
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   608575, 9434426 req, miss ratio 0.7055, byte miss ratio 0.7055
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1217151, 9434426 req, miss ratio 0.6802, byte miss ratio 0.6802
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2434303, 9434426 req, miss ratio 0.6594, byte miss ratio 0.6594
result/cdn2_colo28.ns290.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  4868606, 9434426 req, miss ratio 0.6465, byte miss ratio 0.6465
result/cdn2_colo28.ns290.oracleGeneral.zst TwoQ cache size     6085, 9434426 req, miss ratio 0.8093, byte miss ratio 0.8093
result/cdn2_colo28.ns290.oracleGeneral.zst TwoQ cache size    18257, 9434426 req, miss ratio 0.7871, byte miss ratio 0.7871
