result/tencentBlock.ns3799.oracleGeneral.zst Cacheus cache size    11992, 3402055 req, miss ratio 0.1310, byte miss ratio 0.1310
result/tencentBlock.ns3799.oracleGeneral.zst Cacheus cache size    23985, 3402055 req, miss ratio 0.1286, byte miss ratio 0.1286
result/tencentBlock.ns3799.oracleGeneral.zst Cacheus cache size    47970, 3402055 req, miss ratio 0.0757, byte miss ratio 0.0757
result/tencentBlock.ns3799.oracleGeneral.zst Cacheus cache size    95940, 3402055 req, miss ratio 0.0361, byte miss ratio 0.0361
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d-1 cache size      119, 3402055 req, miss ratio 0.3124, byte miss ratio 0.3124
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d-1 cache size      359, 3402055 req, miss ratio 0.1866, byte miss ratio 0.1866
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d-1 cache size     1199, 3402055 req, miss ratio 0.1605, byte miss ratio 0.1605
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d-1 cache size     3597, 3402055 req, miss ratio 0.1390, byte miss ratio 0.1390
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d-1 cache size    11992, 3402055 req, miss ratio 0.1280, byte miss ratio 0.1280
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d-1 cache size    23985, 3402055 req, miss ratio 0.1128, byte miss ratio 0.1128
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d-1 cache size    47970, 3402055 req, miss ratio 0.0740, byte miss ratio 0.0740
result/tencentBlock.ns3799.oracleGeneral.zst S3FIFO-d-1 cache size    95940, 3402055 req, miss ratio 0.0360, byte miss ratio 0.0360
result/tencentBlock.ns3799.oracleGeneral.zst LRB cache size      119, 3402055 req, miss ratio 0.3372, byte miss ratio 0.3372
result/tencentBlock.ns3799.oracleGeneral.zst LRB cache size      359, 3402055 req, miss ratio 0.1953, byte miss ratio 0.1953
result/tencentBlock.ns3799.oracleGeneral.zst LRB cache size     1199, 3402055 req, miss ratio 0.1555, byte miss ratio 0.1555
result/tencentBlock.ns3799.oracleGeneral.zst LRB cache size     3597, 3402055 req, miss ratio 0.1404, byte miss ratio 0.1404
result/tencentBlock.ns3799.oracleGeneral.zst LRB cache size    11992, 3402055 req, miss ratio 0.1247, byte miss ratio 0.1247
result/tencentBlock.ns3799.oracleGeneral.zst LRB cache size    23985, 3402055 req, miss ratio 0.1048, byte miss ratio 0.1048
result/tencentBlock.ns3799.oracleGeneral.zst LRB cache size    47970, 3402055 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns3799.oracleGeneral.zst LRB cache size    95940, 3402055 req, miss ratio 0.0382, byte miss ratio 0.0382
result/tencentBlock.ns3799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      119, 3402055 req, miss ratio 0.4329, byte miss ratio 0.4329
result/tencentBlock.ns3799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      359, 3402055 req, miss ratio 0.2196, byte miss ratio 0.2196
result/tencentBlock.ns3799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1199, 3402055 req, miss ratio 0.1763, byte miss ratio 0.1763
result/tencentBlock.ns3799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3597, 3402055 req, miss ratio 0.1567, byte miss ratio 0.1567
result/tencentBlock.ns3799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11992, 3402055 req, miss ratio 0.1370, byte miss ratio 0.1370
result/tencentBlock.ns3799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    23985, 3402055 req, miss ratio 0.1228, byte miss ratio 0.1228
result/tencentBlock.ns3799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    47970, 3402055 req, miss ratio 0.0929, byte miss ratio 0.0929
result/tencentBlock.ns3799.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    95940, 3402055 req, miss ratio 0.0464, byte miss ratio 0.0464
