result/tencentBlock.ns3162.oracleGeneral.zst clock2 cache size       90, 1827413 req, miss ratio 0.3401, byte miss ratio 0.3401
result/tencentBlock.ns3162.oracleGeneral.zst clock2 cache size      272, 1827413 req, miss ratio 0.3131, byte miss ratio 0.3131
result/tencentBlock.ns3162.oracleGeneral.zst clock2 cache size      908, 1827413 req, miss ratio 0.2980, byte miss ratio 0.2980
result/tencentBlock.ns3162.oracleGeneral.zst clock2 cache size     2725, 1827413 req, miss ratio 0.2137, byte miss ratio 0.2137
result/tencentBlock.ns3162.oracleGeneral.zst clock2 cache size     9084, 1827413 req, miss ratio 0.1502, byte miss ratio 0.1502
result/tencentBlock.ns3162.oracleGeneral.zst clock2 cache size    18169, 1827413 req, miss ratio 0.1261, byte miss ratio 0.1261
result/tencentBlock.ns3162.oracleGeneral.zst clock2 cache size    36338, 1827413 req, miss ratio 0.0675, byte miss ratio 0.0675
result/tencentBlock.ns3162.oracleGeneral.zst clock2 cache size    72677, 1827413 req, miss ratio 0.0500, byte miss ratio 0.0500
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d-1 cache size       90, 1827413 req, miss ratio 0.3215, byte miss ratio 0.3215
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d-1 cache size      272, 1827413 req, miss ratio 0.3063, byte miss ratio 0.3063
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d-1 cache size      908, 1827413 req, miss ratio 0.2810, byte miss ratio 0.2810
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d-1 cache size     2725, 1827413 req, miss ratio 0.1900, byte miss ratio 0.1900
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d-1 cache size     9084, 1827413 req, miss ratio 0.1287, byte miss ratio 0.1287
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d-1 cache size    18169, 1827413 req, miss ratio 0.1063, byte miss ratio 0.1063
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d-1 cache size    36338, 1827413 req, miss ratio 0.0599, byte miss ratio 0.0599
result/tencentBlock.ns3162.oracleGeneral.zst S3FIFO-d-1 cache size    72677, 1827413 req, miss ratio 0.0500, byte miss ratio 0.0500
result/tencentBlock.ns3162.oracleGeneral.zst LRB cache size       90, 1827413 req, miss ratio 0.3851, byte miss ratio 0.3851
result/tencentBlock.ns3162.oracleGeneral.zst LRB cache size      272, 1827413 req, miss ratio 0.3299, byte miss ratio 0.3299
result/tencentBlock.ns3162.oracleGeneral.zst LRB cache size      908, 1827413 req, miss ratio 0.2789, byte miss ratio 0.2789
result/tencentBlock.ns3162.oracleGeneral.zst LRB cache size     2725, 1827413 req, miss ratio 0.1777, byte miss ratio 0.1777
result/tencentBlock.ns3162.oracleGeneral.zst LRB cache size     9084, 1827413 req, miss ratio 0.1215, byte miss ratio 0.1215
result/tencentBlock.ns3162.oracleGeneral.zst LRB cache size    18169, 1827413 req, miss ratio 0.0970, byte miss ratio 0.0970
result/tencentBlock.ns3162.oracleGeneral.zst LRB cache size    36338, 1827413 req, miss ratio 0.0754, byte miss ratio 0.0754
result/tencentBlock.ns3162.oracleGeneral.zst LRB cache size    72677, 1827413 req, miss ratio 0.0503, byte miss ratio 0.0503
result/tencentBlock.ns3162.oracleGeneral.zst S4LRU(25:25:25:25) cache size       90, 1827413 req, miss ratio 0.3269, byte miss ratio 0.3269
result/tencentBlock.ns3162.oracleGeneral.zst S4LRU(25:25:25:25) cache size      272, 1827413 req, miss ratio 0.3126, byte miss ratio 0.3126
result/tencentBlock.ns3162.oracleGeneral.zst S4LRU(25:25:25:25) cache size      908, 1827413 req, miss ratio 0.2971, byte miss ratio 0.2971
result/tencentBlock.ns3162.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2725, 1827413 req, miss ratio 0.2775, byte miss ratio 0.2775
result/tencentBlock.ns3162.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9084, 1827413 req, miss ratio 0.1398, byte miss ratio 0.1398
