result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LRB cache size  1349396, 468248714 req, miss ratio 0.0457, byte miss ratio 0.0457
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LRB cache size  2698792, 468248714 req, miss ratio 0.0288, byte miss ratio 0.0288
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LRB cache size  5397585, 468248714 req, miss ratio 0.0151, byte miss ratio 0.0151
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst TwoQ cache size     6746, 468248714 req, miss ratio 0.4478, byte miss ratio 0.4478
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst TwoQ cache size    20240, 468248714 req, miss ratio 0.3229, byte miss ratio 0.3229
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst TwoQ cache size    67469, 468248714 req, miss ratio 0.2117, byte miss ratio 0.2117
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst TwoQ cache size   202409, 468248714 req, miss ratio 0.1353, byte miss ratio 0.1353
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst TwoQ cache size   674698, 468248714 req, miss ratio 0.0787, byte miss ratio 0.0787
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst TwoQ cache size  1349396, 468248714 req, miss ratio 0.0532, byte miss ratio 0.0532
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst TwoQ cache size  2698792, 468248714 req, miss ratio 0.0314, byte miss ratio 0.0314
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst TwoQ cache size  5397585, 468248714 req, miss ratio 0.0193, byte miss ratio 0.0193
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst B-LRU cache size     6746, 468248714 req, miss ratio 0.4912, byte miss ratio 0.4912
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst B-LRU cache size    20240, 468248714 req, miss ratio 0.3558, byte miss ratio 0.3558
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst B-LRU cache size    67469, 468248714 req, miss ratio 0.2316, byte miss ratio 0.2316
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst B-LRU cache size   202409, 468248714 req, miss ratio 0.1469, byte miss ratio 0.1469
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst B-LRU cache size   674698, 468248714 req, miss ratio 0.0837, byte miss ratio 0.0837
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst B-LRU cache size  1349396, 468248714 req, miss ratio 0.0581, byte miss ratio 0.0581
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst B-LRU cache size  2698792, 468248714 req, miss ratio 0.0318, byte miss ratio 0.0318
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst B-LRU cache size  5397585, 468248714 req, miss ratio 0.0242, byte miss ratio 0.0242
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     6746, 468248714 req, miss ratio 0.4474, byte miss ratio 0.4474
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    20240, 468248714 req, miss ratio 0.3223, byte miss ratio 0.3223
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    67469, 468248714 req, miss ratio 0.2093, byte miss ratio 0.2093
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   202409, 468248714 req, miss ratio 0.1324, byte miss ratio 0.1324
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   674698, 468248714 req, miss ratio 0.0755, byte miss ratio 0.0755
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1349396, 468248714 req, miss ratio 0.0490, byte miss ratio 0.0490
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2698792, 468248714 req, miss ratio 0.0267, byte miss ratio 0.0267
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  5397585, 468248714 req, miss ratio 0.0150, byte miss ratio 0.0150
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     6746, 468248714 req, miss ratio 0.4844, byte miss ratio 0.4844
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    20240, 468248714 req, miss ratio 0.3509, byte miss ratio 0.3509
