result/io_traces.ns453.oracleGeneral.zst LRU cache size    14954, 2600000 req, miss ratio 0.3317, byte miss ratio 0.3317
result/io_traces.ns453.oracleGeneral.zst LRU cache size    29908, 2600000 req, miss ratio 0.1154, byte miss ratio 0.1154
result/io_traces.ns453.oracleGeneral.zst ARC cache size       37, 2600000 req, miss ratio 0.9894, byte miss ratio 0.9894
result/io_traces.ns453.oracleGeneral.zst ARC cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst ARC cache size      373, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst ARC cache size     1121, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst ARC cache size     3738, 2600000 req, miss ratio 0.4814, byte miss ratio 0.4814
result/io_traces.ns453.oracleGeneral.zst ARC cache size     7477, 2600000 req, miss ratio 0.4448, byte miss ratio 0.4448
result/io_traces.ns453.oracleGeneral.zst ARC cache size    14954, 2600000 req, miss ratio 0.3428, byte miss ratio 0.3428
result/io_traces.ns453.oracleGeneral.zst ARC cache size    29908, 2600000 req, miss ratio 0.1154, byte miss ratio 0.1154
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d-1 cache size       37, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d-1 cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d-1 cache size      373, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d-1 cache size     1121, 2600000 req, miss ratio 0.8604, byte miss ratio 0.8604
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d-1 cache size     3738, 2600000 req, miss ratio 0.4921, byte miss ratio 0.4921
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d-1 cache size     7477, 2600000 req, miss ratio 0.4389, byte miss ratio 0.4389
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d-1 cache size    14954, 2600000 req, miss ratio 0.3450, byte miss ratio 0.3450
result/io_traces.ns453.oracleGeneral.zst S3FIFO-d-1 cache size    29908, 2600000 req, miss ratio 0.1196, byte miss ratio 0.1196
result/io_traces.ns453.oracleGeneral.zst LRB cache size       37, 2600000 req, miss ratio 0.9865, byte miss ratio 0.9865
result/io_traces.ns453.oracleGeneral.zst LRB cache size      112, 2600000 req, miss ratio 0.9746, byte miss ratio 0.9746
result/io_traces.ns453.oracleGeneral.zst LRB cache size      373, 2600000 req, miss ratio 0.9357, byte miss ratio 0.9357
result/io_traces.ns453.oracleGeneral.zst LRB cache size     1121, 2600000 req, miss ratio 0.8126, byte miss ratio 0.8126
result/io_traces.ns453.oracleGeneral.zst LRB cache size     3738, 2600000 req, miss ratio 0.5259, byte miss ratio 0.5259
result/io_traces.ns453.oracleGeneral.zst LRB cache size     7477, 2600000 req, miss ratio 0.4599, byte miss ratio 0.4599
result/io_traces.ns453.oracleGeneral.zst LRB cache size    14954, 2600000 req, miss ratio 0.3398, byte miss ratio 0.3398
result/io_traces.ns453.oracleGeneral.zst LRB cache size    29908, 2600000 req, miss ratio 0.1277, byte miss ratio 0.1277
result/io_traces.ns453.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       37, 2600000 req, miss ratio 1.0000, byte miss ratio 1.0000
result/io_traces.ns453.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      373, 2600000 req, miss ratio 0.9781, byte miss ratio 0.9781
result/io_traces.ns453.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1121, 2600000 req, miss ratio 0.9328, byte miss ratio 0.9328
result/io_traces.ns453.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3738, 2600000 req, miss ratio 0.6758, byte miss ratio 0.6758
result/io_traces.ns453.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7477, 2600000 req, miss ratio 0.4949, byte miss ratio 0.4949
result/io_traces.ns453.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14954, 2600000 req, miss ratio 0.3546, byte miss ratio 0.3546
result/io_traces.ns453.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    29908, 2600000 req, miss ratio 0.1230, byte miss ratio 0.1230
result/io_traces.ns453.oracleGeneral.zst S4LRU(25:25:25:25) cache size       37, 2600000 req, miss ratio 0.9978, byte miss ratio 0.9978
result/io_traces.ns453.oracleGeneral.zst S4LRU(25:25:25:25) cache size      112, 2600000 req, miss ratio 0.9756, byte miss ratio 0.9756
result/io_traces.ns453.oracleGeneral.zst S4LRU(25:25:25:25) cache size      373, 2600000 req, miss ratio 0.9577, byte miss ratio 0.9577
result/io_traces.ns453.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1121, 2600000 req, miss ratio 0.9062, byte miss ratio 0.9062
result/io_traces.ns453.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3738, 2600000 req, miss ratio 0.6849, byte miss ratio 0.6849
result/io_traces.ns453.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7477, 2600000 req, miss ratio 0.4524, byte miss ratio 0.4524
result/io_traces.ns453.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14954, 2600000 req, miss ratio 0.3700, byte miss ratio 0.3700
result/io_traces.ns453.oracleGeneral.zst S4LRU(25:25:25:25) cache size    29908, 2600000 req, miss ratio 0.1197, byte miss ratio 0.1197
result/io_traces.ns453.oracleGeneral.zst TwoQ cache size       37, 2600000 req, miss ratio 0.9894, byte miss ratio 0.9894
result/io_traces.ns453.oracleGeneral.zst TwoQ cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst TwoQ cache size      373, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst TwoQ cache size     1121, 2600000 req, miss ratio 0.8993, byte miss ratio 0.8993
result/io_traces.ns453.oracleGeneral.zst TwoQ cache size     3738, 2600000 req, miss ratio 0.5051, byte miss ratio 0.5051
