result/cdn1_lax.ns93.oracleGeneral.bin.zst LRB cache size   301309, 2676544 req, miss ratio 0.5630, byte miss ratio 0.5630
result/cdn1_lax.ns93.oracleGeneral.bin.zst LRB cache size   602618, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst LRB cache size  1205237, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1506, 2676544 req, miss ratio 0.6593, byte miss ratio 0.6593
result/cdn1_lax.ns93.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     4519, 2676544 req, miss ratio 0.6305, byte miss ratio 0.6305
result/cdn1_lax.ns93.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    15065, 2676544 req, miss ratio 0.6043, byte miss ratio 0.6043
result/cdn1_lax.ns93.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    45196, 2676544 req, miss ratio 0.5843, byte miss ratio 0.5843
result/cdn1_lax.ns93.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   150654, 2676544 req, miss ratio 0.5727, byte miss ratio 0.5727
result/cdn1_lax.ns93.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   301309, 2676544 req, miss ratio 0.5642, byte miss ratio 0.5642
result/cdn1_lax.ns93.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size   602618, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size  1205237, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst TwoQ cache size     1506, 2676544 req, miss ratio 0.6749, byte miss ratio 0.6749
result/cdn1_lax.ns93.oracleGeneral.bin.zst TwoQ cache size     4519, 2676544 req, miss ratio 0.6417, byte miss ratio 0.6417
result/cdn1_lax.ns93.oracleGeneral.bin.zst TwoQ cache size    15065, 2676544 req, miss ratio 0.6085, byte miss ratio 0.6085
result/cdn1_lax.ns93.oracleGeneral.bin.zst TwoQ cache size    45196, 2676544 req, miss ratio 0.5839, byte miss ratio 0.5839
result/cdn1_lax.ns93.oracleGeneral.bin.zst TwoQ cache size   150654, 2676544 req, miss ratio 0.5634, byte miss ratio 0.5634
