result/usr_2.IQI.bin.oracleGeneral.zst LRU cache size   221242, 10570046 req, miss ratio 0.7986, byte miss ratio 0.7986
result/usr_2.IQI.bin.oracleGeneral.zst LRU cache size   737475, 10570046 req, miss ratio 0.7533, byte miss ratio 0.7533
result/usr_2.IQI.bin.oracleGeneral.zst LRU cache size  1474951, 10570046 req, miss ratio 0.7449, byte miss ratio 0.7449
result/usr_2.IQI.bin.oracleGeneral.zst LRU cache size  2949902, 10570046 req, miss ratio 0.7234, byte miss ratio 0.7234
result/usr_2.IQI.bin.oracleGeneral.zst LRU cache size  5899805, 10570046 req, miss ratio 0.7000, byte miss ratio 0.7000
result/usr_2.IQI.bin.oracleGeneral.zst clock2 cache size     7374, 10570046 req, miss ratio 0.8596, byte miss ratio 0.8596
result/usr_2.IQI.bin.oracleGeneral.zst clock2 cache size    22124, 10570046 req, miss ratio 0.8445, byte miss ratio 0.8445
result/usr_2.IQI.bin.oracleGeneral.zst clock2 cache size    73747, 10570046 req, miss ratio 0.8268, byte miss ratio 0.8268
result/usr_2.IQI.bin.oracleGeneral.zst clock2 cache size   221242, 10570046 req, miss ratio 0.7944, byte miss ratio 0.7944
result/usr_2.IQI.bin.oracleGeneral.zst clock2 cache size   737475, 10570046 req, miss ratio 0.7514, byte miss ratio 0.7514
result/usr_2.IQI.bin.oracleGeneral.zst clock2 cache size  1474951, 10570046 req, miss ratio 0.7350, byte miss ratio 0.7350
result/usr_2.IQI.bin.oracleGeneral.zst clock2 cache size  2949902, 10570046 req, miss ratio 0.7057, byte miss ratio 0.7057
result/usr_2.IQI.bin.oracleGeneral.zst clock2 cache size  5899805, 10570046 req, miss ratio 0.6997, byte miss ratio 0.6997
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size     7374, 10570046 req, miss ratio 0.8543, byte miss ratio 0.8543
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size    22124, 10570046 req, miss ratio 0.8342, byte miss ratio 0.8342
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size    73747, 10570046 req, miss ratio 0.8048, byte miss ratio 0.8048
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size   221242, 10570046 req, miss ratio 0.7630, byte miss ratio 0.7630
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size   737475, 10570046 req, miss ratio 0.7199, byte miss ratio 0.7199
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size  1474951, 10570046 req, miss ratio 0.7137, byte miss ratio 0.7137
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size  2949902, 10570046 req, miss ratio 0.7063, byte miss ratio 0.7063
result/usr_2.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size  5899805, 10570046 req, miss ratio 0.6997, byte miss ratio 0.6997
result/usr_2.IQI.bin.oracleGeneral.zst LRB cache size     7374, 10570046 req, miss ratio 0.8744, byte miss ratio 0.8744
result/usr_2.IQI.bin.oracleGeneral.zst LRB cache size    22124, 10570046 req, miss ratio 0.8551, byte miss ratio 0.8551
result/usr_2.IQI.bin.oracleGeneral.zst LRB cache size    73747, 10570046 req, miss ratio 0.8311, byte miss ratio 0.8311
result/usr_2.IQI.bin.oracleGeneral.zst LRB cache size   221242, 10570046 req, miss ratio 0.7694, byte miss ratio 0.7694
result/usr_2.IQI.bin.oracleGeneral.zst LRB cache size   737475, 10570046 req, miss ratio 0.7411, byte miss ratio 0.7411
result/usr_2.IQI.bin.oracleGeneral.zst LRB cache size  1474951, 10570046 req, miss ratio 0.7439, byte miss ratio 0.7439
result/usr_2.IQI.bin.oracleGeneral.zst LRB cache size  2949902, 10570046 req, miss ratio 0.7237, byte miss ratio 0.7237
result/usr_2.IQI.bin.oracleGeneral.zst LRB cache size  5899805, 10570046 req, miss ratio 0.7000, byte miss ratio 0.7000
result/usr_2.IQI.bin.oracleGeneral.zst B-LRU cache size     7374, 10570046 req, miss ratio 0.8599, byte miss ratio 0.8599
result/usr_2.IQI.bin.oracleGeneral.zst B-LRU cache size    22124, 10570046 req, miss ratio 0.8443, byte miss ratio 0.8443
result/usr_2.IQI.bin.oracleGeneral.zst B-LRU cache size    73747, 10570046 req, miss ratio 0.8270, byte miss ratio 0.8270
result/usr_2.IQI.bin.oracleGeneral.zst B-LRU cache size   221242, 10570046 req, miss ratio 0.7843, byte miss ratio 0.7843
result/usr_2.IQI.bin.oracleGeneral.zst B-LRU cache size   737475, 10570046 req, miss ratio 0.7519, byte miss ratio 0.7519
result/usr_2.IQI.bin.oracleGeneral.zst B-LRU cache size  1474951, 10570046 req, miss ratio 0.7519, byte miss ratio 0.7519
result/usr_2.IQI.bin.oracleGeneral.zst B-LRU cache size  2949902, 10570046 req, miss ratio 0.7519, byte miss ratio 0.7519
result/usr_2.IQI.bin.oracleGeneral.zst B-LRU cache size  5899805, 10570046 req, miss ratio 0.7519, byte miss ratio 0.7519
result/usr_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7374, 10570046 req, miss ratio 0.8676, byte miss ratio 0.8676
result/usr_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22124, 10570046 req, miss ratio 0.8506, byte miss ratio 0.8506
result/usr_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    73747, 10570046 req, miss ratio 0.8314, byte miss ratio 0.8314
result/usr_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   221242, 10570046 req, miss ratio 0.7989, byte miss ratio 0.7989
result/usr_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   737475, 10570046 req, miss ratio 0.7559, byte miss ratio 0.7559
result/usr_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1474951, 10570046 req, miss ratio 0.7393, byte miss ratio 0.7393
result/usr_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  2949902, 10570046 req, miss ratio 0.7257, byte miss ratio 0.7257
result/usr_2.IQI.bin.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  5899805, 10570046 req, miss ratio 0.7081, byte miss ratio 0.7081
result/usr_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7374, 10570046 req, miss ratio 0.8524, byte miss ratio 0.8524
result/usr_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22124, 10570046 req, miss ratio 0.8344, byte miss ratio 0.8344
result/usr_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size    73747, 10570046 req, miss ratio 0.8145, byte miss ratio 0.8145
result/usr_2.IQI.bin.oracleGeneral.zst S4LRU(25:25:25:25) cache size   221242, 10570046 req, miss ratio 0.7526, byte miss ratio 0.7526
