result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d-1 cache size    11117, 1232453 req, miss ratio 0.6722, byte miss ratio 0.6722
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d-1 cache size    37059, 1232453 req, miss ratio 0.5229, byte miss ratio 0.5229
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d-1 cache size    74118, 1232453 req, miss ratio 0.4275, byte miss ratio 0.4275
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d-1 cache size   148237, 1232453 req, miss ratio 0.3470, byte miss ratio 0.3470
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d-1 cache size   296474, 1232453 req, miss ratio 0.3033, byte miss ratio 0.3033
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRB cache size      370, 1232453 req, miss ratio 0.8536, byte miss ratio 0.8536
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRB cache size     1111, 1232453 req, miss ratio 0.8198, byte miss ratio 0.8198
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRB cache size     3705, 1232453 req, miss ratio 0.7602, byte miss ratio 0.7602
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRB cache size    11117, 1232453 req, miss ratio 0.6742, byte miss ratio 0.6742
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRB cache size    37059, 1232453 req, miss ratio 0.5419, byte miss ratio 0.5419
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRB cache size    74118, 1232453 req, miss ratio 0.4419, byte miss ratio 0.4419
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRB cache size   148237, 1232453 req, miss ratio 0.3531, byte miss ratio 0.3531
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRB cache size   296474, 1232453 req, miss ratio 0.3031, byte miss ratio 0.3031
result/cdn1_sjc.ns764.oracleGeneral.bin.zst TwoQ cache size      370, 1232453 req, miss ratio 0.8508, byte miss ratio 0.8508
result/cdn1_sjc.ns764.oracleGeneral.bin.zst TwoQ cache size     1111, 1232453 req, miss ratio 0.8206, byte miss ratio 0.8206
result/cdn1_sjc.ns764.oracleGeneral.bin.zst TwoQ cache size     3705, 1232453 req, miss ratio 0.7686, byte miss ratio 0.7686
result/cdn1_sjc.ns764.oracleGeneral.bin.zst TwoQ cache size    11117, 1232453 req, miss ratio 0.6795, byte miss ratio 0.6795
result/cdn1_sjc.ns764.oracleGeneral.bin.zst TwoQ cache size    37059, 1232453 req, miss ratio 0.5320, byte miss ratio 0.5320
result/cdn1_sjc.ns764.oracleGeneral.bin.zst TwoQ cache size    74118, 1232453 req, miss ratio 0.4447, byte miss ratio 0.4447
