result/cdn2_allcolo.ns2892.oracleGeneral.zst B-LRU cache size    76489, 4237023 req, miss ratio 0.0809, byte miss ratio 0.0809
result/cdn2_allcolo.ns2892.oracleGeneral.zst B-LRU cache size   152978, 4237023 req, miss ratio 0.0737, byte miss ratio 0.0737
result/cdn2_allcolo.ns2892.oracleGeneral.zst TwoQ cache size      191, 4237023 req, miss ratio 0.7860, byte miss ratio 0.7860
result/cdn2_allcolo.ns2892.oracleGeneral.zst TwoQ cache size      573, 4237023 req, miss ratio 0.6743, byte miss ratio 0.6743
result/cdn2_allcolo.ns2892.oracleGeneral.zst TwoQ cache size     1912, 4237023 req, miss ratio 0.5227, byte miss ratio 0.5227
result/cdn2_allcolo.ns2892.oracleGeneral.zst TwoQ cache size     5736, 4237023 req, miss ratio 0.3663, byte miss ratio 0.3663
result/cdn2_allcolo.ns2892.oracleGeneral.zst TwoQ cache size    19122, 4237023 req, miss ratio 0.1987, byte miss ratio 0.1987
result/cdn2_allcolo.ns2892.oracleGeneral.zst TwoQ cache size    38244, 4237023 req, miss ratio 0.1240, byte miss ratio 0.1240
result/cdn2_allcolo.ns2892.oracleGeneral.zst TwoQ cache size    76489, 4237023 req, miss ratio 0.0769, byte miss ratio 0.0769
result/cdn2_allcolo.ns2892.oracleGeneral.zst TwoQ cache size   152978, 4237023 req, miss ratio 0.0549, byte miss ratio 0.0549
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      191, 4237023 req, miss ratio 0.8583, byte miss ratio 0.8583
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      573, 4237023 req, miss ratio 0.7494, byte miss ratio 0.7494
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1912, 4237023 req, miss ratio 0.5833, byte miss ratio 0.5833
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5736, 4237023 req, miss ratio 0.4045, byte miss ratio 0.4045
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19122, 4237023 req, miss ratio 0.2139, byte miss ratio 0.2139
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    38244, 4237023 req, miss ratio 0.1295, byte miss ratio 0.1295
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    76489, 4237023 req, miss ratio 0.0730, byte miss ratio 0.0730
