result/tencentBlock.ns9514.oracleGeneral.zst LHD cache size       78, 1777846 req, miss ratio 0.3235, byte miss ratio 0.3235
result/tencentBlock.ns9514.oracleGeneral.zst ARC cache size      780, 1777846 req, miss ratio 0.2404, byte miss ratio 0.2404
result/tencentBlock.ns9514.oracleGeneral.zst ARC cache size     2340, 1777846 req, miss ratio 0.2251, byte miss ratio 0.2251
result/tencentBlock.ns9514.oracleGeneral.zst ARC cache size     7801, 1777846 req, miss ratio 0.2014, byte miss ratio 0.2014
result/tencentBlock.ns9514.oracleGeneral.zst ARC cache size    15603, 1777846 req, miss ratio 0.1876, byte miss ratio 0.1876
result/tencentBlock.ns9514.oracleGeneral.zst ARC cache size    31207, 1777846 req, miss ratio 0.1792, byte miss ratio 0.1792
result/tencentBlock.ns9514.oracleGeneral.zst ARC cache size    62414, 1777846 req, miss ratio 0.0481, byte miss ratio 0.0481
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-1 cache size       78, 1777846 req, miss ratio 0.2984, byte miss ratio 0.2984
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-1 cache size      234, 1777846 req, miss ratio 0.2542, byte miss ratio 0.2542
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-1 cache size      780, 1777846 req, miss ratio 0.2405, byte miss ratio 0.2405
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-1 cache size     2340, 1777846 req, miss ratio 0.2240, byte miss ratio 0.2240
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-1 cache size     7801, 1777846 req, miss ratio 0.2021, byte miss ratio 0.2021
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-1 cache size    15603, 1777846 req, miss ratio 0.1877, byte miss ratio 0.1877
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-1 cache size    31207, 1777846 req, miss ratio 0.1383, byte miss ratio 0.1383
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-1 cache size    62414, 1777846 req, miss ratio 0.0505, byte miss ratio 0.0505
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d-1 cache size       78, 1777846 req, miss ratio 0.2866, byte miss ratio 0.2866
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d-1 cache size      234, 1777846 req, miss ratio 0.2531, byte miss ratio 0.2531
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d-1 cache size      780, 1777846 req, miss ratio 0.2405, byte miss ratio 0.2405
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d-1 cache size     2340, 1777846 req, miss ratio 0.2240, byte miss ratio 0.2240
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d-1 cache size     7801, 1777846 req, miss ratio 0.2020, byte miss ratio 0.2020
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d-1 cache size    15603, 1777846 req, miss ratio 0.1877, byte miss ratio 0.1877
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d-1 cache size    31207, 1777846 req, miss ratio 0.1362, byte miss ratio 0.1362
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d-1 cache size    62414, 1777846 req, miss ratio 0.0505, byte miss ratio 0.0505
result/tencentBlock.ns9514.oracleGeneral.zst LRB cache size       78, 1777846 req, miss ratio 0.3955, byte miss ratio 0.3955
result/tencentBlock.ns9514.oracleGeneral.zst LRB cache size      234, 1777846 req, miss ratio 0.2880, byte miss ratio 0.2880
result/tencentBlock.ns9514.oracleGeneral.zst LRB cache size      780, 1777846 req, miss ratio 0.2371, byte miss ratio 0.2371
result/tencentBlock.ns9514.oracleGeneral.zst LRB cache size     2340, 1777846 req, miss ratio 0.2203, byte miss ratio 0.2203
result/tencentBlock.ns9514.oracleGeneral.zst LRB cache size     7801, 1777846 req, miss ratio 0.1991, byte miss ratio 0.1991
result/tencentBlock.ns9514.oracleGeneral.zst LRB cache size    15603, 1777846 req, miss ratio 0.1774, byte miss ratio 0.1774
result/tencentBlock.ns9514.oracleGeneral.zst LRB cache size    31207, 1777846 req, miss ratio 0.1351, byte miss ratio 0.1351
result/tencentBlock.ns9514.oracleGeneral.zst LRB cache size    62414, 1777846 req, miss ratio 0.0509, byte miss ratio 0.0509
result/tencentBlock.ns9514.oracleGeneral.zst TwoQ cache size       78, 1777846 req, miss ratio 0.3004, byte miss ratio 0.3004
result/tencentBlock.ns9514.oracleGeneral.zst TwoQ cache size      234, 1777846 req, miss ratio 0.2632, byte miss ratio 0.2632
result/tencentBlock.ns9514.oracleGeneral.zst TwoQ cache size      780, 1777846 req, miss ratio 0.2413, byte miss ratio 0.2413
result/tencentBlock.ns9514.oracleGeneral.zst TwoQ cache size     2340, 1777846 req, miss ratio 0.2255, byte miss ratio 0.2255
result/tencentBlock.ns9514.oracleGeneral.zst TwoQ cache size     7801, 1777846 req, miss ratio 0.2039, byte miss ratio 0.2039
result/tencentBlock.ns9514.oracleGeneral.zst TwoQ cache size    15603, 1777846 req, miss ratio 0.1950, byte miss ratio 0.1950
result/tencentBlock.ns9514.oracleGeneral.zst TwoQ cache size    31207, 1777846 req, miss ratio 0.1426, byte miss ratio 0.1426
result/tencentBlock.ns9514.oracleGeneral.zst TwoQ cache size    62414, 1777846 req, miss ratio 0.0672, byte miss ratio 0.0672
result/tencentBlock.ns9514.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       78, 1777846 req, miss ratio 0.4269, byte miss ratio 0.4269
result/tencentBlock.ns9514.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      234, 1777846 req, miss ratio 0.2829, byte miss ratio 0.2829
result/tencentBlock.ns9514.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      780, 1777846 req, miss ratio 0.2556, byte miss ratio 0.2556
result/tencentBlock.ns9514.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2340, 1777846 req, miss ratio 0.2395, byte miss ratio 0.2395
result/tencentBlock.ns9514.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7801, 1777846 req, miss ratio 0.2145, byte miss ratio 0.2145
result/tencentBlock.ns9514.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    15603, 1777846 req, miss ratio 0.1959, byte miss ratio 0.1959
result/tencentBlock.ns9514.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    31207, 1777846 req, miss ratio 0.1681, byte miss ratio 0.1681
result/tencentBlock.ns9514.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    62414, 1777846 req, miss ratio 0.0655, byte miss ratio 0.0655
result/tencentBlock.ns9514.oracleGeneral.zst S4LRU(25:25:25:25) cache size       78, 1777846 req, miss ratio 0.3507, byte miss ratio 0.3507
result/tencentBlock.ns9514.oracleGeneral.zst S4LRU(25:25:25:25) cache size      234, 1777846 req, miss ratio 0.2625, byte miss ratio 0.2625
result/tencentBlock.ns9514.oracleGeneral.zst S4LRU(25:25:25:25) cache size      780, 1777846 req, miss ratio 0.2437, byte miss ratio 0.2437
result/tencentBlock.ns9514.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2340, 1777846 req, miss ratio 0.2280, byte miss ratio 0.2280
result/tencentBlock.ns9514.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7801, 1777846 req, miss ratio 0.2058, byte miss ratio 0.2058
result/tencentBlock.ns9514.oracleGeneral.zst S4LRU(25:25:25:25) cache size    15603, 1777846 req, miss ratio 0.1875, byte miss ratio 0.1875
result/tencentBlock.ns9514.oracleGeneral.zst S4LRU(25:25:25:25) cache size    31207, 1777846 req, miss ratio 0.1522, byte miss ratio 0.1522
result/tencentBlock.ns9514.oracleGeneral.zst S4LRU(25:25:25:25) cache size    62414, 1777846 req, miss ratio 0.0514, byte miss ratio 0.0514
result/tencentBlock.ns9514.oracleGeneral.zst B-LRU cache size       78, 1777846 req, miss ratio 0.3286, byte miss ratio 0.3286
result/tencentBlock.ns9514.oracleGeneral.zst B-LRU cache size      234, 1777846 req, miss ratio 0.2818, byte miss ratio 0.2818
result/tencentBlock.ns9514.oracleGeneral.zst B-LRU cache size      780, 1777846 req, miss ratio 0.2620, byte miss ratio 0.2620
result/tencentBlock.ns9514.oracleGeneral.zst B-LRU cache size     2340, 1777846 req, miss ratio 0.2497, byte miss ratio 0.2497
result/tencentBlock.ns9514.oracleGeneral.zst B-LRU cache size     7801, 1777846 req, miss ratio 0.2229, byte miss ratio 0.2229
result/tencentBlock.ns9514.oracleGeneral.zst B-LRU cache size    15603, 1777846 req, miss ratio 0.2156, byte miss ratio 0.2156
result/tencentBlock.ns9514.oracleGeneral.zst B-LRU cache size    31207, 1777846 req, miss ratio 0.1944, byte miss ratio 0.1944
result/tencentBlock.ns9514.oracleGeneral.zst B-LRU cache size    62414, 1777846 req, miss ratio 0.0874, byte miss ratio 0.0874
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d cache size       78, 1777846 req, miss ratio 0.2948, byte miss ratio 0.2948
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d cache size      234, 1777846 req, miss ratio 0.2565, byte miss ratio 0.2565
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d cache size      780, 1777846 req, miss ratio 0.2409, byte miss ratio 0.2409
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d cache size     2340, 1777846 req, miss ratio 0.2249, byte miss ratio 0.2249
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d cache size     7801, 1777846 req, miss ratio 0.2018, byte miss ratio 0.2018
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d cache size    15603, 1777846 req, miss ratio 0.1891, byte miss ratio 0.1891
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d cache size    31207, 1777846 req, miss ratio 0.1365, byte miss ratio 0.1365
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO-d cache size    62414, 1777846 req, miss ratio 0.0544, byte miss ratio 0.0544
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO cache size       78, 1777846 req, miss ratio 0.3012, byte miss ratio 0.3012
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO cache size      234, 1777846 req, miss ratio 0.2594, byte miss ratio 0.2594
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO cache size      780, 1777846 req, miss ratio 0.2409, byte miss ratio 0.2409
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO cache size     2340, 1777846 req, miss ratio 0.2249, byte miss ratio 0.2249
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO cache size     7801, 1777846 req, miss ratio 0.2019, byte miss ratio 0.2019
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO cache size    15603, 1777846 req, miss ratio 0.1891, byte miss ratio 0.1891
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO cache size    31207, 1777846 req, miss ratio 0.1383, byte miss ratio 0.1383
result/tencentBlock.ns9514.oracleGeneral.zst S3FIFO cache size    62414, 1777846 req, miss ratio 0.0544, byte miss ratio 0.0544
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       78, 1777846 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      234, 1777846 req, miss ratio 0.3647, byte miss ratio 0.3647
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      780, 1777846 req, miss ratio 0.2908, byte miss ratio 0.2908
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2340, 1777846 req, miss ratio 0.2191, byte miss ratio 0.2191
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7801, 1777846 req, miss ratio 0.1940, byte miss ratio 0.1940
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    15603, 1777846 req, miss ratio 0.1659, byte miss ratio 0.1659
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    31207, 1777846 req, miss ratio 0.1162, byte miss ratio 0.1162
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    62414, 1777846 req, miss ratio 0.0481, byte miss ratio 0.0481
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       78, 1777846 req, miss ratio 0.3572, byte miss ratio 0.3572
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      234, 1777846 req, miss ratio 0.2637, byte miss ratio 0.2637
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      780, 1777846 req, miss ratio 0.2231, byte miss ratio 0.2231
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2340, 1777846 req, miss ratio 0.2108, byte miss ratio 0.2108
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7801, 1777846 req, miss ratio 0.1952, byte miss ratio 0.1952
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    15603, 1777846 req, miss ratio 0.1696, byte miss ratio 0.1696
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    31207, 1777846 req, miss ratio 0.1202, byte miss ratio 0.1202
result/tencentBlock.ns9514.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    62414, 1777846 req, miss ratio 0.0496, byte miss ratio 0.0496
