result/fiu_ikki-110108-112108.oracleGeneral.zst S4LRU(25:25:25:25) cache size   189651, 5256676 req, miss ratio 0.3290, byte miss ratio 0.3290
result/fiu_ikki-110108-112108.oracleGeneral.zst S4LRU(25:25:25:25) cache size   379302, 5256676 req, miss ratio 0.2094, byte miss ratio 0.2094
result/fiu_ikki-110108-112108.oracleGeneral.zst S4LRU(25:25:25:25) cache size   758605, 5256676 req, miss ratio 0.1839, byte miss ratio 0.1839
result/fiu_ikki-110108-112108.oracleGeneral.zst TwoQ cache size      948, 5256676 req, miss ratio 0.7713, byte miss ratio 0.7713
result/fiu_ikki-110108-112108.oracleGeneral.zst TwoQ cache size     2844, 5256676 req, miss ratio 0.7411, byte miss ratio 0.7411
result/fiu_ikki-110108-112108.oracleGeneral.zst TwoQ cache size     9482, 5256676 req, miss ratio 0.6975, byte miss ratio 0.6975
result/fiu_ikki-110108-112108.oracleGeneral.zst TwoQ cache size    28447, 5256676 req, miss ratio 0.6216, byte miss ratio 0.6216
result/fiu_ikki-110108-112108.oracleGeneral.zst TwoQ cache size    94825, 5256676 req, miss ratio 0.4529, byte miss ratio 0.4529
result/fiu_ikki-110108-112108.oracleGeneral.zst TwoQ cache size   189651, 5256676 req, miss ratio 0.2977, byte miss ratio 0.2977
result/fiu_ikki-110108-112108.oracleGeneral.zst TwoQ cache size   379302, 5256676 req, miss ratio 0.2405, byte miss ratio 0.2405
result/fiu_ikki-110108-112108.oracleGeneral.zst TwoQ cache size   758605, 5256676 req, miss ratio 0.2057, byte miss ratio 0.2057
result/fiu_ikki-110108-112108.oracleGeneral.zst B-LRU cache size      948, 5256676 req, miss ratio 0.8052, byte miss ratio 0.8052
result/fiu_ikki-110108-112108.oracleGeneral.zst B-LRU cache size     2844, 5256676 req, miss ratio 0.7641, byte miss ratio 0.7641
result/fiu_ikki-110108-112108.oracleGeneral.zst B-LRU cache size     9482, 5256676 req, miss ratio 0.7239, byte miss ratio 0.7239
result/fiu_ikki-110108-112108.oracleGeneral.zst B-LRU cache size    28447, 5256676 req, miss ratio 0.6417, byte miss ratio 0.6417
result/fiu_ikki-110108-112108.oracleGeneral.zst B-LRU cache size    94825, 5256676 req, miss ratio 0.4664, byte miss ratio 0.4664
result/fiu_ikki-110108-112108.oracleGeneral.zst B-LRU cache size   189651, 5256676 req, miss ratio 0.3094, byte miss ratio 0.3094
result/fiu_ikki-110108-112108.oracleGeneral.zst B-LRU cache size   379302, 5256676 req, miss ratio 0.2635, byte miss ratio 0.2635
result/fiu_ikki-110108-112108.oracleGeneral.zst B-LRU cache size   758605, 5256676 req, miss ratio 0.2633, byte miss ratio 0.2633
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d cache size      948, 5256676 req, miss ratio 0.7670, byte miss ratio 0.7670
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d cache size     2844, 5256676 req, miss ratio 0.7336, byte miss ratio 0.7336
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d cache size     9482, 5256676 req, miss ratio 0.6830, byte miss ratio 0.6830
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d cache size    28447, 5256676 req, miss ratio 0.6069, byte miss ratio 0.6069
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d cache size    94825, 5256676 req, miss ratio 0.4466, byte miss ratio 0.4466
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d cache size   189651, 5256676 req, miss ratio 0.2976, byte miss ratio 0.2976
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d cache size   379302, 5256676 req, miss ratio 0.2182, byte miss ratio 0.2182
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d cache size   758605, 5256676 req, miss ratio 0.1836, byte miss ratio 0.1836
