result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO cache size  5265721, 26625142 req, miss ratio 0.9891, byte miss ratio 0.9891
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst clock2 cache size    26328, 26625142 req, miss ratio 0.9911, byte miss ratio 0.9911
result/cdn2_allcolo.ns170.oracleGeneral.zst clock2 cache size    78985, 26625142 req, miss ratio 0.9907, byte miss ratio 0.9907
result/cdn2_allcolo.ns170.oracleGeneral.zst clock2 cache size   263286, 26625142 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns170.oracleGeneral.zst clock2 cache size   789858, 26625142 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns170.oracleGeneral.zst clock2 cache size  2632860, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
result/cdn2_allcolo.ns170.oracleGeneral.zst clock2 cache size  5265721, 26625142 req, miss ratio 0.9891, byte miss ratio 0.9891
result/cdn2_allcolo.ns170.oracleGeneral.zst clock2 cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst clock2 cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst ARC cache size    26328, 26625142 req, miss ratio 0.9915, byte miss ratio 0.9915
result/cdn2_allcolo.ns170.oracleGeneral.zst ARC cache size    78985, 26625142 req, miss ratio 0.9911, byte miss ratio 0.9911
result/cdn2_allcolo.ns170.oracleGeneral.zst ARC cache size   263286, 26625142 req, miss ratio 0.9904, byte miss ratio 0.9904
result/cdn2_allcolo.ns170.oracleGeneral.zst ARC cache size   789858, 26625142 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns170.oracleGeneral.zst ARC cache size  2632860, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
result/cdn2_allcolo.ns170.oracleGeneral.zst ARC cache size  5265721, 26625142 req, miss ratio 0.9891, byte miss ratio 0.9891
result/cdn2_allcolo.ns170.oracleGeneral.zst ARC cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst ARC cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst Clock cache size    26328, 26625142 req, miss ratio 0.9911, byte miss ratio 0.9911
result/cdn2_allcolo.ns170.oracleGeneral.zst Clock cache size    78985, 26625142 req, miss ratio 0.9907, byte miss ratio 0.9907
result/cdn2_allcolo.ns170.oracleGeneral.zst Clock cache size   263286, 26625142 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns170.oracleGeneral.zst Clock cache size   789858, 26625142 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns170.oracleGeneral.zst Clock cache size  2632860, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
result/cdn2_allcolo.ns170.oracleGeneral.zst Clock cache size  5265721, 26625142 req, miss ratio 0.9891, byte miss ratio 0.9891
result/cdn2_allcolo.ns170.oracleGeneral.zst Clock cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst Clock cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst LHD cache size    26328, 26625142 req, miss ratio 0.9912, byte miss ratio 0.9912
result/cdn2_allcolo.ns170.oracleGeneral.zst LHD cache size    78985, 26625142 req, miss ratio 0.9907, byte miss ratio 0.9907
result/cdn2_allcolo.ns170.oracleGeneral.zst LHD cache size   263286, 26625142 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns170.oracleGeneral.zst LHD cache size   789858, 26625142 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns170.oracleGeneral.zst LHD cache size  2632860, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
result/cdn2_allcolo.ns170.oracleGeneral.zst LHD cache size  5265721, 26625142 req, miss ratio 0.9892, byte miss ratio 0.9892
result/cdn2_allcolo.ns170.oracleGeneral.zst LHD cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst LHD cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d-1 cache size    26328, 26625142 req, miss ratio 0.9917, byte miss ratio 0.9917
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d-1 cache size    78985, 26625142 req, miss ratio 0.9911, byte miss ratio 0.9911
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d-1 cache size   263286, 26625142 req, miss ratio 0.9904, byte miss ratio 0.9904
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d-1 cache size   789858, 26625142 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d-1 cache size  2632860, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d-1 cache size  5265721, 26625142 req, miss ratio 0.9891, byte miss ratio 0.9891
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d-1 cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst S3FIFO-d-1 cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst LRB cache size    26328, 26625142 req, miss ratio 0.9912, byte miss ratio 0.9912
result/cdn2_allcolo.ns170.oracleGeneral.zst LRB cache size    78985, 26625142 req, miss ratio 0.9907, byte miss ratio 0.9907
result/cdn2_allcolo.ns170.oracleGeneral.zst LRB cache size   263286, 26625142 req, miss ratio 0.9903, byte miss ratio 0.9903
