result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-1 cache size   140894, 2066009 req, miss ratio 0.0879, byte miss ratio 0.0879
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LIRS cache size      176, 2066009 req, miss ratio 0.5821, byte miss ratio 0.5821
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LIRS cache size      528, 2066009 req, miss ratio 0.4640, byte miss ratio 0.4640
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LIRS cache size     1761, 2066009 req, miss ratio 0.3535, byte miss ratio 0.3535
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LIRS cache size     5283, 2066009 req, miss ratio 0.2748, byte miss ratio 0.2748
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LIRS cache size    17611, 2066009 req, miss ratio 0.2077, byte miss ratio 0.2077
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LIRS cache size    35223, 2066009 req, miss ratio 0.1652, byte miss ratio 0.1652
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LIRS cache size    70447, 2066009 req, miss ratio 0.1210, byte miss ratio 0.1210
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LIRS cache size   140894, 2066009 req, miss ratio 0.0891, byte miss ratio 0.0891
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRU cache size      176, 2066009 req, miss ratio 0.6634, byte miss ratio 0.6634
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRU cache size      528, 2066009 req, miss ratio 0.5083, byte miss ratio 0.5083
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRU cache size     1761, 2066009 req, miss ratio 0.3832, byte miss ratio 0.3832
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRU cache size     5283, 2066009 req, miss ratio 0.2855, byte miss ratio 0.2855
result/cdn1_nyc.ns113.oracleGeneral.bin.zst LRU cache size    17611, 2066009 req, miss ratio 0.2132, byte miss ratio 0.2132
