result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d-1 cache size   188819, 3136254 req, miss ratio 0.1686, byte miss ratio 0.1686
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d-1 cache size   377638, 3136254 req, miss ratio 0.1509, byte miss ratio 0.1509
result/tencentBlock.ns15754.oracleGeneral.zst LRB cache size      472, 3136254 req, miss ratio 0.4526, byte miss ratio 0.4526
result/tencentBlock.ns15754.oracleGeneral.zst LRB cache size     1416, 3136254 req, miss ratio 0.4128, byte miss ratio 0.4128
result/tencentBlock.ns15754.oracleGeneral.zst LRB cache size     4720, 3136254 req, miss ratio 0.3896, byte miss ratio 0.3896
result/tencentBlock.ns15754.oracleGeneral.zst LRB cache size    14161, 3136254 req, miss ratio 0.3611, byte miss ratio 0.3611
result/tencentBlock.ns15754.oracleGeneral.zst LRB cache size    47204, 3136254 req, miss ratio 0.2912, byte miss ratio 0.2912
result/tencentBlock.ns15754.oracleGeneral.zst LRB cache size    94409, 3136254 req, miss ratio 0.2246, byte miss ratio 0.2246
result/tencentBlock.ns15754.oracleGeneral.zst LRB cache size   188819, 3136254 req, miss ratio 0.1688, byte miss ratio 0.1688
result/tencentBlock.ns15754.oracleGeneral.zst LRB cache size   377638, 3136254 req, miss ratio 0.1508, byte miss ratio 0.1508
result/tencentBlock.ns15754.oracleGeneral.zst TwoQ cache size      472, 3136254 req, miss ratio 0.4187, byte miss ratio 0.4187
result/tencentBlock.ns15754.oracleGeneral.zst TwoQ cache size     1416, 3136254 req, miss ratio 0.4080, byte miss ratio 0.4080
result/tencentBlock.ns15754.oracleGeneral.zst TwoQ cache size     4720, 3136254 req, miss ratio 0.3985, byte miss ratio 0.3985
result/tencentBlock.ns15754.oracleGeneral.zst TwoQ cache size    14161, 3136254 req, miss ratio 0.3619, byte miss ratio 0.3619
result/tencentBlock.ns15754.oracleGeneral.zst TwoQ cache size    47204, 3136254 req, miss ratio 0.3128, byte miss ratio 0.3128
result/tencentBlock.ns15754.oracleGeneral.zst TwoQ cache size    94409, 3136254 req, miss ratio 0.2334, byte miss ratio 0.2334
result/tencentBlock.ns15754.oracleGeneral.zst TwoQ cache size   188819, 3136254 req, miss ratio 0.1891, byte miss ratio 0.1891
result/tencentBlock.ns15754.oracleGeneral.zst TwoQ cache size   377638, 3136254 req, miss ratio 0.1694, byte miss ratio 0.1694
result/tencentBlock.ns15754.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      472, 3136254 req, miss ratio 0.4379, byte miss ratio 0.4379
result/tencentBlock.ns15754.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1416, 3136254 req, miss ratio 0.4158, byte miss ratio 0.4158
result/tencentBlock.ns15754.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4720, 3136254 req, miss ratio 0.4083, byte miss ratio 0.4083
result/tencentBlock.ns15754.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14161, 3136254 req, miss ratio 0.3980, byte miss ratio 0.3980
result/tencentBlock.ns15754.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    47204, 3136254 req, miss ratio 0.3491, byte miss ratio 0.3491
result/tencentBlock.ns15754.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    94409, 3136254 req, miss ratio 0.3064, byte miss ratio 0.3064
result/tencentBlock.ns15754.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   188819, 3136254 req, miss ratio 0.2065, byte miss ratio 0.2065
result/tencentBlock.ns15754.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   377638, 3136254 req, miss ratio 0.1646, byte miss ratio 0.1646
