result/moments_api_cache.1.oracleGeneral.sample10.zst clock2 cache size   456448, 207690332 req, miss ratio 0.0030, byte miss ratio 0.0030
result/moments_api_cache.1.oracleGeneral.sample10.zst Cacheus cache size      570, 207690332 req, miss ratio 0.0773, byte miss ratio 0.0773
result/moments_api_cache.1.oracleGeneral.sample10.zst Cacheus cache size     1711, 207690332 req, miss ratio 0.0756, byte miss ratio 0.0756
result/moments_api_cache.1.oracleGeneral.sample10.zst Cacheus cache size     5705, 207690332 req, miss ratio 0.0740, byte miss ratio 0.0740
result/moments_api_cache.1.oracleGeneral.sample10.zst Cacheus cache size    17116, 207690332 req, miss ratio 0.0659, byte miss ratio 0.0659
result/moments_api_cache.1.oracleGeneral.sample10.zst Cacheus cache size    57056, 207690332 req, miss ratio 0.0427, byte miss ratio 0.0427
result/moments_api_cache.1.oracleGeneral.sample10.zst Cacheus cache size   114112, 207690332 req, miss ratio 0.0393, byte miss ratio 0.0393
result/moments_api_cache.1.oracleGeneral.sample10.zst Cacheus cache size   228224, 207690332 req, miss ratio 0.0174, byte miss ratio 0.0174
result/moments_api_cache.1.oracleGeneral.sample10.zst Cacheus cache size   456448, 207690332 req, miss ratio 0.0030, byte miss ratio 0.0030
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size      570, 207690332 req, miss ratio 0.0773, byte miss ratio 0.0773
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1711, 207690332 req, miss ratio 0.0757, byte miss ratio 0.0757
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     5705, 207690332 req, miss ratio 0.0741, byte miss ratio 0.0741
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    17116, 207690332 req, miss ratio 0.0713, byte miss ratio 0.0713
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    57056, 207690332 req, miss ratio 0.0429, byte miss ratio 0.0429
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   114112, 207690332 req, miss ratio 0.0388, byte miss ratio 0.0388
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   228224, 207690332 req, miss ratio 0.0228, byte miss ratio 0.0228
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   456448, 207690332 req, miss ratio 0.0030, byte miss ratio 0.0030
result/moments_api_cache.1.oracleGeneral.sample10.zst LRB cache size      570, 207690332 req, miss ratio 0.0877, byte miss ratio 0.0877
result/moments_api_cache.1.oracleGeneral.sample10.zst LRB cache size     1711, 207690332 req, miss ratio 0.0786, byte miss ratio 0.0786
result/moments_api_cache.1.oracleGeneral.sample10.zst LRB cache size     5705, 207690332 req, miss ratio 0.0677, byte miss ratio 0.0677
result/moments_api_cache.1.oracleGeneral.sample10.zst LRB cache size    17116, 207690332 req, miss ratio 0.0491, byte miss ratio 0.0491
result/moments_api_cache.1.oracleGeneral.sample10.zst LRB cache size    57056, 207690332 req, miss ratio 0.0393, byte miss ratio 0.0393
result/moments_api_cache.1.oracleGeneral.sample10.zst LRB cache size   114112, 207690332 req, miss ratio 0.0309, byte miss ratio 0.0309
result/moments_api_cache.1.oracleGeneral.sample10.zst LRB cache size   228224, 207690332 req, miss ratio 0.0160, byte miss ratio 0.0160
result/moments_api_cache.1.oracleGeneral.sample10.zst LRB cache size   456448, 207690332 req, miss ratio 0.0031, byte miss ratio 0.0031
result/moments_api_cache.1.oracleGeneral.sample10.zst B-LRU cache size      570, 207690332 req, miss ratio 0.0793, byte miss ratio 0.0793
result/moments_api_cache.1.oracleGeneral.sample10.zst B-LRU cache size     1711, 207690332 req, miss ratio 0.0779, byte miss ratio 0.0779
result/moments_api_cache.1.oracleGeneral.sample10.zst B-LRU cache size     5705, 207690332 req, miss ratio 0.0762, byte miss ratio 0.0762
result/moments_api_cache.1.oracleGeneral.sample10.zst B-LRU cache size    17116, 207690332 req, miss ratio 0.0732, byte miss ratio 0.0732
result/moments_api_cache.1.oracleGeneral.sample10.zst B-LRU cache size    57056, 207690332 req, miss ratio 0.0449, byte miss ratio 0.0449
result/moments_api_cache.1.oracleGeneral.sample10.zst B-LRU cache size   114112, 207690332 req, miss ratio 0.0411, byte miss ratio 0.0411
result/moments_api_cache.1.oracleGeneral.sample10.zst B-LRU cache size   228224, 207690332 req, miss ratio 0.0255, byte miss ratio 0.0255
result/moments_api_cache.1.oracleGeneral.sample10.zst B-LRU cache size   456448, 207690332 req, miss ratio 0.0055, byte miss ratio 0.0055
result/moments_api_cache.1.oracleGeneral.sample10.zst TwoQ cache size      570, 207690332 req, miss ratio 0.0761, byte miss ratio 0.0761
result/moments_api_cache.1.oracleGeneral.sample10.zst TwoQ cache size     1711, 207690332 req, miss ratio 0.0742, byte miss ratio 0.0742
result/moments_api_cache.1.oracleGeneral.sample10.zst TwoQ cache size     5705, 207690332 req, miss ratio 0.0711, byte miss ratio 0.0711
result/moments_api_cache.1.oracleGeneral.sample10.zst TwoQ cache size    17116, 207690332 req, miss ratio 0.0631, byte miss ratio 0.0631
result/moments_api_cache.1.oracleGeneral.sample10.zst TwoQ cache size    57056, 207690332 req, miss ratio 0.0405, byte miss ratio 0.0405
result/moments_api_cache.1.oracleGeneral.sample10.zst TwoQ cache size   114112, 207690332 req, miss ratio 0.0336, byte miss ratio 0.0336
result/moments_api_cache.1.oracleGeneral.sample10.zst TwoQ cache size   228224, 207690332 req, miss ratio 0.0211, byte miss ratio 0.0211
result/moments_api_cache.1.oracleGeneral.sample10.zst TwoQ cache size   456448, 207690332 req, miss ratio 0.0047, byte miss ratio 0.0047
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size      570, 207690332 req, miss ratio 0.0769, byte miss ratio 0.0769
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     1711, 207690332 req, miss ratio 0.0755, byte miss ratio 0.0755
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     5705, 207690332 req, miss ratio 0.0734, byte miss ratio 0.0734
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    17116, 207690332 req, miss ratio 0.0661, byte miss ratio 0.0661
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    57056, 207690332 req, miss ratio 0.0444, byte miss ratio 0.0444
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   114112, 207690332 req, miss ratio 0.0369, byte miss ratio 0.0369
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   228224, 207690332 req, miss ratio 0.0224, byte miss ratio 0.0224
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   456448, 207690332 req, miss ratio 0.0044, byte miss ratio 0.0044
result/moments_api_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size      570, 207690332 req, miss ratio 0.0766, byte miss ratio 0.0766
result/moments_api_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     1711, 207690332 req, miss ratio 0.0753, byte miss ratio 0.0753
result/moments_api_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size     5705, 207690332 req, miss ratio 0.0731, byte miss ratio 0.0731
result/moments_api_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    17116, 207690332 req, miss ratio 0.0674, byte miss ratio 0.0674
result/moments_api_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    57056, 207690332 req, miss ratio 0.0426, byte miss ratio 0.0426
result/moments_api_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   114112, 207690332 req, miss ratio 0.0383, byte miss ratio 0.0383
