result/cdn2_allcolo.ns1569.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    20495, 1244890 req, miss ratio 0.0827, byte miss ratio 0.0827
result/cdn2_allcolo.ns1569.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    40990, 1244890 req, miss ratio 0.0824, byte miss ratio 0.0824
result/cdn2_allcolo.ns1569.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    81981, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d cache size      102, 1244890 req, miss ratio 0.1190, byte miss ratio 0.1190
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d cache size      307, 1244890 req, miss ratio 0.0957, byte miss ratio 0.0957
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d cache size     1024, 1244890 req, miss ratio 0.0902, byte miss ratio 0.0902
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d cache size     3074, 1244890 req, miss ratio 0.0862, byte miss ratio 0.0862
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d cache size    10247, 1244890 req, miss ratio 0.0834, byte miss ratio 0.0834
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d cache size    20495, 1244890 req, miss ratio 0.0825, byte miss ratio 0.0825
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d cache size    40990, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d cache size    81981, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO cache size      102, 1244890 req, miss ratio 0.1063, byte miss ratio 0.1063
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO cache size      307, 1244890 req, miss ratio 0.0980, byte miss ratio 0.0980
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO cache size     1024, 1244890 req, miss ratio 0.0912, byte miss ratio 0.0912
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO cache size     3074, 1244890 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO cache size    10247, 1244890 req, miss ratio 0.0834, byte miss ratio 0.0834
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO cache size    20495, 1244890 req, miss ratio 0.0825, byte miss ratio 0.0825
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO cache size    40990, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO cache size    81981, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      102, 1244890 req, miss ratio 0.1150, byte miss ratio 0.1150
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      307, 1244890 req, miss ratio 0.1083, byte miss ratio 0.1083
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1024, 1244890 req, miss ratio 0.1030, byte miss ratio 0.1030
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3074, 1244890 req, miss ratio 0.0987, byte miss ratio 0.0987
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10247, 1244890 req, miss ratio 0.0946, byte miss ratio 0.0946
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    20495, 1244890 req, miss ratio 0.0893, byte miss ratio 0.0893
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    40990, 1244890 req, miss ratio 0.0856, byte miss ratio 0.0856
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    81981, 1244890 req, miss ratio 0.0832, byte miss ratio 0.0832
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      102, 1244890 req, miss ratio 0.1134, byte miss ratio 0.1134
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      307, 1244890 req, miss ratio 0.1066, byte miss ratio 0.1066
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1024, 1244890 req, miss ratio 0.0973, byte miss ratio 0.0973
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3074, 1244890 req, miss ratio 0.0907, byte miss ratio 0.0907
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10247, 1244890 req, miss ratio 0.0865, byte miss ratio 0.0865
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    20495, 1244890 req, miss ratio 0.0849, byte miss ratio 0.0849
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    40990, 1244890 req, miss ratio 0.0834, byte miss ratio 0.0834
result/cdn2_allcolo.ns1569.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    81981, 1244890 req, miss ratio 0.0826, byte miss ratio 0.0826
