result/cdn2_allcolo.ns769.oracleGeneral.zst LHD cache size  2817670, 22909474 req, miss ratio 0.1554, byte miss ratio 0.1554
result/cdn2_allcolo.ns769.oracleGeneral.zst Cacheus cache size     3522, 22909474 req, miss ratio 0.7011, byte miss ratio 0.7011
result/cdn2_allcolo.ns769.oracleGeneral.zst Cacheus cache size    10566, 22909474 req, miss ratio 0.5906, byte miss ratio 0.5906
result/cdn2_allcolo.ns769.oracleGeneral.zst Cacheus cache size    35220, 22909474 req, miss ratio 0.4615, byte miss ratio 0.4615
result/cdn2_allcolo.ns769.oracleGeneral.zst Cacheus cache size   105662, 22909474 req, miss ratio 0.3560, byte miss ratio 0.3560
result/cdn2_allcolo.ns769.oracleGeneral.zst Cacheus cache size   352208, 22909474 req, miss ratio 0.2704, byte miss ratio 0.2704
result/cdn2_allcolo.ns769.oracleGeneral.zst Cacheus cache size   704417, 22909474 req, miss ratio 0.2104, byte miss ratio 0.2104
result/cdn2_allcolo.ns769.oracleGeneral.zst Cacheus cache size  1408835, 22909474 req, miss ratio 0.1746, byte miss ratio 0.1746
result/cdn2_allcolo.ns769.oracleGeneral.zst Cacheus cache size  2817670, 22909474 req, miss ratio 0.1577, byte miss ratio 0.1577
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-1 cache size     3522, 22909474 req, miss ratio 0.6673, byte miss ratio 0.6673
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-1 cache size    10566, 22909474 req, miss ratio 0.5579, byte miss ratio 0.5579
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-1 cache size    35220, 22909474 req, miss ratio 0.4395, byte miss ratio 0.4395
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-1 cache size   105662, 22909474 req, miss ratio 0.3501, byte miss ratio 0.3501
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-1 cache size   352208, 22909474 req, miss ratio 0.2421, byte miss ratio 0.2421
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-1 cache size   704417, 22909474 req, miss ratio 0.1986, byte miss ratio 0.1986
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-1 cache size  1408835, 22909474 req, miss ratio 0.1720, byte miss ratio 0.1720
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-1 cache size  2817670, 22909474 req, miss ratio 0.1555, byte miss ratio 0.1555
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d-1 cache size     3522, 22909474 req, miss ratio 0.6708, byte miss ratio 0.6708
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d-1 cache size    10566, 22909474 req, miss ratio 0.5583, byte miss ratio 0.5583
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d-1 cache size    35220, 22909474 req, miss ratio 0.4405, byte miss ratio 0.4405
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d-1 cache size   105662, 22909474 req, miss ratio 0.3520, byte miss ratio 0.3520
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d-1 cache size   352208, 22909474 req, miss ratio 0.2420, byte miss ratio 0.2420
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d-1 cache size   704417, 22909474 req, miss ratio 0.1985, byte miss ratio 0.1985
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d-1 cache size  1408835, 22909474 req, miss ratio 0.1720, byte miss ratio 0.1720
result/cdn2_allcolo.ns769.oracleGeneral.zst S3FIFO-d-1 cache size  2817670, 22909474 req, miss ratio 0.1555, byte miss ratio 0.1555
result/cdn2_allcolo.ns769.oracleGeneral.zst LRB cache size     3522, 22909474 req, miss ratio 0.6625, byte miss ratio 0.6625
result/cdn2_allcolo.ns769.oracleGeneral.zst LRB cache size    10566, 22909474 req, miss ratio 0.5566, byte miss ratio 0.5566
result/cdn2_allcolo.ns769.oracleGeneral.zst LRB cache size    35220, 22909474 req, miss ratio 0.4347, byte miss ratio 0.4347
result/cdn2_allcolo.ns769.oracleGeneral.zst LRB cache size   105662, 22909474 req, miss ratio 0.3426, byte miss ratio 0.3426
result/cdn2_allcolo.ns769.oracleGeneral.zst LRB cache size   352208, 22909474 req, miss ratio 0.2670, byte miss ratio 0.2670
result/cdn2_allcolo.ns769.oracleGeneral.zst LRB cache size   704417, 22909474 req, miss ratio 0.2127, byte miss ratio 0.2127
result/cdn2_allcolo.ns769.oracleGeneral.zst LRB cache size  1408835, 22909474 req, miss ratio 0.1766, byte miss ratio 0.1766
result/cdn2_allcolo.ns769.oracleGeneral.zst LRB cache size  2817670, 22909474 req, miss ratio 0.1563, byte miss ratio 0.1563
result/cdn2_allcolo.ns769.oracleGeneral.zst B-LRU cache size     3522, 22909474 req, miss ratio 0.7327, byte miss ratio 0.7327
result/cdn2_allcolo.ns769.oracleGeneral.zst B-LRU cache size    10566, 22909474 req, miss ratio 0.6234, byte miss ratio 0.6234
result/cdn2_allcolo.ns769.oracleGeneral.zst B-LRU cache size    35220, 22909474 req, miss ratio 0.4792, byte miss ratio 0.4792
result/cdn2_allcolo.ns769.oracleGeneral.zst B-LRU cache size   105662, 22909474 req, miss ratio 0.3566, byte miss ratio 0.3566
result/cdn2_allcolo.ns769.oracleGeneral.zst B-LRU cache size   352208, 22909474 req, miss ratio 0.2818, byte miss ratio 0.2818
result/cdn2_allcolo.ns769.oracleGeneral.zst B-LRU cache size   704417, 22909474 req, miss ratio 0.2241, byte miss ratio 0.2241
result/cdn2_allcolo.ns769.oracleGeneral.zst B-LRU cache size  1408835, 22909474 req, miss ratio 0.2100, byte miss ratio 0.2100
result/cdn2_allcolo.ns769.oracleGeneral.zst B-LRU cache size  2817670, 22909474 req, miss ratio 0.2100, byte miss ratio 0.2100
result/cdn2_allcolo.ns769.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3522, 22909474 req, miss ratio 0.6760, byte miss ratio 0.6760
result/cdn2_allcolo.ns769.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10566, 22909474 req, miss ratio 0.5736, byte miss ratio 0.5736
result/cdn2_allcolo.ns769.oracleGeneral.zst S4LRU(25:25:25:25) cache size    35220, 22909474 req, miss ratio 0.4614, byte miss ratio 0.4614
result/cdn2_allcolo.ns769.oracleGeneral.zst S4LRU(25:25:25:25) cache size   105662, 22909474 req, miss ratio 0.3610, byte miss ratio 0.3610
result/cdn2_allcolo.ns769.oracleGeneral.zst S4LRU(25:25:25:25) cache size   352208, 22909474 req, miss ratio 0.2490, byte miss ratio 0.2490
result/cdn2_allcolo.ns769.oracleGeneral.zst S4LRU(25:25:25:25) cache size   704417, 22909474 req, miss ratio 0.2036, byte miss ratio 0.2036
result/cdn2_allcolo.ns769.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1408835, 22909474 req, miss ratio 0.1764, byte miss ratio 0.1764
result/cdn2_allcolo.ns769.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2817670, 22909474 req, miss ratio 0.1554, byte miss ratio 0.1554
result/cdn2_allcolo.ns769.oracleGeneral.zst TwoQ cache size     3522, 22909474 req, miss ratio 0.6687, byte miss ratio 0.6687
result/cdn2_allcolo.ns769.oracleGeneral.zst TwoQ cache size    10566, 22909474 req, miss ratio 0.5637, byte miss ratio 0.5637
result/cdn2_allcolo.ns769.oracleGeneral.zst TwoQ cache size    35220, 22909474 req, miss ratio 0.4501, byte miss ratio 0.4501
result/cdn2_allcolo.ns769.oracleGeneral.zst TwoQ cache size   105662, 22909474 req, miss ratio 0.3611, byte miss ratio 0.3611
result/cdn2_allcolo.ns769.oracleGeneral.zst TwoQ cache size   352208, 22909474 req, miss ratio 0.2546, byte miss ratio 0.2546
result/cdn2_allcolo.ns769.oracleGeneral.zst TwoQ cache size   704417, 22909474 req, miss ratio 0.2150, byte miss ratio 0.2150
result/cdn2_allcolo.ns769.oracleGeneral.zst TwoQ cache size  1408835, 22909474 req, miss ratio 0.1926, byte miss ratio 0.1926
result/cdn2_allcolo.ns769.oracleGeneral.zst TwoQ cache size  2817670, 22909474 req, miss ratio 0.1682, byte miss ratio 0.1682
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3522, 22909474 req, miss ratio 0.7231, byte miss ratio 0.7231
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10566, 22909474 req, miss ratio 0.6161, byte miss ratio 0.6161
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    35220, 22909474 req, miss ratio 0.4848, byte miss ratio 0.4848
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   105662, 22909474 req, miss ratio 0.3742, byte miss ratio 0.3742
result/cdn2_allcolo.ns769.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   352208, 22909474 req, miss ratio 0.2699, byte miss ratio 0.2699
