result/cdn2_colo28.ns2756.oracleGeneral.zst Clock cache size    19102, 1991545 req, miss ratio 0.0810, byte miss ratio 0.0810
result/cdn2_colo28.ns2756.oracleGeneral.zst Clock cache size    38205, 1991545 req, miss ratio 0.0576, byte miss ratio 0.0576
result/cdn2_colo28.ns2756.oracleGeneral.zst Clock cache size    76411, 1991545 req, miss ratio 0.0483, byte miss ratio 0.0483
result/cdn2_colo28.ns2756.oracleGeneral.zst LHD cache size       95, 1991545 req, miss ratio 0.6163, byte miss ratio 0.6163
result/cdn2_colo28.ns2756.oracleGeneral.zst LHD cache size      286, 1991545 req, miss ratio 0.4578, byte miss ratio 0.4578
result/cdn2_colo28.ns2756.oracleGeneral.zst LHD cache size      955, 1991545 req, miss ratio 0.3658, byte miss ratio 0.3658
result/cdn2_colo28.ns2756.oracleGeneral.zst LHD cache size     2865, 1991545 req, miss ratio 0.2535, byte miss ratio 0.2535
result/cdn2_colo28.ns2756.oracleGeneral.zst LHD cache size     9551, 1991545 req, miss ratio 0.1264, byte miss ratio 0.1264
result/cdn2_colo28.ns2756.oracleGeneral.zst LHD cache size    19102, 1991545 req, miss ratio 0.0792, byte miss ratio 0.0792
result/cdn2_colo28.ns2756.oracleGeneral.zst LHD cache size    38205, 1991545 req, miss ratio 0.0573, byte miss ratio 0.0573
result/cdn2_colo28.ns2756.oracleGeneral.zst LHD cache size    76411, 1991545 req, miss ratio 0.0487, byte miss ratio 0.0487
result/cdn2_colo28.ns2756.oracleGeneral.zst Cacheus cache size       95, 1991545 req, miss ratio 0.5933, byte miss ratio 0.5933
result/cdn2_colo28.ns2756.oracleGeneral.zst Cacheus cache size      286, 1991545 req, miss ratio 0.4484, byte miss ratio 0.4484
result/cdn2_colo28.ns2756.oracleGeneral.zst Cacheus cache size      955, 1991545 req, miss ratio 0.3556, byte miss ratio 0.3556
result/cdn2_colo28.ns2756.oracleGeneral.zst Cacheus cache size     2865, 1991545 req, miss ratio 0.2517, byte miss ratio 0.2517
result/cdn2_colo28.ns2756.oracleGeneral.zst Cacheus cache size     9551, 1991545 req, miss ratio 0.1267, byte miss ratio 0.1267
result/cdn2_colo28.ns2756.oracleGeneral.zst Cacheus cache size    19102, 1991545 req, miss ratio 0.0751, byte miss ratio 0.0751
result/cdn2_colo28.ns2756.oracleGeneral.zst Cacheus cache size    38205, 1991545 req, miss ratio 0.0567, byte miss ratio 0.0567
result/cdn2_colo28.ns2756.oracleGeneral.zst Cacheus cache size    76411, 1991545 req, miss ratio 0.0483, byte miss ratio 0.0483
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d-1 cache size       95, 1991545 req, miss ratio 0.5330, byte miss ratio 0.5330
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d-1 cache size      286, 1991545 req, miss ratio 0.4340, byte miss ratio 0.4340
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d-1 cache size      955, 1991545 req, miss ratio 0.3345, byte miss ratio 0.3345
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d-1 cache size     2865, 1991545 req, miss ratio 0.2314, byte miss ratio 0.2314
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d-1 cache size     9551, 1991545 req, miss ratio 0.1157, byte miss ratio 0.1157
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d-1 cache size    19102, 1991545 req, miss ratio 0.0742, byte miss ratio 0.0742
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d-1 cache size    38205, 1991545 req, miss ratio 0.0562, byte miss ratio 0.0562
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d-1 cache size    76411, 1991545 req, miss ratio 0.0483, byte miss ratio 0.0483
result/cdn2_colo28.ns2756.oracleGeneral.zst LRB cache size       95, 1991545 req, miss ratio 0.5212, byte miss ratio 0.5212
result/cdn2_colo28.ns2756.oracleGeneral.zst LRB cache size      286, 1991545 req, miss ratio 0.4208, byte miss ratio 0.4208
result/cdn2_colo28.ns2756.oracleGeneral.zst LRB cache size      955, 1991545 req, miss ratio 0.3223, byte miss ratio 0.3223
result/cdn2_colo28.ns2756.oracleGeneral.zst LRB cache size     2865, 1991545 req, miss ratio 0.2266, byte miss ratio 0.2266
result/cdn2_colo28.ns2756.oracleGeneral.zst LRB cache size     9551, 1991545 req, miss ratio 0.1201, byte miss ratio 0.1201
result/cdn2_colo28.ns2756.oracleGeneral.zst LRB cache size    19102, 1991545 req, miss ratio 0.0819, byte miss ratio 0.0819
result/cdn2_colo28.ns2756.oracleGeneral.zst LRB cache size    38205, 1991545 req, miss ratio 0.0590, byte miss ratio 0.0590
result/cdn2_colo28.ns2756.oracleGeneral.zst LRB cache size    76411, 1991545 req, miss ratio 0.0485, byte miss ratio 0.0485
result/cdn2_colo28.ns2756.oracleGeneral.zst B-LRU cache size       95, 1991545 req, miss ratio 0.6700, byte miss ratio 0.6700
result/cdn2_colo28.ns2756.oracleGeneral.zst B-LRU cache size      286, 1991545 req, miss ratio 0.4882, byte miss ratio 0.4882
result/cdn2_colo28.ns2756.oracleGeneral.zst B-LRU cache size      955, 1991545 req, miss ratio 0.3839, byte miss ratio 0.3839
result/cdn2_colo28.ns2756.oracleGeneral.zst B-LRU cache size     2865, 1991545 req, miss ratio 0.2733, byte miss ratio 0.2733
result/cdn2_colo28.ns2756.oracleGeneral.zst B-LRU cache size     9551, 1991545 req, miss ratio 0.1431, byte miss ratio 0.1431
result/cdn2_colo28.ns2756.oracleGeneral.zst B-LRU cache size    19102, 1991545 req, miss ratio 0.0983, byte miss ratio 0.0983
result/cdn2_colo28.ns2756.oracleGeneral.zst B-LRU cache size    38205, 1991545 req, miss ratio 0.0827, byte miss ratio 0.0827
result/cdn2_colo28.ns2756.oracleGeneral.zst B-LRU cache size    76411, 1991545 req, miss ratio 0.0799, byte miss ratio 0.0799
result/cdn2_colo28.ns2756.oracleGeneral.zst TwoQ cache size       95, 1991545 req, miss ratio 0.5188, byte miss ratio 0.5188
result/cdn2_colo28.ns2756.oracleGeneral.zst TwoQ cache size      286, 1991545 req, miss ratio 0.4235, byte miss ratio 0.4235
result/cdn2_colo28.ns2756.oracleGeneral.zst TwoQ cache size      955, 1991545 req, miss ratio 0.3288, byte miss ratio 0.3288
result/cdn2_colo28.ns2756.oracleGeneral.zst TwoQ cache size     2865, 1991545 req, miss ratio 0.2316, byte miss ratio 0.2316
result/cdn2_colo28.ns2756.oracleGeneral.zst TwoQ cache size     9551, 1991545 req, miss ratio 0.1194, byte miss ratio 0.1194
result/cdn2_colo28.ns2756.oracleGeneral.zst TwoQ cache size    19102, 1991545 req, miss ratio 0.0803, byte miss ratio 0.0803
result/cdn2_colo28.ns2756.oracleGeneral.zst TwoQ cache size    38205, 1991545 req, miss ratio 0.0658, byte miss ratio 0.0658
result/cdn2_colo28.ns2756.oracleGeneral.zst TwoQ cache size    76411, 1991545 req, miss ratio 0.0506, byte miss ratio 0.0506
result/cdn2_colo28.ns2756.oracleGeneral.zst S4LRU(25:25:25:25) cache size       95, 1991545 req, miss ratio 0.5427, byte miss ratio 0.5427
result/cdn2_colo28.ns2756.oracleGeneral.zst S4LRU(25:25:25:25) cache size      286, 1991545 req, miss ratio 0.4340, byte miss ratio 0.4340
result/cdn2_colo28.ns2756.oracleGeneral.zst S4LRU(25:25:25:25) cache size      955, 1991545 req, miss ratio 0.3403, byte miss ratio 0.3403
result/cdn2_colo28.ns2756.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2865, 1991545 req, miss ratio 0.2379, byte miss ratio 0.2379
result/cdn2_colo28.ns2756.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9551, 1991545 req, miss ratio 0.1193, byte miss ratio 0.1193
result/cdn2_colo28.ns2756.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19102, 1991545 req, miss ratio 0.0750, byte miss ratio 0.0750
result/cdn2_colo28.ns2756.oracleGeneral.zst S4LRU(25:25:25:25) cache size    38205, 1991545 req, miss ratio 0.0561, byte miss ratio 0.0561
result/cdn2_colo28.ns2756.oracleGeneral.zst S4LRU(25:25:25:25) cache size    76411, 1991545 req, miss ratio 0.0483, byte miss ratio 0.0483
result/cdn2_colo28.ns2756.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       95, 1991545 req, miss ratio 0.6916, byte miss ratio 0.6916
result/cdn2_colo28.ns2756.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      286, 1991545 req, miss ratio 0.4807, byte miss ratio 0.4807
result/cdn2_colo28.ns2756.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      955, 1991545 req, miss ratio 0.3692, byte miss ratio 0.3692
result/cdn2_colo28.ns2756.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2865, 1991545 req, miss ratio 0.2612, byte miss ratio 0.2612
result/cdn2_colo28.ns2756.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9551, 1991545 req, miss ratio 0.1378, byte miss ratio 0.1378
result/cdn2_colo28.ns2756.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19102, 1991545 req, miss ratio 0.0889, byte miss ratio 0.0889
result/cdn2_colo28.ns2756.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    38205, 1991545 req, miss ratio 0.0627, byte miss ratio 0.0627
result/cdn2_colo28.ns2756.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    76411, 1991545 req, miss ratio 0.0496, byte miss ratio 0.0496
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO cache size       95, 1991545 req, miss ratio 0.5074, byte miss ratio 0.5074
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO cache size      286, 1991545 req, miss ratio 0.4203, byte miss ratio 0.4203
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO cache size      955, 1991545 req, miss ratio 0.3213, byte miss ratio 0.3213
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO cache size     2865, 1991545 req, miss ratio 0.2218, byte miss ratio 0.2218
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO cache size     9551, 1991545 req, miss ratio 0.1100, byte miss ratio 0.1100
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO cache size    19102, 1991545 req, miss ratio 0.0727, byte miss ratio 0.0727
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO cache size    38205, 1991545 req, miss ratio 0.0565, byte miss ratio 0.0565
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO cache size    76411, 1991545 req, miss ratio 0.0485, byte miss ratio 0.0485
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d cache size       95, 1991545 req, miss ratio 0.5716, byte miss ratio 0.5716
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d cache size      286, 1991545 req, miss ratio 0.4242, byte miss ratio 0.4242
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d cache size      955, 1991545 req, miss ratio 0.3233, byte miss ratio 0.3233
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d cache size     2865, 1991545 req, miss ratio 0.2224, byte miss ratio 0.2224
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d cache size     9551, 1991545 req, miss ratio 0.1103, byte miss ratio 0.1103
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d cache size    19102, 1991545 req, miss ratio 0.0727, byte miss ratio 0.0727
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d cache size    38205, 1991545 req, miss ratio 0.0565, byte miss ratio 0.0565
result/cdn2_colo28.ns2756.oracleGeneral.zst S3FIFO-d cache size    76411, 1991545 req, miss ratio 0.0485, byte miss ratio 0.0485
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       95, 1991545 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      286, 1991545 req, miss ratio 0.4298, byte miss ratio 0.4298
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      955, 1991545 req, miss ratio 0.3303, byte miss ratio 0.3303
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2865, 1991545 req, miss ratio 0.2301, byte miss ratio 0.2301
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9551, 1991545 req, miss ratio 0.1232, byte miss ratio 0.1232
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19102, 1991545 req, miss ratio 0.0864, byte miss ratio 0.0864
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    38205, 1991545 req, miss ratio 0.0658, byte miss ratio 0.0658
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    76411, 1991545 req, miss ratio 0.0521, byte miss ratio 0.0521
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       95, 1991545 req, miss ratio 0.5058, byte miss ratio 0.5058
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      286, 1991545 req, miss ratio 0.4203, byte miss ratio 0.4203
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      955, 1991545 req, miss ratio 0.3557, byte miss ratio 0.3557
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2865, 1991545 req, miss ratio 0.2304, byte miss ratio 0.2304
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9551, 1991545 req, miss ratio 0.1271, byte miss ratio 0.1271
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19102, 1991545 req, miss ratio 0.0911, byte miss ratio 0.0911
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    38205, 1991545 req, miss ratio 0.0699, byte miss ratio 0.0699
result/cdn2_colo28.ns2756.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    76411, 1991545 req, miss ratio 0.0540, byte miss ratio 0.0540
