result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d cache size    38603, 5059171 req, miss ratio 0.1011, byte miss ratio 0.1011
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d cache size    77206, 5059171 req, miss ratio 0.0911, byte miss ratio 0.0911
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d cache size   154412, 5059171 req, miss ratio 0.0830, byte miss ratio 0.0830
result/cdn1_lax.ns209.oracleGeneral.bin.zst S3FIFO-d cache size   308824, 5059171 req, miss ratio 0.0768, byte miss ratio 0.0768
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      386, 5059171 req, miss ratio 0.3768, byte miss ratio 0.3768
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1158, 5059171 req, miss ratio 0.2572, byte miss ratio 0.2572
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     3860, 5059171 req, miss ratio 0.1815, byte miss ratio 0.1815
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    11580, 5059171 req, miss ratio 0.1338, byte miss ratio 0.1338
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    38603, 5059171 req, miss ratio 0.1051, byte miss ratio 0.1051
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    77206, 5059171 req, miss ratio 0.0964, byte miss ratio 0.0964
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   154412, 5059171 req, miss ratio 0.0867, byte miss ratio 0.0867
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   308824, 5059171 req, miss ratio 0.0782, byte miss ratio 0.0782
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      386, 5059171 req, miss ratio 0.2240, byte miss ratio 0.2240
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1158, 5059171 req, miss ratio 0.1769, byte miss ratio 0.1769
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     3860, 5059171 req, miss ratio 0.1502, byte miss ratio 0.1502
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    11580, 5059171 req, miss ratio 0.1270, byte miss ratio 0.1270
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    38603, 5059171 req, miss ratio 0.1061, byte miss ratio 0.1061
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    77206, 5059171 req, miss ratio 0.0969, byte miss ratio 0.0969
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   154412, 5059171 req, miss ratio 0.0881, byte miss ratio 0.0881
result/cdn1_lax.ns209.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   308824, 5059171 req, miss ratio 0.0787, byte miss ratio 0.0787
