result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LIRS cache size     4956, 14409991 req, miss ratio 0.3161, byte miss ratio 0.3161
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LIRS cache size    16522, 14409991 req, miss ratio 0.2486, byte miss ratio 0.2486
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LIRS cache size    49566, 14409991 req, miss ratio 0.1529, byte miss ratio 0.1529
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LIRS cache size   165220, 14409991 req, miss ratio 0.1318, byte miss ratio 0.1318
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LIRS cache size   330440, 14409991 req, miss ratio 0.1229, byte miss ratio 0.1229
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LIRS cache size   660881, 14409991 req, miss ratio 0.1175, byte miss ratio 0.1175
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst LIRS cache size  1321762, 14409991 req, miss ratio 0.1148, byte miss ratio 0.1148
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     1652, 14409991 req, miss ratio 0.3914, byte miss ratio 0.3914
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     4956, 14409991 req, miss ratio 0.2068, byte miss ratio 0.2068
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    16522, 14409991 req, miss ratio 0.1705, byte miss ratio 0.1705
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    49566, 14409991 req, miss ratio 0.1472, byte miss ratio 0.1472
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   165220, 14409991 req, miss ratio 0.1288, byte miss ratio 0.1288
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   330440, 14409991 req, miss ratio 0.1220, byte miss ratio 0.1220
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   660881, 14409991 req, miss ratio 0.1182, byte miss ratio 0.1182
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  1321762, 14409991 req, miss ratio 0.1155, byte miss ratio 0.1155
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     1652, 14409991 req, miss ratio 0.2471, byte miss ratio 0.2471
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     4956, 14409991 req, miss ratio 0.2047, byte miss ratio 0.2047
result/search_signal_query_engagements_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    16522, 14409991 req, miss ratio 0.1703, byte miss ratio 0.1703
