result/tencentBlock.ns4145.oracleGeneral.zst LHD cache size  2395223, 38518283 req, miss ratio 0.1584, byte miss ratio 0.1584
result/tencentBlock.ns4145.oracleGeneral.zst LHD cache size  4790446, 38518283 req, miss ratio 0.1557, byte miss ratio 0.1557
result/tencentBlock.ns4145.oracleGeneral.zst ARC cache size     5988, 38518283 req, miss ratio 0.4166, byte miss ratio 0.4166
result/tencentBlock.ns4145.oracleGeneral.zst ARC cache size    17964, 38518283 req, miss ratio 0.3868, byte miss ratio 0.3868
result/tencentBlock.ns4145.oracleGeneral.zst ARC cache size    59880, 38518283 req, miss ratio 0.2750, byte miss ratio 0.2750
result/tencentBlock.ns4145.oracleGeneral.zst ARC cache size   179641, 38518283 req, miss ratio 0.2046, byte miss ratio 0.2046
result/tencentBlock.ns4145.oracleGeneral.zst ARC cache size   598805, 38518283 req, miss ratio 0.1751, byte miss ratio 0.1751
result/tencentBlock.ns4145.oracleGeneral.zst ARC cache size  1197611, 38518283 req, miss ratio 0.1634, byte miss ratio 0.1634
result/tencentBlock.ns4145.oracleGeneral.zst ARC cache size  2395223, 38518283 req, miss ratio 0.1584, byte miss ratio 0.1584
result/tencentBlock.ns4145.oracleGeneral.zst ARC cache size  4790446, 38518283 req, miss ratio 0.1558, byte miss ratio 0.1558
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d-1 cache size     5988, 38518283 req, miss ratio 0.4145, byte miss ratio 0.4145
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d-1 cache size    17964, 38518283 req, miss ratio 0.3848, byte miss ratio 0.3848
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d-1 cache size    59880, 38518283 req, miss ratio 0.2613, byte miss ratio 0.2613
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d-1 cache size   179641, 38518283 req, miss ratio 0.1969, byte miss ratio 0.1969
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d-1 cache size   598805, 38518283 req, miss ratio 0.1689, byte miss ratio 0.1689
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d-1 cache size  1197611, 38518283 req, miss ratio 0.1638, byte miss ratio 0.1638
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d-1 cache size  2395223, 38518283 req, miss ratio 0.1584, byte miss ratio 0.1584
result/tencentBlock.ns4145.oracleGeneral.zst S3FIFO-d-1 cache size  4790446, 38518283 req, miss ratio 0.1558, byte miss ratio 0.1558
result/tencentBlock.ns4145.oracleGeneral.zst LRB cache size     5988, 38518283 req, miss ratio 0.4161, byte miss ratio 0.4161
result/tencentBlock.ns4145.oracleGeneral.zst LRB cache size    17964, 38518283 req, miss ratio 0.3672, byte miss ratio 0.3672
result/tencentBlock.ns4145.oracleGeneral.zst LRB cache size    59880, 38518283 req, miss ratio 0.2488, byte miss ratio 0.2488
result/tencentBlock.ns4145.oracleGeneral.zst LRB cache size   179641, 38518283 req, miss ratio 0.1921, byte miss ratio 0.1921
result/tencentBlock.ns4145.oracleGeneral.zst LRB cache size   598805, 38518283 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns4145.oracleGeneral.zst LRB cache size  1197611, 38518283 req, miss ratio 0.1663, byte miss ratio 0.1663
result/tencentBlock.ns4145.oracleGeneral.zst LRB cache size  2395223, 38518283 req, miss ratio 0.1603, byte miss ratio 0.1603
result/tencentBlock.ns4145.oracleGeneral.zst LRB cache size  4790446, 38518283 req, miss ratio 0.1561, byte miss ratio 0.1561
result/tencentBlock.ns4145.oracleGeneral.zst S4LRU(25:25:25:25) cache size     5988, 38518283 req, miss ratio 0.4625, byte miss ratio 0.4625
