result/cdn2_allcolo.ns783.oracleGeneral.zst LRB cache size   109139, 13662451 req, miss ratio 0.0978, byte miss ratio 0.0978
result/cdn2_allcolo.ns783.oracleGeneral.zst LRB cache size   218279, 13662451 req, miss ratio 0.0887, byte miss ratio 0.0887
result/cdn2_allcolo.ns783.oracleGeneral.zst LRB cache size   436558, 13662451 req, miss ratio 0.0825, byte miss ratio 0.0825
result/cdn2_allcolo.ns783.oracleGeneral.zst LRB cache size   873116, 13662451 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cdn2_allcolo.ns783.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1091, 13662451 req, miss ratio 0.2801, byte miss ratio 0.2801
result/cdn2_allcolo.ns783.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3274, 13662451 req, miss ratio 0.2152, byte miss ratio 0.2152
result/cdn2_allcolo.ns783.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10913, 13662451 req, miss ratio 0.1597, byte miss ratio 0.1597
result/cdn2_allcolo.ns783.oracleGeneral.zst S4LRU(25:25:25:25) cache size    32741, 13662451 req, miss ratio 0.1193, byte miss ratio 0.1193
result/cdn2_allcolo.ns783.oracleGeneral.zst S4LRU(25:25:25:25) cache size   109139, 13662451 req, miss ratio 0.0936, byte miss ratio 0.0936
result/cdn2_allcolo.ns783.oracleGeneral.zst S4LRU(25:25:25:25) cache size   218279, 13662451 req, miss ratio 0.0873, byte miss ratio 0.0873
result/cdn2_allcolo.ns783.oracleGeneral.zst S4LRU(25:25:25:25) cache size   436558, 13662451 req, miss ratio 0.0830, byte miss ratio 0.0830
result/cdn2_allcolo.ns783.oracleGeneral.zst S4LRU(25:25:25:25) cache size   873116, 13662451 req, miss ratio 0.0800, byte miss ratio 0.0800
result/cdn2_allcolo.ns783.oracleGeneral.zst B-LRU cache size     1091, 13662451 req, miss ratio 0.3052, byte miss ratio 0.3052
result/cdn2_allcolo.ns783.oracleGeneral.zst B-LRU cache size     3274, 13662451 req, miss ratio 0.2329, byte miss ratio 0.2329
result/cdn2_allcolo.ns783.oracleGeneral.zst B-LRU cache size    10913, 13662451 req, miss ratio 0.1675, byte miss ratio 0.1675
result/cdn2_allcolo.ns783.oracleGeneral.zst B-LRU cache size    32741, 13662451 req, miss ratio 0.1296, byte miss ratio 0.1296
result/cdn2_allcolo.ns783.oracleGeneral.zst B-LRU cache size   109139, 13662451 req, miss ratio 0.1038, byte miss ratio 0.1038
result/cdn2_allcolo.ns783.oracleGeneral.zst B-LRU cache size   218279, 13662451 req, miss ratio 0.1013, byte miss ratio 0.1013
result/cdn2_allcolo.ns783.oracleGeneral.zst B-LRU cache size   436558, 13662451 req, miss ratio 0.1012, byte miss ratio 0.1012
result/cdn2_allcolo.ns783.oracleGeneral.zst B-LRU cache size   873116, 13662451 req, miss ratio 0.1012, byte miss ratio 0.1012
result/cdn2_allcolo.ns783.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1091, 13662451 req, miss ratio 0.3056, byte miss ratio 0.3056
result/cdn2_allcolo.ns783.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3274, 13662451 req, miss ratio 0.2344, byte miss ratio 0.2344
result/cdn2_allcolo.ns783.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10913, 13662451 req, miss ratio 0.1720, byte miss ratio 0.1720
result/cdn2_allcolo.ns783.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    32741, 13662451 req, miss ratio 0.1301, byte miss ratio 0.1301
result/cdn2_allcolo.ns783.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   109139, 13662451 req, miss ratio 0.0996, byte miss ratio 0.0996
result/cdn2_allcolo.ns783.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   218279, 13662451 req, miss ratio 0.0894, byte miss ratio 0.0894
result/cdn2_allcolo.ns783.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   436558, 13662451 req, miss ratio 0.0828, byte miss ratio 0.0828
result/cdn2_allcolo.ns783.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   873116, 13662451 req, miss ratio 0.0806, byte miss ratio 0.0806
result/cdn2_allcolo.ns783.oracleGeneral.zst TwoQ cache size     1091, 13662451 req, miss ratio 0.2757, byte miss ratio 0.2757
result/cdn2_allcolo.ns783.oracleGeneral.zst TwoQ cache size     3274, 13662451 req, miss ratio 0.2122, byte miss ratio 0.2122
result/cdn2_allcolo.ns783.oracleGeneral.zst TwoQ cache size    10913, 13662451 req, miss ratio 0.1591, byte miss ratio 0.1591
result/cdn2_allcolo.ns783.oracleGeneral.zst TwoQ cache size    32741, 13662451 req, miss ratio 0.1191, byte miss ratio 0.1191
result/cdn2_allcolo.ns783.oracleGeneral.zst TwoQ cache size   109139, 13662451 req, miss ratio 0.0981, byte miss ratio 0.0981
result/cdn2_allcolo.ns783.oracleGeneral.zst TwoQ cache size   218279, 13662451 req, miss ratio 0.0893, byte miss ratio 0.0893
result/cdn2_allcolo.ns783.oracleGeneral.zst TwoQ cache size   436558, 13662451 req, miss ratio 0.0857, byte miss ratio 0.0857
result/cdn2_allcolo.ns783.oracleGeneral.zst TwoQ cache size   873116, 13662451 req, miss ratio 0.0826, byte miss ratio 0.0826
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO cache size     1091, 13662451 req, miss ratio 0.2706, byte miss ratio 0.2706
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO cache size     3274, 13662451 req, miss ratio 0.2086, byte miss ratio 0.2086
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO cache size    10913, 13662451 req, miss ratio 0.1549, byte miss ratio 0.1549
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO cache size    32741, 13662451 req, miss ratio 0.1158, byte miss ratio 0.1158
result/cdn2_allcolo.ns783.oracleGeneral.zst S3FIFO cache size   109139, 13662451 req, miss ratio 0.0928, byte miss ratio 0.0928
