result/io_traces.ns193.oracleGeneral.zst S3FIFO-d-1 cache size  1198873, 34400000 req, miss ratio 0.0459, byte miss ratio 0.0459
result/io_traces.ns193.oracleGeneral.zst LRB cache size     1498, 34400000 req, miss ratio 0.2353, byte miss ratio 0.2353
result/io_traces.ns193.oracleGeneral.zst LRB cache size     4495, 34400000 req, miss ratio 0.2040, byte miss ratio 0.2040
result/io_traces.ns193.oracleGeneral.zst LRB cache size    14985, 34400000 req, miss ratio 0.1780, byte miss ratio 0.1780
result/io_traces.ns193.oracleGeneral.zst LRB cache size    44957, 34400000 req, miss ratio 0.1461, byte miss ratio 0.1461
result/io_traces.ns193.oracleGeneral.zst LRB cache size   149859, 34400000 req, miss ratio 0.0933, byte miss ratio 0.0933
result/io_traces.ns193.oracleGeneral.zst LRB cache size   299718, 34400000 req, miss ratio 0.0684, byte miss ratio 0.0684
result/io_traces.ns193.oracleGeneral.zst LRB cache size   599436, 34400000 req, miss ratio 0.0531, byte miss ratio 0.0531
result/io_traces.ns193.oracleGeneral.zst LRB cache size  1198873, 34400000 req, miss ratio 0.0450, byte miss ratio 0.0450
result/io_traces.ns193.oracleGeneral.zst B-LRU cache size     1498, 34400000 req, miss ratio 0.2123, byte miss ratio 0.2123
result/io_traces.ns193.oracleGeneral.zst B-LRU cache size     4495, 34400000 req, miss ratio 0.2108, byte miss ratio 0.2108
result/io_traces.ns193.oracleGeneral.zst B-LRU cache size    14985, 34400000 req, miss ratio 0.2028, byte miss ratio 0.2028
result/io_traces.ns193.oracleGeneral.zst B-LRU cache size    44957, 34400000 req, miss ratio 0.1598, byte miss ratio 0.1598
result/io_traces.ns193.oracleGeneral.zst B-LRU cache size   149859, 34400000 req, miss ratio 0.1071, byte miss ratio 0.1071
result/io_traces.ns193.oracleGeneral.zst B-LRU cache size   299718, 34400000 req, miss ratio 0.0958, byte miss ratio 0.0958
result/io_traces.ns193.oracleGeneral.zst B-LRU cache size   599436, 34400000 req, miss ratio 0.0886, byte miss ratio 0.0886
result/io_traces.ns193.oracleGeneral.zst B-LRU cache size  1198873, 34400000 req, miss ratio 0.0834, byte miss ratio 0.0834
result/io_traces.ns193.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1498, 34400000 req, miss ratio 0.2016, byte miss ratio 0.2016
result/io_traces.ns193.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4495, 34400000 req, miss ratio 0.1971, byte miss ratio 0.1971
result/io_traces.ns193.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    14985, 34400000 req, miss ratio 0.1928, byte miss ratio 0.1928
result/io_traces.ns193.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    44957, 34400000 req, miss ratio 0.1684, byte miss ratio 0.1684
result/io_traces.ns193.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   149859, 34400000 req, miss ratio 0.1118, byte miss ratio 0.1118
result/io_traces.ns193.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   299718, 34400000 req, miss ratio 0.0809, byte miss ratio 0.0809
result/io_traces.ns193.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   599436, 34400000 req, miss ratio 0.0582, byte miss ratio 0.0582
result/io_traces.ns193.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1198873, 34400000 req, miss ratio 0.0461, byte miss ratio 0.0461
result/io_traces.ns193.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1498, 34400000 req, miss ratio 0.1976, byte miss ratio 0.1976
result/io_traces.ns193.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4495, 34400000 req, miss ratio 0.1962, byte miss ratio 0.1962
result/io_traces.ns193.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14985, 34400000 req, miss ratio 0.1931, byte miss ratio 0.1931
result/io_traces.ns193.oracleGeneral.zst S4LRU(25:25:25:25) cache size    44957, 34400000 req, miss ratio 0.1698, byte miss ratio 0.1698
result/io_traces.ns193.oracleGeneral.zst S4LRU(25:25:25:25) cache size   149859, 34400000 req, miss ratio 0.0914, byte miss ratio 0.0914
result/io_traces.ns193.oracleGeneral.zst S4LRU(25:25:25:25) cache size   299718, 34400000 req, miss ratio 0.0645, byte miss ratio 0.0645
result/io_traces.ns193.oracleGeneral.zst S4LRU(25:25:25:25) cache size   599436, 34400000 req, miss ratio 0.0549, byte miss ratio 0.0549
result/io_traces.ns193.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1198873, 34400000 req, miss ratio 0.0457, byte miss ratio 0.0457
result/io_traces.ns193.oracleGeneral.zst TwoQ cache size     1498, 34400000 req, miss ratio 0.1979, byte miss ratio 0.1979
result/io_traces.ns193.oracleGeneral.zst TwoQ cache size     4495, 34400000 req, miss ratio 0.1956, byte miss ratio 0.1956
