result/cdn2_allcolo.ns2923.oracleGeneral.zst S4LRU(25:25:25:25) cache size      155, 1055551 req, miss ratio 0.2007, byte miss ratio 0.2007
result/cdn2_allcolo.ns2923.oracleGeneral.zst S4LRU(25:25:25:25) cache size      310, 1055551 req, miss ratio 0.0425, byte miss ratio 0.0425
result/cdn2_allcolo.ns2923.oracleGeneral.zst S4LRU(25:25:25:25) cache size      621, 1055551 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_allcolo.ns2923.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst TwoQ cache size       15, 1055551 req, miss ratio 0.6315, byte miss ratio 0.6315
result/cdn2_allcolo.ns2923.oracleGeneral.zst TwoQ cache size       46, 1055551 req, miss ratio 0.5014, byte miss ratio 0.5014
result/cdn2_allcolo.ns2923.oracleGeneral.zst TwoQ cache size      155, 1055551 req, miss ratio 0.2302, byte miss ratio 0.2302
result/cdn2_allcolo.ns2923.oracleGeneral.zst TwoQ cache size      310, 1055551 req, miss ratio 0.0578, byte miss ratio 0.0578
result/cdn2_allcolo.ns2923.oracleGeneral.zst TwoQ cache size      621, 1055551 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cdn2_allcolo.ns2923.oracleGeneral.zst TwoQ cache size     1242, 1055551 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d cache size       15, 1055551 req, miss ratio 0.6214, byte miss ratio 0.6214
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d cache size       46, 1055551 req, miss ratio 0.4839, byte miss ratio 0.4839
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d cache size      155, 1055551 req, miss ratio 0.2231, byte miss ratio 0.2231
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d cache size      310, 1055551 req, miss ratio 0.0437, byte miss ratio 0.0437
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d cache size      621, 1055551 req, miss ratio 0.0071, byte miss ratio 0.0071
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO-d cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO cache size       15, 1055551 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO cache size       46, 1055551 req, miss ratio 0.4816, byte miss ratio 0.4816
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO cache size      155, 1055551 req, miss ratio 0.2004, byte miss ratio 0.2004
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO cache size      310, 1055551 req, miss ratio 0.0396, byte miss ratio 0.0396
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO cache size      621, 1055551 req, miss ratio 0.0069, byte miss ratio 0.0069
result/cdn2_allcolo.ns2923.oracleGeneral.zst S3FIFO cache size     1242, 1055551 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_allcolo.ns2923.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       15, 1055551 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns2923.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       46, 1055551 req, miss ratio 1.0000, byte miss ratio 1.0000
