result/cdn1_lax.ns194.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    46479, 4153796 req, miss ratio 0.0390, byte miss ratio 0.0390
result/cdn1_lax.ns194.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    92958, 4153796 req, miss ratio 0.0284, byte miss ratio 0.0284
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      116, 4153796 req, miss ratio 0.5937, byte miss ratio 0.5937
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      348, 4153796 req, miss ratio 0.5454, byte miss ratio 0.5454
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1161, 4153796 req, miss ratio 0.4477, byte miss ratio 0.4477
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     3485, 4153796 req, miss ratio 0.3217, byte miss ratio 0.3217
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    11619, 4153796 req, miss ratio 0.1654, byte miss ratio 0.1654
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    23239, 4153796 req, miss ratio 0.0891, byte miss ratio 0.0891
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    46479, 4153796 req, miss ratio 0.0449, byte miss ratio 0.0449
result/cdn1_lax.ns194.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size    92958, 4153796 req, miss ratio 0.0316, byte miss ratio 0.0316
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d cache size      116, 4153796 req, miss ratio 0.5736, byte miss ratio 0.5736
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d cache size      348, 4153796 req, miss ratio 0.5140, byte miss ratio 0.5140
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d cache size     1161, 4153796 req, miss ratio 0.4097, byte miss ratio 0.4097
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d cache size     3485, 4153796 req, miss ratio 0.2846, byte miss ratio 0.2846
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d cache size    11619, 4153796 req, miss ratio 0.1425, byte miss ratio 0.1425
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d cache size    23239, 4153796 req, miss ratio 0.0764, byte miss ratio 0.0764
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d cache size    46479, 4153796 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO-d cache size    92958, 4153796 req, miss ratio 0.0286, byte miss ratio 0.0286
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO cache size      116, 4153796 req, miss ratio 0.5544, byte miss ratio 0.5544
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO cache size      348, 4153796 req, miss ratio 0.4848, byte miss ratio 0.4848
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO cache size     1161, 4153796 req, miss ratio 0.3845, byte miss ratio 0.3845
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO cache size     3485, 4153796 req, miss ratio 0.2717, byte miss ratio 0.2717
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO cache size    11619, 4153796 req, miss ratio 0.1393, byte miss ratio 0.1393
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO cache size    23239, 4153796 req, miss ratio 0.0754, byte miss ratio 0.0754
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO cache size    46479, 4153796 req, miss ratio 0.0394, byte miss ratio 0.0394
result/cdn1_lax.ns194.oracleGeneral.bin.zst S3FIFO cache size    92958, 4153796 req, miss ratio 0.0286, byte miss ratio 0.0286
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      116, 4153796 req, miss ratio 0.5673, byte miss ratio 0.5673
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      348, 4153796 req, miss ratio 0.4829, byte miss ratio 0.4829
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1161, 4153796 req, miss ratio 0.3801, byte miss ratio 0.3801
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     3485, 4153796 req, miss ratio 0.2669, byte miss ratio 0.2669
result/cdn1_lax.ns194.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    11619, 4153796 req, miss ratio 0.1353, byte miss ratio 0.1353
