result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d-1 cache size     4942, 1917229 req, miss ratio 0.3175, byte miss ratio 0.3175
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d-1 cache size    14826, 1917229 req, miss ratio 0.2908, byte miss ratio 0.2908
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d-1 cache size    49422, 1917229 req, miss ratio 0.2731, byte miss ratio 0.2731
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d-1 cache size    98844, 1917229 req, miss ratio 0.2654, byte miss ratio 0.2654
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d-1 cache size   197688, 1917229 req, miss ratio 0.2607, byte miss ratio 0.2607
result/cdn2_allcolo.ns579.oracleGeneral.zst S3FIFO-d-1 cache size   395377, 1917229 req, miss ratio 0.2580, byte miss ratio 0.2580
result/cdn2_allcolo.ns579.oracleGeneral.zst LRB cache size      494, 1917229 req, miss ratio 0.4389, byte miss ratio 0.4389
result/cdn2_allcolo.ns579.oracleGeneral.zst LRB cache size     1482, 1917229 req, miss ratio 0.3753, byte miss ratio 0.3753
result/cdn2_allcolo.ns579.oracleGeneral.zst LRB cache size     4942, 1917229 req, miss ratio 0.3316, byte miss ratio 0.3316
result/cdn2_allcolo.ns579.oracleGeneral.zst LRB cache size    14826, 1917229 req, miss ratio 0.3046, byte miss ratio 0.3046
result/cdn2_allcolo.ns579.oracleGeneral.zst LRB cache size    49422, 1917229 req, miss ratio 0.2831, byte miss ratio 0.2831
result/cdn2_allcolo.ns579.oracleGeneral.zst LRB cache size    98844, 1917229 req, miss ratio 0.2702, byte miss ratio 0.2702
result/cdn2_allcolo.ns579.oracleGeneral.zst LRB cache size   197688, 1917229 req, miss ratio 0.2623, byte miss ratio 0.2623
result/cdn2_allcolo.ns579.oracleGeneral.zst LRB cache size   395377, 1917229 req, miss ratio 0.2581, byte miss ratio 0.2581
result/cdn2_allcolo.ns579.oracleGeneral.zst S4LRU(25:25:25:25) cache size      494, 1917229 req, miss ratio 0.4362, byte miss ratio 0.4362
result/cdn2_allcolo.ns579.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1482, 1917229 req, miss ratio 0.3646, byte miss ratio 0.3646
result/cdn2_allcolo.ns579.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4942, 1917229 req, miss ratio 0.3212, byte miss ratio 0.3212
result/cdn2_allcolo.ns579.oracleGeneral.zst S4LRU(25:25:25:25) cache size    14826, 1917229 req, miss ratio 0.2952, byte miss ratio 0.2952
result/cdn2_allcolo.ns579.oracleGeneral.zst S4LRU(25:25:25:25) cache size    49422, 1917229 req, miss ratio 0.2769, byte miss ratio 0.2769
result/cdn2_allcolo.ns579.oracleGeneral.zst S4LRU(25:25:25:25) cache size    98844, 1917229 req, miss ratio 0.2684, byte miss ratio 0.2684
result/cdn2_allcolo.ns579.oracleGeneral.zst S4LRU(25:25:25:25) cache size   197688, 1917229 req, miss ratio 0.2620, byte miss ratio 0.2620
result/cdn2_allcolo.ns579.oracleGeneral.zst S4LRU(25:25:25:25) cache size   395377, 1917229 req, miss ratio 0.2580, byte miss ratio 0.2580
result/cdn2_allcolo.ns579.oracleGeneral.zst TwoQ cache size      494, 1917229 req, miss ratio 0.4325, byte miss ratio 0.4325
result/cdn2_allcolo.ns579.oracleGeneral.zst TwoQ cache size     1482, 1917229 req, miss ratio 0.3663, byte miss ratio 0.3663
result/cdn2_allcolo.ns579.oracleGeneral.zst TwoQ cache size     4942, 1917229 req, miss ratio 0.3173, byte miss ratio 0.3173
