result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d cache size     1089, 5307161 req, miss ratio 0.6051, byte miss ratio 0.6051
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d cache size     3632, 5307161 req, miss ratio 0.5781, byte miss ratio 0.5781
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d cache size    10898, 5307161 req, miss ratio 0.4725, byte miss ratio 0.4725
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d cache size    36329, 5307161 req, miss ratio 0.2682, byte miss ratio 0.2682
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d cache size    72659, 5307161 req, miss ratio 0.1317, byte miss ratio 0.1317
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d cache size   145319, 5307161 req, miss ratio 0.0827, byte miss ratio 0.0827
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO-d cache size   290638, 5307161 req, miss ratio 0.0696, byte miss ratio 0.0696
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO cache size      363, 5307161 req, miss ratio 0.6621, byte miss ratio 0.6621
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO cache size     1089, 5307161 req, miss ratio 0.6064, byte miss ratio 0.6064
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO cache size     3632, 5307161 req, miss ratio 0.5818, byte miss ratio 0.5818
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO cache size    10898, 5307161 req, miss ratio 0.4733, byte miss ratio 0.4733
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO cache size    36329, 5307161 req, miss ratio 0.2476, byte miss ratio 0.2476
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO cache size    72659, 5307161 req, miss ratio 0.1324, byte miss ratio 0.1324
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO cache size   145319, 5307161 req, miss ratio 0.0829, byte miss ratio 0.0829
result/tencentBlock.ns4830.oracleGeneral.zst S3FIFO cache size   290638, 5307161 req, miss ratio 0.0696, byte miss ratio 0.0696
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      363, 5307161 req, miss ratio 0.7662, byte miss ratio 0.7662
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1089, 5307161 req, miss ratio 0.6632, byte miss ratio 0.6632
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3632, 5307161 req, miss ratio 0.5565, byte miss ratio 0.5565
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10898, 5307161 req, miss ratio 0.5162, byte miss ratio 0.5162
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    36329, 5307161 req, miss ratio 0.2180, byte miss ratio 0.2180
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    72659, 5307161 req, miss ratio 0.1382, byte miss ratio 0.1382
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   145319, 5307161 req, miss ratio 0.0950, byte miss ratio 0.0950
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   290638, 5307161 req, miss ratio 0.0739, byte miss ratio 0.0739
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      363, 5307161 req, miss ratio 0.6469, byte miss ratio 0.6469
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1089, 5307161 req, miss ratio 0.6107, byte miss ratio 0.6107
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3632, 5307161 req, miss ratio 0.5519, byte miss ratio 0.5519
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10898, 5307161 req, miss ratio 0.4678, byte miss ratio 0.4678
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    36329, 5307161 req, miss ratio 0.2171, byte miss ratio 0.2171
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    72659, 5307161 req, miss ratio 0.1219, byte miss ratio 0.1219
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   145319, 5307161 req, miss ratio 0.0847, byte miss ratio 0.0847
result/tencentBlock.ns4830.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   290638, 5307161 req, miss ratio 0.0760, byte miss ratio 0.0760
