result/event_sessions_cache.1.oracleGeneral.sample10.zst TwoQ cache size    10783, 147784001 req, miss ratio 0.2528, byte miss ratio 0.2528
result/event_sessions_cache.1.oracleGeneral.sample10.zst TwoQ cache size    32349, 147784001 req, miss ratio 0.2134, byte miss ratio 0.2134
result/event_sessions_cache.1.oracleGeneral.sample10.zst TwoQ cache size   107833, 147784001 req, miss ratio 0.1664, byte miss ratio 0.1664
result/event_sessions_cache.1.oracleGeneral.sample10.zst TwoQ cache size   323499, 147784001 req, miss ratio 0.0955, byte miss ratio 0.0955
result/event_sessions_cache.1.oracleGeneral.sample10.zst TwoQ cache size  1078332, 147784001 req, miss ratio 0.0775, byte miss ratio 0.0775
result/event_sessions_cache.1.oracleGeneral.sample10.zst TwoQ cache size  2156664, 147784001 req, miss ratio 0.0742, byte miss ratio 0.0742
result/event_sessions_cache.1.oracleGeneral.sample10.zst TwoQ cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst TwoQ cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    10783, 147784001 req, miss ratio 0.2549, byte miss ratio 0.2549
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    32349, 147784001 req, miss ratio 0.1959, byte miss ratio 0.1959
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   107833, 147784001 req, miss ratio 0.1242, byte miss ratio 0.1242
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   323499, 147784001 req, miss ratio 0.0959, byte miss ratio 0.0959
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1078332, 147784001 req, miss ratio 0.0828, byte miss ratio 0.0828
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  2156664, 147784001 req, miss ratio 0.0772, byte miss ratio 0.0772
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  4313328, 147784001 req, miss ratio 0.0734, byte miss ratio 0.0734
result/event_sessions_cache.1.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    10783, 147784001 req, miss ratio 0.2511, byte miss ratio 0.2511
result/event_sessions_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    32349, 147784001 req, miss ratio 0.2169, byte miss ratio 0.2169
result/event_sessions_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   107833, 147784001 req, miss ratio 0.0982, byte miss ratio 0.0982
result/event_sessions_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   323499, 147784001 req, miss ratio 0.0845, byte miss ratio 0.0845
result/event_sessions_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  1078332, 147784001 req, miss ratio 0.0769, byte miss ratio 0.0769
result/event_sessions_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  2156664, 147784001 req, miss ratio 0.0742, byte miss ratio 0.0742
result/event_sessions_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    10783, 147784001 req, miss ratio 0.2490, byte miss ratio 0.2490
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size    32349, 147784001 req, miss ratio 0.2129, byte miss ratio 0.2129
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   107833, 147784001 req, miss ratio 0.1054, byte miss ratio 0.1054
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size   323499, 147784001 req, miss ratio 0.0868, byte miss ratio 0.0868
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  1078332, 147784001 req, miss ratio 0.0794, byte miss ratio 0.0794
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  2156664, 147784001 req, miss ratio 0.0751, byte miss ratio 0.0751
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO-d cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    10783, 147784001 req, miss ratio 0.2530, byte miss ratio 0.2530
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO cache size    32349, 147784001 req, miss ratio 0.2079, byte miss ratio 0.2079
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   107833, 147784001 req, miss ratio 0.1309, byte miss ratio 0.1309
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO cache size   323499, 147784001 req, miss ratio 0.0914, byte miss ratio 0.0914
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  1078332, 147784001 req, miss ratio 0.0784, byte miss ratio 0.0784
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  2156664, 147784001 req, miss ratio 0.0747, byte miss ratio 0.0747
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  4313328, 147784001 req, miss ratio 0.0733, byte miss ratio 0.0733
result/event_sessions_cache.1.oracleGeneral.sample10.zst S3FIFO cache size  8626656, 147784001 req, miss ratio 0.0730, byte miss ratio 0.0730
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    10783, 147784001 req, miss ratio 0.2908, byte miss ratio 0.2908
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    32349, 147784001 req, miss ratio 0.2719, byte miss ratio 0.2719
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   107833, 147784001 req, miss ratio 0.2953, byte miss ratio 0.2953
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   323499, 147784001 req, miss ratio 0.2772, byte miss ratio 0.2772
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1078332, 147784001 req, miss ratio 0.1947, byte miss ratio 0.1947
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  2156664, 147784001 req, miss ratio 0.1683, byte miss ratio 0.1683
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  4313328, 147784001 req, miss ratio 0.1449, byte miss ratio 0.1449
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  8626656, 147784001 req, miss ratio 0.0789, byte miss ratio 0.0789
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    10783, 147784001 req, miss ratio 0.2986, byte miss ratio 0.2986
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    32349, 147784001 req, miss ratio 0.2869, byte miss ratio 0.2869
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   107833, 147784001 req, miss ratio 0.2451, byte miss ratio 0.2451
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   323499, 147784001 req, miss ratio 0.2113, byte miss ratio 0.2113
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1078332, 147784001 req, miss ratio 0.0916, byte miss ratio 0.0916
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  2156664, 147784001 req, miss ratio 0.0843, byte miss ratio 0.0843
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  4313328, 147784001 req, miss ratio 0.0782, byte miss ratio 0.0782
result/event_sessions_cache.1.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  8626656, 147784001 req, miss ratio 0.0738, byte miss ratio 0.0738
