result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-1 cache size       70, 1724371 req, miss ratio 0.0901, byte miss ratio 0.0901
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-1 cache size      212, 1724371 req, miss ratio 0.0550, byte miss ratio 0.0550
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-1 cache size      708, 1724371 req, miss ratio 0.0258, byte miss ratio 0.0258
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-1 cache size     1416, 1724371 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-1 cache size     2832, 1724371 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-1 cache size     5664, 1724371 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1605.oracleGeneral.zst LeCaR cache size        7, 1724371 req, miss ratio 0.1932, byte miss ratio 0.1932
result/cdn2_allcolo.ns1605.oracleGeneral.zst LeCaR cache size       21, 1724371 req, miss ratio 0.1533, byte miss ratio 0.1533
result/cdn2_allcolo.ns1605.oracleGeneral.zst LeCaR cache size       70, 1724371 req, miss ratio 0.0987, byte miss ratio 0.0987
result/cdn2_allcolo.ns1605.oracleGeneral.zst LeCaR cache size      212, 1724371 req, miss ratio 0.0606, byte miss ratio 0.0606
result/cdn2_allcolo.ns1605.oracleGeneral.zst LeCaR cache size      708, 1724371 req, miss ratio 0.0286, byte miss ratio 0.0286
result/cdn2_allcolo.ns1605.oracleGeneral.zst LeCaR cache size     1416, 1724371 req, miss ratio 0.0166, byte miss ratio 0.0166
result/cdn2_allcolo.ns1605.oracleGeneral.zst LeCaR cache size     2832, 1724371 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_allcolo.ns1605.oracleGeneral.zst LeCaR cache size     5664, 1724371 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d-1 cache size        7, 1724371 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d-1 cache size       21, 1724371 req, miss ratio 0.1380, byte miss ratio 0.1380
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d-1 cache size       70, 1724371 req, miss ratio 0.0941, byte miss ratio 0.0941
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d-1 cache size      212, 1724371 req, miss ratio 0.0554, byte miss ratio 0.0554
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d-1 cache size      708, 1724371 req, miss ratio 0.0258, byte miss ratio 0.0258
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d-1 cache size     1416, 1724371 req, miss ratio 0.0151, byte miss ratio 0.0151
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d-1 cache size     2832, 1724371 req, miss ratio 0.0082, byte miss ratio 0.0082
result/cdn2_allcolo.ns1605.oracleGeneral.zst S3FIFO-d-1 cache size     5664, 1724371 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1605.oracleGeneral.zst LRB cache size        7, 1724371 req, miss ratio 0.1750, byte miss ratio 0.1750
result/cdn2_allcolo.ns1605.oracleGeneral.zst LRB cache size       21, 1724371 req, miss ratio 0.1283, byte miss ratio 0.1283
result/cdn2_allcolo.ns1605.oracleGeneral.zst LRB cache size       70, 1724371 req, miss ratio 0.0850, byte miss ratio 0.0850
result/cdn2_allcolo.ns1605.oracleGeneral.zst LRB cache size      212, 1724371 req, miss ratio 0.0514, byte miss ratio 0.0514
result/cdn2_allcolo.ns1605.oracleGeneral.zst LRB cache size      708, 1724371 req, miss ratio 0.0230, byte miss ratio 0.0230
result/cdn2_allcolo.ns1605.oracleGeneral.zst LRB cache size     1416, 1724371 req, miss ratio 0.0130, byte miss ratio 0.0130
result/cdn2_allcolo.ns1605.oracleGeneral.zst LRB cache size     2832, 1724371 req, miss ratio 0.0076, byte miss ratio 0.0076
result/cdn2_allcolo.ns1605.oracleGeneral.zst LRB cache size     5664, 1724371 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns1605.oracleGeneral.zst TwoQ cache size        7, 1724371 req, miss ratio 0.1823, byte miss ratio 0.1823
