result/w47.oracleGeneral.bin.zst FIFO cache size      894, 14314717 req, miss ratio 0.1741, byte miss ratio 0.1741
result/w47.oracleGeneral.bin.zst FIFO cache size     2982, 14314717 req, miss ratio 0.1567, byte miss ratio 0.1567
result/w47.oracleGeneral.bin.zst FIFO cache size     8946, 14314717 req, miss ratio 0.1498, byte miss ratio 0.1498
result/w47.oracleGeneral.bin.zst FIFO cache size    29821, 14314717 req, miss ratio 0.1179, byte miss ratio 0.1179
result/w47.oracleGeneral.bin.zst FIFO cache size    59642, 14314717 req, miss ratio 0.0727, byte miss ratio 0.0727
result/w47.oracleGeneral.bin.zst FIFO cache size   119285, 14314717 req, miss ratio 0.0419, byte miss ratio 0.0419
result/w47.oracleGeneral.bin.zst FIFO cache size   238571, 14314717 req, miss ratio 0.0254, byte miss ratio 0.0254
result/w47.oracleGeneral.bin.zst Clock cache size      298, 14314717 req, miss ratio 0.1695, byte miss ratio 0.1695
result/w47.oracleGeneral.bin.zst Clock cache size      894, 14314717 req, miss ratio 0.1570, byte miss ratio 0.1570
result/w47.oracleGeneral.bin.zst Clock cache size     2982, 14314717 req, miss ratio 0.1490, byte miss ratio 0.1490
result/w47.oracleGeneral.bin.zst Clock cache size     8946, 14314717 req, miss ratio 0.1464, byte miss ratio 0.1464
result/w47.oracleGeneral.bin.zst Clock cache size    29821, 14314717 req, miss ratio 0.1038, byte miss ratio 0.1038
result/w47.oracleGeneral.bin.zst Clock cache size    59642, 14314717 req, miss ratio 0.0570, byte miss ratio 0.0570
result/w47.oracleGeneral.bin.zst Clock cache size   119285, 14314717 req, miss ratio 0.0330, byte miss ratio 0.0330
result/w47.oracleGeneral.bin.zst Clock cache size   238571, 14314717 req, miss ratio 0.0222, byte miss ratio 0.0222
result/w47.oracleGeneral.bin.zst LeCaR cache size      298, 14314717 req, miss ratio 0.1684, byte miss ratio 0.1684
result/w47.oracleGeneral.bin.zst LeCaR cache size      894, 14314717 req, miss ratio 0.1562, byte miss ratio 0.1562
result/w47.oracleGeneral.bin.zst LeCaR cache size     2982, 14314717 req, miss ratio 0.1488, byte miss ratio 0.1488
result/w47.oracleGeneral.bin.zst LeCaR cache size     8946, 14314717 req, miss ratio 0.1463, byte miss ratio 0.1463
result/w47.oracleGeneral.bin.zst LeCaR cache size    29821, 14314717 req, miss ratio 0.0943, byte miss ratio 0.0943
result/w47.oracleGeneral.bin.zst LeCaR cache size    59642, 14314717 req, miss ratio 0.0509, byte miss ratio 0.0509
result/w47.oracleGeneral.bin.zst LeCaR cache size   119285, 14314717 req, miss ratio 0.0308, byte miss ratio 0.0308
result/w47.oracleGeneral.bin.zst LeCaR cache size   238571, 14314717 req, miss ratio 0.0214, byte miss ratio 0.0214
result/w47.oracleGeneral.bin.zst LHD cache size      298, 14314717 req, miss ratio 0.1787, byte miss ratio 0.1787
result/w47.oracleGeneral.bin.zst LHD cache size      894, 14314717 req, miss ratio 0.1559, byte miss ratio 0.1559
result/w47.oracleGeneral.bin.zst LHD cache size     2982, 14314717 req, miss ratio 0.1470, byte miss ratio 0.1470
result/w47.oracleGeneral.bin.zst LHD cache size     8946, 14314717 req, miss ratio 0.1321, byte miss ratio 0.1321
result/w47.oracleGeneral.bin.zst LHD cache size    29821, 14314717 req, miss ratio 0.0817, byte miss ratio 0.0817
result/w47.oracleGeneral.bin.zst LHD cache size    59642, 14314717 req, miss ratio 0.0439, byte miss ratio 0.0439
result/w47.oracleGeneral.bin.zst LHD cache size   119285, 14314717 req, miss ratio 0.0284, byte miss ratio 0.0284
result/w47.oracleGeneral.bin.zst LHD cache size   238571, 14314717 req, miss ratio 0.0214, byte miss ratio 0.0214
result/w47.oracleGeneral.bin.zst Cacheus cache size      298, 14314717 req, miss ratio 0.1617, byte miss ratio 0.1617
result/w47.oracleGeneral.bin.zst Cacheus cache size      894, 14314717 req, miss ratio 0.1515, byte miss ratio 0.1515
result/w47.oracleGeneral.bin.zst Cacheus cache size     2982, 14314717 req, miss ratio 0.1474, byte miss ratio 0.1474
result/w47.oracleGeneral.bin.zst Cacheus cache size     8946, 14314717 req, miss ratio 0.1454, byte miss ratio 0.1454
result/w47.oracleGeneral.bin.zst Cacheus cache size    29821, 14314717 req, miss ratio 0.1078, byte miss ratio 0.1078
result/w47.oracleGeneral.bin.zst Cacheus cache size    59642, 14314717 req, miss ratio 0.0544, byte miss ratio 0.0544
result/w47.oracleGeneral.bin.zst Cacheus cache size   119285, 14314717 req, miss ratio 0.0312, byte miss ratio 0.0312
result/w47.oracleGeneral.bin.zst Cacheus cache size   238571, 14314717 req, miss ratio 0.0216, byte miss ratio 0.0216
result/w47.oracleGeneral.bin.zst clock2 cache size      298, 14314717 req, miss ratio 0.1679, byte miss ratio 0.1679
result/w47.oracleGeneral.bin.zst clock2 cache size      894, 14314717 req, miss ratio 0.1565, byte miss ratio 0.1565
result/w47.oracleGeneral.bin.zst clock2 cache size     2982, 14314717 req, miss ratio 0.1487, byte miss ratio 0.1487
result/w47.oracleGeneral.bin.zst clock2 cache size     8946, 14314717 req, miss ratio 0.1462, byte miss ratio 0.1462
result/w47.oracleGeneral.bin.zst clock2 cache size    29821, 14314717 req, miss ratio 0.1051, byte miss ratio 0.1051
result/w47.oracleGeneral.bin.zst clock2 cache size    59642, 14314717 req, miss ratio 0.0567, byte miss ratio 0.0567
result/w47.oracleGeneral.bin.zst clock2 cache size   119285, 14314717 req, miss ratio 0.0357, byte miss ratio 0.0357
result/w47.oracleGeneral.bin.zst clock2 cache size   238571, 14314717 req, miss ratio 0.0220, byte miss ratio 0.0220
result/w47.oracleGeneral.bin.zst S3FIFO-d-1 cache size      298, 14314717 req, miss ratio 0.1599, byte miss ratio 0.1599
result/w47.oracleGeneral.bin.zst S3FIFO-d-1 cache size      894, 14314717 req, miss ratio 0.1502, byte miss ratio 0.1502
result/w47.oracleGeneral.bin.zst S3FIFO-d-1 cache size     2982, 14314717 req, miss ratio 0.1471, byte miss ratio 0.1471
result/w47.oracleGeneral.bin.zst S3FIFO-d-1 cache size     8946, 14314717 req, miss ratio 0.1454, byte miss ratio 0.1454
result/w47.oracleGeneral.bin.zst S3FIFO-d-1 cache size    29821, 14314717 req, miss ratio 0.0893, byte miss ratio 0.0893
result/w47.oracleGeneral.bin.zst S3FIFO-d-1 cache size    59642, 14314717 req, miss ratio 0.0475, byte miss ratio 0.0475
result/w47.oracleGeneral.bin.zst S3FIFO-d-1 cache size   119285, 14314717 req, miss ratio 0.0333, byte miss ratio 0.0333
result/w47.oracleGeneral.bin.zst S3FIFO-d-1 cache size   238571, 14314717 req, miss ratio 0.0222, byte miss ratio 0.0222
result/w47.oracleGeneral.bin.zst LRB cache size      298, 14314717 req, miss ratio 0.1811, byte miss ratio 0.1811
result/w47.oracleGeneral.bin.zst LRB cache size      894, 14314717 req, miss ratio 0.1682, byte miss ratio 0.1682
result/w47.oracleGeneral.bin.zst LRB cache size     2982, 14314717 req, miss ratio 0.1515, byte miss ratio 0.1515
result/w47.oracleGeneral.bin.zst LRB cache size     8946, 14314717 req, miss ratio 0.1294, byte miss ratio 0.1294
result/w47.oracleGeneral.bin.zst LRB cache size    29821, 14314717 req, miss ratio 0.0700, byte miss ratio 0.0700
result/w47.oracleGeneral.bin.zst LRB cache size    59642, 14314717 req, miss ratio 0.0413, byte miss ratio 0.0413
result/w47.oracleGeneral.bin.zst LRB cache size   119285, 14314717 req, miss ratio 0.0294, byte miss ratio 0.0294
result/w47.oracleGeneral.bin.zst LRB cache size   238571, 14314717 req, miss ratio 0.0217, byte miss ratio 0.0217
result/w47.oracleGeneral.bin.zst B-LRU cache size      298, 14314717 req, miss ratio 0.1800, byte miss ratio 0.1800
result/w47.oracleGeneral.bin.zst B-LRU cache size      894, 14314717 req, miss ratio 0.1684, byte miss ratio 0.1684
result/w47.oracleGeneral.bin.zst B-LRU cache size     2982, 14314717 req, miss ratio 0.1609, byte miss ratio 0.1609
result/w47.oracleGeneral.bin.zst B-LRU cache size     8946, 14314717 req, miss ratio 0.1580, byte miss ratio 0.1580
result/w47.oracleGeneral.bin.zst B-LRU cache size    29821, 14314717 req, miss ratio 0.1165, byte miss ratio 0.1165
result/w47.oracleGeneral.bin.zst B-LRU cache size    59642, 14314717 req, miss ratio 0.0666, byte miss ratio 0.0666
result/w47.oracleGeneral.bin.zst B-LRU cache size   119285, 14314717 req, miss ratio 0.0473, byte miss ratio 0.0473
result/w47.oracleGeneral.bin.zst B-LRU cache size   238571, 14314717 req, miss ratio 0.0401, byte miss ratio 0.0401
