result/io_traces.ns460.oracleGeneral.zst S3FIFO cache size    20886, 19000000 req, miss ratio 0.2372, byte miss ratio 0.2372
result/io_traces.ns460.oracleGeneral.zst S3FIFO cache size    62660, 19000000 req, miss ratio 0.1949, byte miss ratio 0.1949
result/io_traces.ns460.oracleGeneral.zst S3FIFO cache size   208867, 19000000 req, miss ratio 0.1277, byte miss ratio 0.1277
result/io_traces.ns460.oracleGeneral.zst S3FIFO cache size   417735, 19000000 req, miss ratio 0.1208, byte miss ratio 0.1208
result/io_traces.ns460.oracleGeneral.zst S3FIFO cache size   835471, 19000000 req, miss ratio 0.1145, byte miss ratio 0.1145
result/io_traces.ns460.oracleGeneral.zst S3FIFO cache size  1670943, 19000000 req, miss ratio 0.1102, byte miss ratio 0.1102
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2088, 19000000 req, miss ratio 0.4413, byte miss ratio 0.4413
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6266, 19000000 req, miss ratio 0.4117, byte miss ratio 0.4117
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    20886, 19000000 req, miss ratio 0.3023, byte miss ratio 0.3023
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    62660, 19000000 req, miss ratio 0.2430, byte miss ratio 0.2430
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   208867, 19000000 req, miss ratio 0.2088, byte miss ratio 0.2088
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   417735, 19000000 req, miss ratio 0.1803, byte miss ratio 0.1803
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   835471, 19000000 req, miss ratio 0.1517, byte miss ratio 0.1517
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1670943, 19000000 req, miss ratio 0.1149, byte miss ratio 0.1149
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2088, 19000000 req, miss ratio 0.4923, byte miss ratio 0.4923
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6266, 19000000 req, miss ratio 0.5516, byte miss ratio 0.5516
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    20886, 19000000 req, miss ratio 0.2960, byte miss ratio 0.2960
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    62660, 19000000 req, miss ratio 0.2032, byte miss ratio 0.2032
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   208867, 19000000 req, miss ratio 0.1368, byte miss ratio 0.1368
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   417735, 19000000 req, miss ratio 0.1228, byte miss ratio 0.1228
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   835471, 19000000 req, miss ratio 0.1189, byte miss ratio 0.1189
result/io_traces.ns460.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1670943, 19000000 req, miss ratio 0.1113, byte miss ratio 0.1113
