result/io_traces.ns276.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13569, 51600000 req, miss ratio 0.3326, byte miss ratio 0.3326
result/io_traces.ns276.oracleGeneral.zst S4LRU(25:25:25:25) cache size    45230, 51600000 req, miss ratio 0.2547, byte miss ratio 0.2547
result/io_traces.ns276.oracleGeneral.zst S4LRU(25:25:25:25) cache size   135692, 51600000 req, miss ratio 0.2449, byte miss ratio 0.2449
result/io_traces.ns276.oracleGeneral.zst S4LRU(25:25:25:25) cache size   452308, 51600000 req, miss ratio 0.2172, byte miss ratio 0.2172
result/io_traces.ns276.oracleGeneral.zst S4LRU(25:25:25:25) cache size   904617, 51600000 req, miss ratio 0.1688, byte miss ratio 0.1688
result/io_traces.ns276.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1809234, 51600000 req, miss ratio 0.1190, byte miss ratio 0.1190
result/io_traces.ns276.oracleGeneral.zst S4LRU(25:25:25:25) cache size  3618468, 51600000 req, miss ratio 0.0879, byte miss ratio 0.0879
result/io_traces.ns276.oracleGeneral.zst TwoQ cache size     4523, 51600000 req, miss ratio 0.4013, byte miss ratio 0.4013
result/io_traces.ns276.oracleGeneral.zst TwoQ cache size    13569, 51600000 req, miss ratio 0.3223, byte miss ratio 0.3223
result/io_traces.ns276.oracleGeneral.zst TwoQ cache size    45230, 51600000 req, miss ratio 0.2537, byte miss ratio 0.2537
result/io_traces.ns276.oracleGeneral.zst TwoQ cache size   135692, 51600000 req, miss ratio 0.2297, byte miss ratio 0.2297
result/io_traces.ns276.oracleGeneral.zst TwoQ cache size   452308, 51600000 req, miss ratio 0.2103, byte miss ratio 0.2103
result/io_traces.ns276.oracleGeneral.zst TwoQ cache size   904617, 51600000 req, miss ratio 0.1780, byte miss ratio 0.1780
result/io_traces.ns276.oracleGeneral.zst TwoQ cache size  1809234, 51600000 req, miss ratio 0.1334, byte miss ratio 0.1334
result/io_traces.ns276.oracleGeneral.zst TwoQ cache size  3618468, 51600000 req, miss ratio 0.0899, byte miss ratio 0.0899
result/io_traces.ns276.oracleGeneral.zst B-LRU cache size     4523, 51600000 req, miss ratio 0.4171, byte miss ratio 0.4171
result/io_traces.ns276.oracleGeneral.zst B-LRU cache size    13569, 51600000 req, miss ratio 0.3245, byte miss ratio 0.3245
result/io_traces.ns276.oracleGeneral.zst B-LRU cache size    45230, 51600000 req, miss ratio 0.3071, byte miss ratio 0.3071
result/io_traces.ns276.oracleGeneral.zst B-LRU cache size   135692, 51600000 req, miss ratio 0.3017, byte miss ratio 0.3017
result/io_traces.ns276.oracleGeneral.zst B-LRU cache size   452308, 51600000 req, miss ratio 0.2844, byte miss ratio 0.2844
result/io_traces.ns276.oracleGeneral.zst B-LRU cache size   904617, 51600000 req, miss ratio 0.2373, byte miss ratio 0.2373
result/io_traces.ns276.oracleGeneral.zst B-LRU cache size  1809234, 51600000 req, miss ratio 0.1777, byte miss ratio 0.1777
result/io_traces.ns276.oracleGeneral.zst B-LRU cache size  3618468, 51600000 req, miss ratio 0.1637, byte miss ratio 0.1637
result/io_traces.ns276.oracleGeneral.zst S3FIFO cache size     4523, 51600000 req, miss ratio 0.4246, byte miss ratio 0.4246
result/io_traces.ns276.oracleGeneral.zst S3FIFO cache size    13569, 51600000 req, miss ratio 0.3341, byte miss ratio 0.3341
result/io_traces.ns276.oracleGeneral.zst S3FIFO cache size    45230, 51600000 req, miss ratio 0.2947, byte miss ratio 0.2947
result/io_traces.ns276.oracleGeneral.zst S3FIFO cache size   135692, 51600000 req, miss ratio 0.2454, byte miss ratio 0.2454
result/io_traces.ns276.oracleGeneral.zst S3FIFO cache size   452308, 51600000 req, miss ratio 0.2083, byte miss ratio 0.2083
result/io_traces.ns276.oracleGeneral.zst S3FIFO cache size   904617, 51600000 req, miss ratio 0.1755, byte miss ratio 0.1755
result/io_traces.ns276.oracleGeneral.zst S3FIFO cache size  1809234, 51600000 req, miss ratio 0.1258, byte miss ratio 0.1258
result/io_traces.ns276.oracleGeneral.zst S3FIFO cache size  3618468, 51600000 req, miss ratio 0.0885, byte miss ratio 0.0885
result/io_traces.ns276.oracleGeneral.zst S3FIFO-d cache size     4523, 51600000 req, miss ratio 0.3962, byte miss ratio 0.3962
result/io_traces.ns276.oracleGeneral.zst S3FIFO-d cache size    13569, 51600000 req, miss ratio 0.2830, byte miss ratio 0.2830
result/io_traces.ns276.oracleGeneral.zst S3FIFO-d cache size    45230, 51600000 req, miss ratio 0.2474, byte miss ratio 0.2474
result/io_traces.ns276.oracleGeneral.zst S3FIFO-d cache size   135692, 51600000 req, miss ratio 0.2399, byte miss ratio 0.2399
result/io_traces.ns276.oracleGeneral.zst S3FIFO-d cache size   452308, 51600000 req, miss ratio 0.2062, byte miss ratio 0.2062
