result/cdn2_colo28.ns478.oracleGeneral.zst B-LRU cache size     6075, 5128446 req, miss ratio 0.0655, byte miss ratio 0.0655
result/cdn2_colo28.ns478.oracleGeneral.zst B-LRU cache size    12150, 5128446 req, miss ratio 0.0385, byte miss ratio 0.0385
result/cdn2_colo28.ns478.oracleGeneral.zst B-LRU cache size    24300, 5128446 req, miss ratio 0.0205, byte miss ratio 0.0205
result/cdn2_colo28.ns478.oracleGeneral.zst B-LRU cache size    48601, 5128446 req, miss ratio 0.0190, byte miss ratio 0.0190
result/cdn2_colo28.ns478.oracleGeneral.zst S4LRU(25:25:25:25) cache size       60, 5128446 req, miss ratio 0.6759, byte miss ratio 0.6759
result/cdn2_colo28.ns478.oracleGeneral.zst S4LRU(25:25:25:25) cache size      182, 5128446 req, miss ratio 0.3834, byte miss ratio 0.3834
result/cdn2_colo28.ns478.oracleGeneral.zst S4LRU(25:25:25:25) cache size      607, 5128446 req, miss ratio 0.1758, byte miss ratio 0.1758
result/cdn2_colo28.ns478.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1822, 5128446 req, miss ratio 0.1052, byte miss ratio 0.1052
result/cdn2_colo28.ns478.oracleGeneral.zst S4LRU(25:25:25:25) cache size     6075, 5128446 req, miss ratio 0.0608, byte miss ratio 0.0608
result/cdn2_colo28.ns478.oracleGeneral.zst S4LRU(25:25:25:25) cache size    12150, 5128446 req, miss ratio 0.0334, byte miss ratio 0.0334
result/cdn2_colo28.ns478.oracleGeneral.zst S4LRU(25:25:25:25) cache size    24300, 5128446 req, miss ratio 0.0170, byte miss ratio 0.0170
result/cdn2_colo28.ns478.oracleGeneral.zst S4LRU(25:25:25:25) cache size    48601, 5128446 req, miss ratio 0.0122, byte miss ratio 0.0122
result/cdn2_colo28.ns478.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       60, 5128446 req, miss ratio 0.7947, byte miss ratio 0.7947
result/cdn2_colo28.ns478.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      182, 5128446 req, miss ratio 0.4888, byte miss ratio 0.4888
result/cdn2_colo28.ns478.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      607, 5128446 req, miss ratio 0.2128, byte miss ratio 0.2128
result/cdn2_colo28.ns478.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1822, 5128446 req, miss ratio 0.1211, byte miss ratio 0.1211
result/cdn2_colo28.ns478.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     6075, 5128446 req, miss ratio 0.0664, byte miss ratio 0.0664
result/cdn2_colo28.ns478.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    12150, 5128446 req, miss ratio 0.0385, byte miss ratio 0.0385
result/cdn2_colo28.ns478.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    24300, 5128446 req, miss ratio 0.0203, byte miss ratio 0.0203
result/cdn2_colo28.ns478.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    48601, 5128446 req, miss ratio 0.0140, byte miss ratio 0.0140
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO cache size       60, 5128446 req, miss ratio 0.6536, byte miss ratio 0.6536
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO cache size      182, 5128446 req, miss ratio 0.3397, byte miss ratio 0.3397
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO cache size      607, 5128446 req, miss ratio 0.1645, byte miss ratio 0.1645
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO cache size     1822, 5128446 req, miss ratio 0.1013, byte miss ratio 0.1013
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO cache size     6075, 5128446 req, miss ratio 0.0600, byte miss ratio 0.0600
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO cache size    12150, 5128446 req, miss ratio 0.0323, byte miss ratio 0.0323
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO cache size    24300, 5128446 req, miss ratio 0.0169, byte miss ratio 0.0169
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO cache size    48601, 5128446 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d cache size       60, 5128446 req, miss ratio 0.7407, byte miss ratio 0.7407
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d cache size      182, 5128446 req, miss ratio 0.4518, byte miss ratio 0.4518
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d cache size      607, 5128446 req, miss ratio 0.1658, byte miss ratio 0.1658
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d cache size     1822, 5128446 req, miss ratio 0.1025, byte miss ratio 0.1025
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d cache size     6075, 5128446 req, miss ratio 0.0605, byte miss ratio 0.0605
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d cache size    12150, 5128446 req, miss ratio 0.0326, byte miss ratio 0.0326
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d cache size    24300, 5128446 req, miss ratio 0.0169, byte miss ratio 0.0169
result/cdn2_colo28.ns478.oracleGeneral.zst S3FIFO-d cache size    48601, 5128446 req, miss ratio 0.0123, byte miss ratio 0.0123
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       60, 5128446 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      182, 5128446 req, miss ratio 0.3333, byte miss ratio 0.3333
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      607, 5128446 req, miss ratio 0.1632, byte miss ratio 0.1632
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1822, 5128446 req, miss ratio 0.1019, byte miss ratio 0.1019
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6075, 5128446 req, miss ratio 0.0573, byte miss ratio 0.0573
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    12150, 5128446 req, miss ratio 0.0287, byte miss ratio 0.0287
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    24300, 5128446 req, miss ratio 0.0169, byte miss ratio 0.0169
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    48601, 5128446 req, miss ratio 0.0125, byte miss ratio 0.0125
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       60, 5128446 req, miss ratio 0.6445, byte miss ratio 0.6445
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      182, 5128446 req, miss ratio 0.3347, byte miss ratio 0.3347
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      607, 5128446 req, miss ratio 0.1651, byte miss ratio 0.1651
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1822, 5128446 req, miss ratio 0.1022, byte miss ratio 0.1022
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6075, 5128446 req, miss ratio 0.0597, byte miss ratio 0.0597
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    12150, 5128446 req, miss ratio 0.0293, byte miss ratio 0.0293
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    24300, 5128446 req, miss ratio 0.0179, byte miss ratio 0.0179
result/cdn2_colo28.ns478.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    48601, 5128446 req, miss ratio 0.0128, byte miss ratio 0.0128
