result/cdn2_colo28.ns66.oracleGeneral.zst S4LRU(25:25:25:25) cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-d cache size       10, 111611006 req, miss ratio 0.0687, byte miss ratio 0.0687
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-d cache size       32, 111611006 req, miss ratio 0.0136, byte miss ratio 0.0136
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-d cache size      106, 111611006 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-d cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-d cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO-d cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO cache size       10, 111611006 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO cache size       32, 111611006 req, miss ratio 0.0136, byte miss ratio 0.0136
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO cache size      106, 111611006 req, miss ratio 0.0014, byte miss ratio 0.0014
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst S3FIFO cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       10, 111611006 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       32, 111611006 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      106, 111611006 req, miss ratio 0.0016, byte miss ratio 0.0016
result/cdn2_colo28.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       10, 111611006 req, miss ratio 0.0530, byte miss ratio 0.0530
result/cdn2_colo28.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       32, 111611006 req, miss ratio 0.0131, byte miss ratio 0.0131
result/cdn2_colo28.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      106, 111611006 req, miss ratio 0.0015, byte miss ratio 0.0015
result/cdn2_colo28.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      213, 111611006 req, miss ratio 0.0002, byte miss ratio 0.0002
result/cdn2_colo28.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      427, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
result/cdn2_colo28.ns66.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      854, 111611006 req, miss ratio 0.0000, byte miss ratio 0.0000
