result/tencentBlock.ns23707.oracleGeneral.zst clock2 cache size    35271, 5213615 req, miss ratio 0.3459, byte miss ratio 0.3459
result/tencentBlock.ns23707.oracleGeneral.zst clock2 cache size   117570, 5213615 req, miss ratio 0.3033, byte miss ratio 0.3033
result/tencentBlock.ns23707.oracleGeneral.zst clock2 cache size   235140, 5213615 req, miss ratio 0.2709, byte miss ratio 0.2709
result/tencentBlock.ns23707.oracleGeneral.zst clock2 cache size   470280, 5213615 req, miss ratio 0.2368, byte miss ratio 0.2368
result/tencentBlock.ns23707.oracleGeneral.zst clock2 cache size   940560, 5213615 req, miss ratio 0.2263, byte miss ratio 0.2263
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d-1 cache size     1175, 5213615 req, miss ratio 0.4661, byte miss ratio 0.4661
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d-1 cache size     3527, 5213615 req, miss ratio 0.3942, byte miss ratio 0.3942
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d-1 cache size    11757, 5213615 req, miss ratio 0.3721, byte miss ratio 0.3721
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d-1 cache size    35271, 5213615 req, miss ratio 0.3428, byte miss ratio 0.3428
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d-1 cache size   117570, 5213615 req, miss ratio 0.2876, byte miss ratio 0.2876
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d-1 cache size   235140, 5213615 req, miss ratio 0.2577, byte miss ratio 0.2577
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d-1 cache size   470280, 5213615 req, miss ratio 0.2354, byte miss ratio 0.2354
result/tencentBlock.ns23707.oracleGeneral.zst S3FIFO-d-1 cache size   940560, 5213615 req, miss ratio 0.2263, byte miss ratio 0.2263
result/tencentBlock.ns23707.oracleGeneral.zst LRB cache size     1175, 5213615 req, miss ratio 0.4692, byte miss ratio 0.4692
result/tencentBlock.ns23707.oracleGeneral.zst LRB cache size     3527, 5213615 req, miss ratio 0.4123, byte miss ratio 0.4123
result/tencentBlock.ns23707.oracleGeneral.zst LRB cache size    11757, 5213615 req, miss ratio 0.3746, byte miss ratio 0.3746
result/tencentBlock.ns23707.oracleGeneral.zst LRB cache size    35271, 5213615 req, miss ratio 0.3373, byte miss ratio 0.3373
result/tencentBlock.ns23707.oracleGeneral.zst LRB cache size   117570, 5213615 req, miss ratio 0.2820, byte miss ratio 0.2820
result/tencentBlock.ns23707.oracleGeneral.zst LRB cache size   235140, 5213615 req, miss ratio 0.2586, byte miss ratio 0.2586
result/tencentBlock.ns23707.oracleGeneral.zst LRB cache size   470280, 5213615 req, miss ratio 0.2370, byte miss ratio 0.2370
result/tencentBlock.ns23707.oracleGeneral.zst LRB cache size   940560, 5213615 req, miss ratio 0.2261, byte miss ratio 0.2261
result/tencentBlock.ns23707.oracleGeneral.zst TwoQ cache size     1175, 5213615 req, miss ratio 0.4441, byte miss ratio 0.4441
result/tencentBlock.ns23707.oracleGeneral.zst TwoQ cache size     3527, 5213615 req, miss ratio 0.3950, byte miss ratio 0.3950
result/tencentBlock.ns23707.oracleGeneral.zst TwoQ cache size    11757, 5213615 req, miss ratio 0.3765, byte miss ratio 0.3765
result/tencentBlock.ns23707.oracleGeneral.zst TwoQ cache size    35271, 5213615 req, miss ratio 0.3363, byte miss ratio 0.3363
result/tencentBlock.ns23707.oracleGeneral.zst TwoQ cache size   117570, 5213615 req, miss ratio 0.2941, byte miss ratio 0.2941
result/tencentBlock.ns23707.oracleGeneral.zst TwoQ cache size   235140, 5213615 req, miss ratio 0.2657, byte miss ratio 0.2657
result/tencentBlock.ns23707.oracleGeneral.zst TwoQ cache size   470280, 5213615 req, miss ratio 0.2464, byte miss ratio 0.2464
result/tencentBlock.ns23707.oracleGeneral.zst TwoQ cache size   940560, 5213615 req, miss ratio 0.2327, byte miss ratio 0.2327
result/tencentBlock.ns23707.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1175, 5213615 req, miss ratio 0.5222, byte miss ratio 0.5222
result/tencentBlock.ns23707.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3527, 5213615 req, miss ratio 0.4334, byte miss ratio 0.4334
result/tencentBlock.ns23707.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    11757, 5213615 req, miss ratio 0.3895, byte miss ratio 0.3895
result/tencentBlock.ns23707.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    35271, 5213615 req, miss ratio 0.3596, byte miss ratio 0.3596
result/tencentBlock.ns23707.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   117570, 5213615 req, miss ratio 0.3153, byte miss ratio 0.3153
result/tencentBlock.ns23707.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   235140, 5213615 req, miss ratio 0.2746, byte miss ratio 0.2746
result/tencentBlock.ns23707.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   470280, 5213615 req, miss ratio 0.2418, byte miss ratio 0.2418
result/tencentBlock.ns23707.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   940560, 5213615 req, miss ratio 0.2282, byte miss ratio 0.2282
result/tencentBlock.ns23707.oracleGeneral.zst B-LRU cache size     1175, 5213615 req, miss ratio 0.5506, byte miss ratio 0.5506
result/tencentBlock.ns23707.oracleGeneral.zst B-LRU cache size     3527, 5213615 req, miss ratio 0.4738, byte miss ratio 0.4738
result/tencentBlock.ns23707.oracleGeneral.zst B-LRU cache size    11757, 5213615 req, miss ratio 0.4402, byte miss ratio 0.4402
result/tencentBlock.ns23707.oracleGeneral.zst B-LRU cache size    35271, 5213615 req, miss ratio 0.4060, byte miss ratio 0.4060
result/tencentBlock.ns23707.oracleGeneral.zst B-LRU cache size   117570, 5213615 req, miss ratio 0.3622, byte miss ratio 0.3622
result/tencentBlock.ns23707.oracleGeneral.zst B-LRU cache size   235140, 5213615 req, miss ratio 0.3416, byte miss ratio 0.3416
result/tencentBlock.ns23707.oracleGeneral.zst B-LRU cache size   470280, 5213615 req, miss ratio 0.3324, byte miss ratio 0.3324
result/tencentBlock.ns23707.oracleGeneral.zst B-LRU cache size   940560, 5213615 req, miss ratio 0.3322, byte miss ratio 0.3322
result/tencentBlock.ns23707.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1175, 5213615 req, miss ratio 0.5012, byte miss ratio 0.5012
result/tencentBlock.ns23707.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3527, 5213615 req, miss ratio 0.3991, byte miss ratio 0.3991
result/tencentBlock.ns23707.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11757, 5213615 req, miss ratio 0.3827, byte miss ratio 0.3827
result/tencentBlock.ns23707.oracleGeneral.zst S4LRU(25:25:25:25) cache size    35271, 5213615 req, miss ratio 0.3562, byte miss ratio 0.3562
result/tencentBlock.ns23707.oracleGeneral.zst S4LRU(25:25:25:25) cache size   117570, 5213615 req, miss ratio 0.3034, byte miss ratio 0.3034
result/tencentBlock.ns23707.oracleGeneral.zst S4LRU(25:25:25:25) cache size   235140, 5213615 req, miss ratio 0.2669, byte miss ratio 0.2669
