result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d-1 cache size       70, 1289443 req, miss ratio 0.0234, byte miss ratio 0.0234
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d-1 cache size      234, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d-1 cache size      469, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d-1 cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S3FIFO-d-1 cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst LRB cache size        7, 1289443 req, miss ratio 0.2018, byte miss ratio 0.2018
result/cdn2_colo28.ns552.oracleGeneral.zst LRB cache size       23, 1289443 req, miss ratio 0.0887, byte miss ratio 0.0887
result/cdn2_colo28.ns552.oracleGeneral.zst LRB cache size       70, 1289443 req, miss ratio 0.0206, byte miss ratio 0.0206
result/cdn2_colo28.ns552.oracleGeneral.zst LRB cache size      234, 1289443 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_colo28.ns552.oracleGeneral.zst LRB cache size      469, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
result/cdn2_colo28.ns552.oracleGeneral.zst LRB cache size      938, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst LRB cache size     1877, 1289443 req, miss ratio 0.0018, byte miss ratio 0.0018
result/cdn2_colo28.ns552.oracleGeneral.zst S4LRU(25:25:25:25) cache size        7, 1289443 req, miss ratio 0.2395, byte miss ratio 0.2395
result/cdn2_colo28.ns552.oracleGeneral.zst S4LRU(25:25:25:25) cache size       23, 1289443 req, miss ratio 0.0991, byte miss ratio 0.0991
result/cdn2_colo28.ns552.oracleGeneral.zst S4LRU(25:25:25:25) cache size       70, 1289443 req, miss ratio 0.0256, byte miss ratio 0.0256
result/cdn2_colo28.ns552.oracleGeneral.zst S4LRU(25:25:25:25) cache size      234, 1289443 req, miss ratio 0.0019, byte miss ratio 0.0019
