result/w59.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   820085, 10223136 req, miss ratio 0.1093, byte miss ratio 0.1093
result/w59.oracleGeneral.bin.zst B-LRU cache size     1025, 10223136 req, miss ratio 0.9830, byte miss ratio 0.9830
result/w59.oracleGeneral.bin.zst B-LRU cache size     3075, 10223136 req, miss ratio 0.9615, byte miss ratio 0.9615
result/w59.oracleGeneral.bin.zst B-LRU cache size    10251, 10223136 req, miss ratio 0.9154, byte miss ratio 0.9154
result/w59.oracleGeneral.bin.zst B-LRU cache size    30753, 10223136 req, miss ratio 0.8190, byte miss ratio 0.8190
result/w59.oracleGeneral.bin.zst B-LRU cache size   102510, 10223136 req, miss ratio 0.6326, byte miss ratio 0.6326
result/w59.oracleGeneral.bin.zst B-LRU cache size   205021, 10223136 req, miss ratio 0.4710, byte miss ratio 0.4710
result/w59.oracleGeneral.bin.zst B-LRU cache size   410042, 10223136 req, miss ratio 0.2404, byte miss ratio 0.2404
result/w59.oracleGeneral.bin.zst B-LRU cache size   820085, 10223136 req, miss ratio 0.1855, byte miss ratio 0.1855
result/w59.oracleGeneral.bin.zst S3FIFO cache size     1025, 10223136 req, miss ratio 0.9665, byte miss ratio 0.9665
result/w59.oracleGeneral.bin.zst S3FIFO cache size     3075, 10223136 req, miss ratio 0.9296, byte miss ratio 0.9296
result/w59.oracleGeneral.bin.zst S3FIFO cache size    10251, 10223136 req, miss ratio 0.8586, byte miss ratio 0.8586
result/w59.oracleGeneral.bin.zst S3FIFO cache size    30753, 10223136 req, miss ratio 0.7508, byte miss ratio 0.7508
result/w59.oracleGeneral.bin.zst S3FIFO cache size   102510, 10223136 req, miss ratio 0.5958, byte miss ratio 0.5958
result/w59.oracleGeneral.bin.zst S3FIFO cache size   205021, 10223136 req, miss ratio 0.4588, byte miss ratio 0.4588
result/w59.oracleGeneral.bin.zst S3FIFO cache size   410042, 10223136 req, miss ratio 0.2018, byte miss ratio 0.2018
result/w59.oracleGeneral.bin.zst S3FIFO cache size   820085, 10223136 req, miss ratio 0.1094, byte miss ratio 0.1094
result/w59.oracleGeneral.bin.zst S3FIFO-d cache size     1025, 10223136 req, miss ratio 0.9669, byte miss ratio 0.9669
result/w59.oracleGeneral.bin.zst S3FIFO-d cache size     3075, 10223136 req, miss ratio 0.9314, byte miss ratio 0.9314
result/w59.oracleGeneral.bin.zst S3FIFO-d cache size    10251, 10223136 req, miss ratio 0.8598, byte miss ratio 0.8598
result/w59.oracleGeneral.bin.zst S3FIFO-d cache size    30753, 10223136 req, miss ratio 0.7703, byte miss ratio 0.7703
result/w59.oracleGeneral.bin.zst S3FIFO-d cache size   102510, 10223136 req, miss ratio 0.6131, byte miss ratio 0.6131
result/w59.oracleGeneral.bin.zst S3FIFO-d cache size   205021, 10223136 req, miss ratio 0.4460, byte miss ratio 0.4460
result/w59.oracleGeneral.bin.zst S3FIFO-d cache size   410042, 10223136 req, miss ratio 0.2005, byte miss ratio 0.2005
result/w59.oracleGeneral.bin.zst S3FIFO-d cache size   820085, 10223136 req, miss ratio 0.1094, byte miss ratio 0.1094
result/w59.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1025, 10223136 req, miss ratio 0.9952, byte miss ratio 0.9952
