result/cdn2_allcolo.ns8937.oracleGeneral.zst LeCaR cache size      362, 3509388 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_allcolo.ns8937.oracleGeneral.zst LeCaR cache size     1087, 3509388 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns8937.oracleGeneral.zst LeCaR cache size     3625, 3509388 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns8937.oracleGeneral.zst LeCaR cache size     7250, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst LeCaR cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst LeCaR cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRU cache size       36, 3509388 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRU cache size      108, 3509388 req, miss ratio 0.0120, byte miss ratio 0.0120
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRU cache size      362, 3509388 req, miss ratio 0.0113, byte miss ratio 0.0113
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRU cache size     1087, 3509388 req, miss ratio 0.0109, byte miss ratio 0.0109
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRU cache size     3625, 3509388 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRU cache size     7250, 3509388 req, miss ratio 0.0105, byte miss ratio 0.0105
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRU cache size    14501, 3509388 req, miss ratio 0.0104, byte miss ratio 0.0104
result/cdn2_allcolo.ns8937.oracleGeneral.zst LRU cache size    29002, 3509388 req, miss ratio 0.0103, byte miss ratio 0.0103
result/cdn2_allcolo.ns8937.oracleGeneral.zst S3FIFO-d-1 cache size       36, 3509388 req, miss ratio 0.0121, byte miss ratio 0.0121
