result/tencentBlock.ns16320.oracleGeneral.zst S4LRU(25:25:25:25) cache size      332, 1009487 req, miss ratio 0.5190, byte miss ratio 0.5190
result/tencentBlock.ns16320.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1109, 1009487 req, miss ratio 0.4763, byte miss ratio 0.4763
result/tencentBlock.ns16320.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3327, 1009487 req, miss ratio 0.4224, byte miss ratio 0.4224
result/tencentBlock.ns16320.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11091, 1009487 req, miss ratio 0.3054, byte miss ratio 0.3054
result/tencentBlock.ns16320.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22183, 1009487 req, miss ratio 0.1963, byte miss ratio 0.1963
result/tencentBlock.ns16320.oracleGeneral.zst S4LRU(25:25:25:25) cache size    44367, 1009487 req, miss ratio 0.1527, byte miss ratio 0.1527
result/tencentBlock.ns16320.oracleGeneral.zst S4LRU(25:25:25:25) cache size    88735, 1009487 req, miss ratio 0.1117, byte miss ratio 0.1117
result/tencentBlock.ns16320.oracleGeneral.zst B-LRU cache size      110, 1009487 req, miss ratio 0.6287, byte miss ratio 0.6287
result/tencentBlock.ns16320.oracleGeneral.zst B-LRU cache size      332, 1009487 req, miss ratio 0.5539, byte miss ratio 0.5539
result/tencentBlock.ns16320.oracleGeneral.zst B-LRU cache size     1109, 1009487 req, miss ratio 0.5017, byte miss ratio 0.5017
result/tencentBlock.ns16320.oracleGeneral.zst B-LRU cache size     3327, 1009487 req, miss ratio 0.4582, byte miss ratio 0.4582
result/tencentBlock.ns16320.oracleGeneral.zst B-LRU cache size    11091, 1009487 req, miss ratio 0.3560, byte miss ratio 0.3560
result/tencentBlock.ns16320.oracleGeneral.zst B-LRU cache size    22183, 1009487 req, miss ratio 0.2183, byte miss ratio 0.2183
result/tencentBlock.ns16320.oracleGeneral.zst B-LRU cache size    44367, 1009487 req, miss ratio 0.1902, byte miss ratio 0.1902
result/tencentBlock.ns16320.oracleGeneral.zst B-LRU cache size    88735, 1009487 req, miss ratio 0.1752, byte miss ratio 0.1752
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d cache size      110, 1009487 req, miss ratio 0.5860, byte miss ratio 0.5860
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d cache size      332, 1009487 req, miss ratio 0.5148, byte miss ratio 0.5148
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d cache size     1109, 1009487 req, miss ratio 0.4720, byte miss ratio 0.4720
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d cache size     3327, 1009487 req, miss ratio 0.3959, byte miss ratio 0.3959
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d cache size    11091, 1009487 req, miss ratio 0.2731, byte miss ratio 0.2731
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d cache size    22183, 1009487 req, miss ratio 0.1886, byte miss ratio 0.1886
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d cache size    44367, 1009487 req, miss ratio 0.1419, byte miss ratio 0.1419
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO-d cache size    88735, 1009487 req, miss ratio 0.1123, byte miss ratio 0.1123
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO cache size      110, 1009487 req, miss ratio 0.5777, byte miss ratio 0.5777
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO cache size      332, 1009487 req, miss ratio 0.5147, byte miss ratio 0.5147
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO cache size     1109, 1009487 req, miss ratio 0.4722, byte miss ratio 0.4722
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO cache size     3327, 1009487 req, miss ratio 0.3966, byte miss ratio 0.3966
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO cache size    11091, 1009487 req, miss ratio 0.2723, byte miss ratio 0.2723
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO cache size    22183, 1009487 req, miss ratio 0.1886, byte miss ratio 0.1886
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO cache size    44367, 1009487 req, miss ratio 0.1419, byte miss ratio 0.1419
result/tencentBlock.ns16320.oracleGeneral.zst S3FIFO cache size    88735, 1009487 req, miss ratio 0.1123, byte miss ratio 0.1123
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      110, 1009487 req, miss ratio 0.5942, byte miss ratio 0.5942
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      332, 1009487 req, miss ratio 0.5378, byte miss ratio 0.5378
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1109, 1009487 req, miss ratio 0.4876, byte miss ratio 0.4876
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3327, 1009487 req, miss ratio 0.4113, byte miss ratio 0.4113
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11091, 1009487 req, miss ratio 0.2943, byte miss ratio 0.2943
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22183, 1009487 req, miss ratio 0.1937, byte miss ratio 0.1937
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    44367, 1009487 req, miss ratio 0.1435, byte miss ratio 0.1435
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    88735, 1009487 req, miss ratio 0.1138, byte miss ratio 0.1138
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      110, 1009487 req, miss ratio 0.5933, byte miss ratio 0.5933
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      332, 1009487 req, miss ratio 0.5259, byte miss ratio 0.5259
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1109, 1009487 req, miss ratio 0.4784, byte miss ratio 0.4784
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3327, 1009487 req, miss ratio 0.4738, byte miss ratio 0.4738
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11091, 1009487 req, miss ratio 0.2989, byte miss ratio 0.2989
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22183, 1009487 req, miss ratio 0.2109, byte miss ratio 0.2109
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    44367, 1009487 req, miss ratio 0.1449, byte miss ratio 0.1449
result/tencentBlock.ns16320.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    88735, 1009487 req, miss ratio 0.1159, byte miss ratio 0.1159
