result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d-1 cache size     9531, 2373929 req, miss ratio 0.1108, byte miss ratio 0.1108
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d-1 cache size    19063, 2373929 req, miss ratio 0.0826, byte miss ratio 0.0826
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d-1 cache size    38127, 2373929 req, miss ratio 0.0517, byte miss ratio 0.0517
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d-1 cache size    76255, 2373929 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns14918.oracleGeneral.zst LRB cache size       95, 2373929 req, miss ratio 0.3123, byte miss ratio 0.3123
result/tencentBlock.ns14918.oracleGeneral.zst LRB cache size      285, 2373929 req, miss ratio 0.2202, byte miss ratio 0.2202
result/tencentBlock.ns14918.oracleGeneral.zst LRB cache size      953, 2373929 req, miss ratio 0.1802, byte miss ratio 0.1802
result/tencentBlock.ns14918.oracleGeneral.zst LRB cache size     2859, 2373929 req, miss ratio 0.1435, byte miss ratio 0.1435
result/tencentBlock.ns14918.oracleGeneral.zst LRB cache size     9531, 2373929 req, miss ratio 0.1087, byte miss ratio 0.1087
result/tencentBlock.ns14918.oracleGeneral.zst LRB cache size    19063, 2373929 req, miss ratio 0.0771, byte miss ratio 0.0771
result/tencentBlock.ns14918.oracleGeneral.zst LRB cache size    38127, 2373929 req, miss ratio 0.0528, byte miss ratio 0.0528
result/tencentBlock.ns14918.oracleGeneral.zst LRB cache size    76255, 2373929 req, miss ratio 0.0445, byte miss ratio 0.0445
result/tencentBlock.ns14918.oracleGeneral.zst S4LRU(25:25:25:25) cache size       95, 2373929 req, miss ratio 0.2753, byte miss ratio 0.2753
result/tencentBlock.ns14918.oracleGeneral.zst S4LRU(25:25:25:25) cache size      285, 2373929 req, miss ratio 0.2373, byte miss ratio 0.2373
result/tencentBlock.ns14918.oracleGeneral.zst S4LRU(25:25:25:25) cache size      953, 2373929 req, miss ratio 0.1899, byte miss ratio 0.1899
result/tencentBlock.ns14918.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2859, 2373929 req, miss ratio 0.1618, byte miss ratio 0.1618
result/tencentBlock.ns14918.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9531, 2373929 req, miss ratio 0.1195, byte miss ratio 0.1195
result/tencentBlock.ns14918.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19063, 2373929 req, miss ratio 0.1051, byte miss ratio 0.1051
result/tencentBlock.ns14918.oracleGeneral.zst S4LRU(25:25:25:25) cache size    38127, 2373929 req, miss ratio 0.0524, byte miss ratio 0.0524
result/tencentBlock.ns14918.oracleGeneral.zst S4LRU(25:25:25:25) cache size    76255, 2373929 req, miss ratio 0.0438, byte miss ratio 0.0438
result/tencentBlock.ns14918.oracleGeneral.zst B-LRU cache size       95, 2373929 req, miss ratio 0.2871, byte miss ratio 0.2871
result/tencentBlock.ns14918.oracleGeneral.zst B-LRU cache size      285, 2373929 req, miss ratio 0.2217, byte miss ratio 0.2217
result/tencentBlock.ns14918.oracleGeneral.zst B-LRU cache size      953, 2373929 req, miss ratio 0.1992, byte miss ratio 0.1992
result/tencentBlock.ns14918.oracleGeneral.zst B-LRU cache size     2859, 2373929 req, miss ratio 0.1834, byte miss ratio 0.1834
result/tencentBlock.ns14918.oracleGeneral.zst B-LRU cache size     9531, 2373929 req, miss ratio 0.1261, byte miss ratio 0.1261
result/tencentBlock.ns14918.oracleGeneral.zst B-LRU cache size    19063, 2373929 req, miss ratio 0.0955, byte miss ratio 0.0955
result/tencentBlock.ns14918.oracleGeneral.zst B-LRU cache size    38127, 2373929 req, miss ratio 0.0725, byte miss ratio 0.0725
result/tencentBlock.ns14918.oracleGeneral.zst B-LRU cache size    76255, 2373929 req, miss ratio 0.0680, byte miss ratio 0.0680
result/tencentBlock.ns14918.oracleGeneral.zst TwoQ cache size       95, 2373929 req, miss ratio 0.2669, byte miss ratio 0.2669
result/tencentBlock.ns14918.oracleGeneral.zst TwoQ cache size      285, 2373929 req, miss ratio 0.2113, byte miss ratio 0.2113
result/tencentBlock.ns14918.oracleGeneral.zst TwoQ cache size      953, 2373929 req, miss ratio 0.1780, byte miss ratio 0.1780
result/tencentBlock.ns14918.oracleGeneral.zst TwoQ cache size     2859, 2373929 req, miss ratio 0.1421, byte miss ratio 0.1421
result/tencentBlock.ns14918.oracleGeneral.zst TwoQ cache size     9531, 2373929 req, miss ratio 0.1086, byte miss ratio 0.1086
result/tencentBlock.ns14918.oracleGeneral.zst TwoQ cache size    19063, 2373929 req, miss ratio 0.0789, byte miss ratio 0.0789
result/tencentBlock.ns14918.oracleGeneral.zst TwoQ cache size    38127, 2373929 req, miss ratio 0.0570, byte miss ratio 0.0570
result/tencentBlock.ns14918.oracleGeneral.zst TwoQ cache size    76255, 2373929 req, miss ratio 0.0448, byte miss ratio 0.0448
result/tencentBlock.ns14918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       95, 2373929 req, miss ratio 0.3298, byte miss ratio 0.3298
result/tencentBlock.ns14918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      285, 2373929 req, miss ratio 0.2211, byte miss ratio 0.2211
result/tencentBlock.ns14918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      953, 2373929 req, miss ratio 0.1930, byte miss ratio 0.1930
result/tencentBlock.ns14918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2859, 2373929 req, miss ratio 0.1729, byte miss ratio 0.1729
result/tencentBlock.ns14918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9531, 2373929 req, miss ratio 0.1305, byte miss ratio 0.1305
result/tencentBlock.ns14918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19063, 2373929 req, miss ratio 0.1040, byte miss ratio 0.1040
result/tencentBlock.ns14918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    38127, 2373929 req, miss ratio 0.0728, byte miss ratio 0.0728
result/tencentBlock.ns14918.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    76255, 2373929 req, miss ratio 0.0489, byte miss ratio 0.0489
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d cache size       95, 2373929 req, miss ratio 0.2544, byte miss ratio 0.2544
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d cache size      285, 2373929 req, miss ratio 0.2076, byte miss ratio 0.2076
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d cache size      953, 2373929 req, miss ratio 0.1847, byte miss ratio 0.1847
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d cache size     2859, 2373929 req, miss ratio 0.1358, byte miss ratio 0.1358
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d cache size     9531, 2373929 req, miss ratio 0.1112, byte miss ratio 0.1112
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d cache size    19063, 2373929 req, miss ratio 0.0823, byte miss ratio 0.0823
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d cache size    38127, 2373929 req, miss ratio 0.0532, byte miss ratio 0.0532
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO-d cache size    76255, 2373929 req, miss ratio 0.0449, byte miss ratio 0.0449
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO cache size       95, 2373929 req, miss ratio 0.2514, byte miss ratio 0.2514
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO cache size      285, 2373929 req, miss ratio 0.2109, byte miss ratio 0.2109
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO cache size      953, 2373929 req, miss ratio 0.1854, byte miss ratio 0.1854
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO cache size     2859, 2373929 req, miss ratio 0.1358, byte miss ratio 0.1358
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO cache size     9531, 2373929 req, miss ratio 0.1115, byte miss ratio 0.1115
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO cache size    19063, 2373929 req, miss ratio 0.0821, byte miss ratio 0.0821
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO cache size    38127, 2373929 req, miss ratio 0.0532, byte miss ratio 0.0532
result/tencentBlock.ns14918.oracleGeneral.zst S3FIFO cache size    76255, 2373929 req, miss ratio 0.0449, byte miss ratio 0.0449
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       95, 2373929 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      285, 2373929 req, miss ratio 0.2829, byte miss ratio 0.2829
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      953, 2373929 req, miss ratio 0.2016, byte miss ratio 0.2016
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2859, 2373929 req, miss ratio 0.1341, byte miss ratio 0.1341
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9531, 2373929 req, miss ratio 0.1059, byte miss ratio 0.1059
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    19063, 2373929 req, miss ratio 0.0865, byte miss ratio 0.0865
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    38127, 2373929 req, miss ratio 0.0532, byte miss ratio 0.0532
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    76255, 2373929 req, miss ratio 0.0419, byte miss ratio 0.0419
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       95, 2373929 req, miss ratio 0.2947, byte miss ratio 0.2947
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      285, 2373929 req, miss ratio 0.2215, byte miss ratio 0.2215
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      953, 2373929 req, miss ratio 0.1746, byte miss ratio 0.1746
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2859, 2373929 req, miss ratio 0.1316, byte miss ratio 0.1316
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9531, 2373929 req, miss ratio 0.1063, byte miss ratio 0.1063
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    19063, 2373929 req, miss ratio 0.0865, byte miss ratio 0.0865
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    38127, 2373929 req, miss ratio 0.0565, byte miss ratio 0.0565
result/tencentBlock.ns14918.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    76255, 2373929 req, miss ratio 0.0446, byte miss ratio 0.0446
