result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO cache size   103494, 16514846 req, miss ratio 0.3110, byte miss ratio 0.3110
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO cache size   206989, 16514846 req, miss ratio 0.1891, byte miss ratio 0.1891
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO cache size   413979, 16514846 req, miss ratio 0.1055, byte miss ratio 0.1055
result/tencentBlock.ns7160.oracleGeneral.zst S3FIFO cache size   827958, 16514846 req, miss ratio 0.0664, byte miss ratio 0.0664
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1034, 16514846 req, miss ratio 0.8761, byte miss ratio 0.8761
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     3104, 16514846 req, miss ratio 0.8117, byte miss ratio 0.8117
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    10349, 16514846 req, miss ratio 0.7195, byte miss ratio 0.7195
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    31048, 16514846 req, miss ratio 0.5991, byte miss ratio 0.5991
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   103494, 16514846 req, miss ratio 0.4722, byte miss ratio 0.4722
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   206989, 16514846 req, miss ratio 0.2682, byte miss ratio 0.2682
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   413979, 16514846 req, miss ratio 0.1275, byte miss ratio 0.1275
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   827958, 16514846 req, miss ratio 0.0680, byte miss ratio 0.0680
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1034, 16514846 req, miss ratio 0.8769, byte miss ratio 0.8769
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     3104, 16514846 req, miss ratio 0.8066, byte miss ratio 0.8066
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    10349, 16514846 req, miss ratio 0.7563, byte miss ratio 0.7563
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    31048, 16514846 req, miss ratio 0.5280, byte miss ratio 0.5280
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   103494, 16514846 req, miss ratio 0.3742, byte miss ratio 0.3742
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   206989, 16514846 req, miss ratio 0.2036, byte miss ratio 0.2036
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   413979, 16514846 req, miss ratio 0.1191, byte miss ratio 0.1191
result/tencentBlock.ns7160.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   827958, 16514846 req, miss ratio 0.0690, byte miss ratio 0.0690
