result/cdn2_colo28.ns1289.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11635, 5688431 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d cache size       14, 5688431 req, miss ratio 0.3188, byte miss ratio 0.3188
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d cache size       43, 5688431 req, miss ratio 0.1757, byte miss ratio 0.1757
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d cache size      145, 5688431 req, miss ratio 0.0648, byte miss ratio 0.0648
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d cache size      436, 5688431 req, miss ratio 0.0250, byte miss ratio 0.0250
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d cache size     1454, 5688431 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d cache size     2908, 5688431 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d cache size     5817, 5688431 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO-d cache size    11635, 5688431 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO cache size       14, 5688431 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO cache size       43, 5688431 req, miss ratio 0.1720, byte miss ratio 0.1720
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO cache size      145, 5688431 req, miss ratio 0.0614, byte miss ratio 0.0614
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO cache size      436, 5688431 req, miss ratio 0.0232, byte miss ratio 0.0232
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO cache size     1454, 5688431 req, miss ratio 0.0046, byte miss ratio 0.0046
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO cache size     2908, 5688431 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO cache size     5817, 5688431 req, miss ratio 0.0027, byte miss ratio 0.0027
result/cdn2_colo28.ns1289.oracleGeneral.zst S3FIFO cache size    11635, 5688431 req, miss ratio 0.0026, byte miss ratio 0.0026
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       14, 5688431 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size       43, 5688431 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      145, 5688431 req, miss ratio 0.0606, byte miss ratio 0.0606
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      436, 5688431 req, miss ratio 0.0217, byte miss ratio 0.0217
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1454, 5688431 req, miss ratio 0.0061, byte miss ratio 0.0061
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2908, 5688431 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     5817, 5688431 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    11635, 5688431 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       14, 5688431 req, miss ratio 0.3071, byte miss ratio 0.3071
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       43, 5688431 req, miss ratio 0.1690, byte miss ratio 0.1690
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      145, 5688431 req, miss ratio 0.0614, byte miss ratio 0.0614
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      436, 5688431 req, miss ratio 0.0224, byte miss ratio 0.0224
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1454, 5688431 req, miss ratio 0.0052, byte miss ratio 0.0052
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2908, 5688431 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     5817, 5688431 req, miss ratio 0.0031, byte miss ratio 0.0031
result/cdn2_colo28.ns1289.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    11635, 5688431 req, miss ratio 0.0028, byte miss ratio 0.0028
