result/cluster43.oracleGeneral.sample10.zst S3FIFO cache size 17317662, 905365674 req, miss ratio 0.0485, byte miss ratio 0.0485
result/cluster43.oracleGeneral.sample10.zst S3FIFO cache size 34635324, 905365674 req, miss ratio 0.0478, byte miss ratio 0.0478
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    43294, 905365674 req, miss ratio 0.1783, byte miss ratio 0.1783
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   129882, 905365674 req, miss ratio 0.1335, byte miss ratio 0.1335
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   432941, 905365674 req, miss ratio 0.1025, byte miss ratio 0.1025
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1298824, 905365674 req, miss ratio 0.0858, byte miss ratio 0.0858
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  4329415, 905365674 req, miss ratio 0.0731, byte miss ratio 0.0731
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  8658831, 905365674 req, miss ratio 0.0663, byte miss ratio 0.0663
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 17317662, 905365674 req, miss ratio 0.0598, byte miss ratio 0.0598
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size 34635324, 905365674 req, miss ratio 0.0510, byte miss ratio 0.0510
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    43294, 905365674 req, miss ratio 0.2017, byte miss ratio 0.2017
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   129882, 905365674 req, miss ratio 0.1334, byte miss ratio 0.1334
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   432941, 905365674 req, miss ratio 0.1012, byte miss ratio 0.1012
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1298824, 905365674 req, miss ratio 0.0833, byte miss ratio 0.0833
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  4329415, 905365674 req, miss ratio 0.0678, byte miss ratio 0.0678
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  8658831, 905365674 req, miss ratio 0.0609, byte miss ratio 0.0609
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 17317662, 905365674 req, miss ratio 0.0540, byte miss ratio 0.0540
result/cluster43.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size 34635324, 905365674 req, miss ratio 0.0487, byte miss ratio 0.0487
