result/tencentBlock.ns13494.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size 13190276, 68526267 req, miss ratio 0.2431, byte miss ratio 0.2431
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO cache size    16487, 68526267 req, miss ratio 0.5602, byte miss ratio 0.5602
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO cache size    49463, 68526267 req, miss ratio 0.4256, byte miss ratio 0.4256
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO cache size   164878, 68526267 req, miss ratio 0.3659, byte miss ratio 0.3659
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO cache size   494635, 68526267 req, miss ratio 0.3325, byte miss ratio 0.3325
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO cache size  1648784, 68526267 req, miss ratio 0.3065, byte miss ratio 0.3065
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO cache size  3297569, 68526267 req, miss ratio 0.2978, byte miss ratio 0.2978
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO cache size  6595138, 68526267 req, miss ratio 0.2749, byte miss ratio 0.2749
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO cache size 13190276, 68526267 req, miss ratio 0.2432, byte miss ratio 0.2432
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d cache size    16487, 68526267 req, miss ratio 0.6438, byte miss ratio 0.6438
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d cache size    49463, 68526267 req, miss ratio 0.4334, byte miss ratio 0.4334
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d cache size   164878, 68526267 req, miss ratio 0.3551, byte miss ratio 0.3551
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d cache size   494635, 68526267 req, miss ratio 0.3237, byte miss ratio 0.3237
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d cache size  1648784, 68526267 req, miss ratio 0.3041, byte miss ratio 0.3041
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d cache size  3297569, 68526267 req, miss ratio 0.2978, byte miss ratio 0.2978
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d cache size  6595138, 68526267 req, miss ratio 0.2749, byte miss ratio 0.2749
result/tencentBlock.ns13494.oracleGeneral.zst S3FIFO-d cache size 13190276, 68526267 req, miss ratio 0.2432, byte miss ratio 0.2432
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    16487, 68526267 req, miss ratio 0.6263, byte miss ratio 0.6263
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    49463, 68526267 req, miss ratio 0.5387, byte miss ratio 0.5387
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   164878, 68526267 req, miss ratio 0.6504, byte miss ratio 0.6504
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   494635, 68526267 req, miss ratio 0.4436, byte miss ratio 0.4436
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1648784, 68526267 req, miss ratio 0.3685, byte miss ratio 0.3685
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  3297569, 68526267 req, miss ratio 0.3360, byte miss ratio 0.3360
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  6595138, 68526267 req, miss ratio 0.2804, byte miss ratio 0.2804
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size 13190276, 68526267 req, miss ratio 0.2483, byte miss ratio 0.2483
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    16487, 68526267 req, miss ratio 0.6302, byte miss ratio 0.6302
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    49463, 68526267 req, miss ratio 0.5276, byte miss ratio 0.5276
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   164878, 68526267 req, miss ratio 0.4554, byte miss ratio 0.4554
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   494635, 68526267 req, miss ratio 0.3845, byte miss ratio 0.3845
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1648784, 68526267 req, miss ratio 0.3198, byte miss ratio 0.3198
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  3297569, 68526267 req, miss ratio 0.2979, byte miss ratio 0.2979
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  6595138, 68526267 req, miss ratio 0.2672, byte miss ratio 0.2672
result/tencentBlock.ns13494.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size 13190276, 68526267 req, miss ratio 0.2425, byte miss ratio 0.2425
