result/cdn2_allcolo.ns198.oracleGeneral.zst ARC cache size   271275, 95487082 req, miss ratio 0.0564, byte miss ratio 0.0564
result/cdn2_allcolo.ns198.oracleGeneral.zst ARC cache size   542551, 95487082 req, miss ratio 0.0256, byte miss ratio 0.0256
result/cdn2_allcolo.ns198.oracleGeneral.zst ARC cache size  1085103, 95487082 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d-1 cache size     1356, 95487082 req, miss ratio 0.6193, byte miss ratio 0.6193
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d-1 cache size     4069, 95487082 req, miss ratio 0.4800, byte miss ratio 0.4800
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d-1 cache size    13563, 95487082 req, miss ratio 0.3148, byte miss ratio 0.3148
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d-1 cache size    40691, 95487082 req, miss ratio 0.1819, byte miss ratio 0.1819
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d-1 cache size   135637, 95487082 req, miss ratio 0.0836, byte miss ratio 0.0836
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d-1 cache size   271275, 95487082 req, miss ratio 0.0493, byte miss ratio 0.0493
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d-1 cache size   542551, 95487082 req, miss ratio 0.0243, byte miss ratio 0.0243
result/cdn2_allcolo.ns198.oracleGeneral.zst S3FIFO-d-1 cache size  1085103, 95487082 req, miss ratio 0.0148, byte miss ratio 0.0148
result/cdn2_allcolo.ns198.oracleGeneral.zst LRB cache size     1356, 95487082 req, miss ratio 0.6000, byte miss ratio 0.6000
result/cdn2_allcolo.ns198.oracleGeneral.zst LRB cache size     4069, 95487082 req, miss ratio 0.4583, byte miss ratio 0.4583
result/cdn2_allcolo.ns198.oracleGeneral.zst LRB cache size    13563, 95487082 req, miss ratio 0.2997, byte miss ratio 0.2997
result/cdn2_allcolo.ns198.oracleGeneral.zst LRB cache size    40691, 95487082 req, miss ratio 0.1730, byte miss ratio 0.1730
result/cdn2_allcolo.ns198.oracleGeneral.zst LRB cache size   135637, 95487082 req, miss ratio 0.0787, byte miss ratio 0.0787
result/cdn2_allcolo.ns198.oracleGeneral.zst LRB cache size   271275, 95487082 req, miss ratio 0.0477, byte miss ratio 0.0477
result/cdn2_allcolo.ns198.oracleGeneral.zst LRB cache size   542551, 95487082 req, miss ratio 0.0262, byte miss ratio 0.0262
result/cdn2_allcolo.ns198.oracleGeneral.zst LRB cache size  1085103, 95487082 req, miss ratio 0.0153, byte miss ratio 0.0153
result/cdn2_allcolo.ns198.oracleGeneral.zst B-LRU cache size     1356, 95487082 req, miss ratio 0.7246, byte miss ratio 0.7246
result/cdn2_allcolo.ns198.oracleGeneral.zst B-LRU cache size     4069, 95487082 req, miss ratio 0.5802, byte miss ratio 0.5802
result/cdn2_allcolo.ns198.oracleGeneral.zst B-LRU cache size    13563, 95487082 req, miss ratio 0.3842, byte miss ratio 0.3842
result/cdn2_allcolo.ns198.oracleGeneral.zst B-LRU cache size    40691, 95487082 req, miss ratio 0.2126, byte miss ratio 0.2126
result/cdn2_allcolo.ns198.oracleGeneral.zst B-LRU cache size   135637, 95487082 req, miss ratio 0.0853, byte miss ratio 0.0853
