result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LIRS cache size      688, 58463439 req, miss ratio 0.4823, byte miss ratio 0.4823
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LIRS cache size     2065, 58463439 req, miss ratio 0.3201, byte miss ratio 0.3201
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LIRS cache size     6883, 58463439 req, miss ratio 0.1895, byte miss ratio 0.1895
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LIRS cache size    20651, 58463439 req, miss ratio 0.0878, byte miss ratio 0.0878
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LIRS cache size    68839, 58463439 req, miss ratio 0.0570, byte miss ratio 0.0570
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LIRS cache size   137678, 58463439 req, miss ratio 0.0413, byte miss ratio 0.0413
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LIRS cache size   275356, 58463439 req, miss ratio 0.0227, byte miss ratio 0.0227
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst LIRS cache size   550712, 58463439 req, miss ratio 0.0124, byte miss ratio 0.0124
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst clock2 cache size      688, 58463439 req, miss ratio 0.4130, byte miss ratio 0.4130
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst clock2 cache size     2065, 58463439 req, miss ratio 0.1849, byte miss ratio 0.1849
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst clock2 cache size     6883, 58463439 req, miss ratio 0.1154, byte miss ratio 0.1154
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst clock2 cache size    20651, 58463439 req, miss ratio 0.0846, byte miss ratio 0.0846
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst clock2 cache size    68839, 58463439 req, miss ratio 0.0569, byte miss ratio 0.0569
result/query_stream_processor_cache.0.oracleGeneral.sample10.zst clock2 cache size   137678, 58463439 req, miss ratio 0.0413, byte miss ratio 0.0413
