result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   694361, 296493967 req, miss ratio 0.0402, byte miss ratio 0.0402
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1388723, 296493967 req, miss ratio 0.0344, byte miss ratio 0.0344
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  2777447, 296493967 req, miss ratio 0.0302, byte miss ratio 0.0302
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  5554894, 296493967 req, miss ratio 0.0250, byte miss ratio 0.0250
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     6943, 296493967 req, miss ratio 0.2952, byte miss ratio 0.2952
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    20830, 296493967 req, miss ratio 0.2263, byte miss ratio 0.2263
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    69436, 296493967 req, miss ratio 0.0848, byte miss ratio 0.0848
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   208308, 296493967 req, miss ratio 0.0529, byte miss ratio 0.0529
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   694361, 296493967 req, miss ratio 0.0570, byte miss ratio 0.0570
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1388723, 296493967 req, miss ratio 0.0320, byte miss ratio 0.0320
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  2777447, 296493967 req, miss ratio 0.0277, byte miss ratio 0.0277
result/expandodo_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  5554894, 296493967 req, miss ratio 0.0244, byte miss ratio 0.0244
