result/cdn2_colo28.ns130.oracleGeneral.zst LIRS cache size    16235, 2052141 req, miss ratio 0.0712, byte miss ratio 0.0712
result/cdn2_colo28.ns130.oracleGeneral.zst LIRS cache size    32470, 2052141 req, miss ratio 0.0493, byte miss ratio 0.0493
result/cdn2_colo28.ns130.oracleGeneral.zst LIRS cache size    64940, 2052141 req, miss ratio 0.0401, byte miss ratio 0.0401
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d-1 cache size       81, 2052141 req, miss ratio 0.3394, byte miss ratio 0.3394
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d-1 cache size      243, 2052141 req, miss ratio 0.2722, byte miss ratio 0.2722
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d-1 cache size      811, 2052141 req, miss ratio 0.2047, byte miss ratio 0.2047
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d-1 cache size     2435, 2052141 req, miss ratio 0.1443, byte miss ratio 0.1443
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d-1 cache size     8117, 2052141 req, miss ratio 0.0891, byte miss ratio 0.0891
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d-1 cache size    16235, 2052141 req, miss ratio 0.0658, byte miss ratio 0.0658
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d-1 cache size    32470, 2052141 req, miss ratio 0.0491, byte miss ratio 0.0491
result/cdn2_colo28.ns130.oracleGeneral.zst S3FIFO-d-1 cache size    64940, 2052141 req, miss ratio 0.0416, byte miss ratio 0.0416
result/cdn2_colo28.ns130.oracleGeneral.zst LRB cache size       81, 2052141 req, miss ratio 0.3212, byte miss ratio 0.3212
result/cdn2_colo28.ns130.oracleGeneral.zst LRB cache size      243, 2052141 req, miss ratio 0.2556, byte miss ratio 0.2556
result/cdn2_colo28.ns130.oracleGeneral.zst LRB cache size      811, 2052141 req, miss ratio 0.1910, byte miss ratio 0.1910
result/cdn2_colo28.ns130.oracleGeneral.zst LRB cache size     2435, 2052141 req, miss ratio 0.1358, byte miss ratio 0.1358
result/cdn2_colo28.ns130.oracleGeneral.zst LRB cache size     8117, 2052141 req, miss ratio 0.0854, byte miss ratio 0.0854
result/cdn2_colo28.ns130.oracleGeneral.zst LRB cache size    16235, 2052141 req, miss ratio 0.0643, byte miss ratio 0.0643
result/cdn2_colo28.ns130.oracleGeneral.zst LRB cache size    32470, 2052141 req, miss ratio 0.0479, byte miss ratio 0.0479
result/cdn2_colo28.ns130.oracleGeneral.zst LRB cache size    64940, 2052141 req, miss ratio 0.0400, byte miss ratio 0.0400
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       81, 2052141 req, miss ratio 0.3662, byte miss ratio 0.3662
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      243, 2052141 req, miss ratio 0.2821, byte miss ratio 0.2821
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      811, 2052141 req, miss ratio 0.2113, byte miss ratio 0.2113
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2435, 2052141 req, miss ratio 0.1505, byte miss ratio 0.1505
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8117, 2052141 req, miss ratio 0.0939, byte miss ratio 0.0939
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16235, 2052141 req, miss ratio 0.0693, byte miss ratio 0.0693
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    32470, 2052141 req, miss ratio 0.0506, byte miss ratio 0.0506
result/cdn2_colo28.ns130.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    64940, 2052141 req, miss ratio 0.0421, byte miss ratio 0.0421
result/cdn2_colo28.ns130.oracleGeneral.zst S4LRU(25:25:25:25) cache size       81, 2052141 req, miss ratio 0.3289, byte miss ratio 0.3289
result/cdn2_colo28.ns130.oracleGeneral.zst S4LRU(25:25:25:25) cache size      243, 2052141 req, miss ratio 0.2667, byte miss ratio 0.2667
result/cdn2_colo28.ns130.oracleGeneral.zst S4LRU(25:25:25:25) cache size      811, 2052141 req, miss ratio 0.2014, byte miss ratio 0.2014
result/cdn2_colo28.ns130.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2435, 2052141 req, miss ratio 0.1435, byte miss ratio 0.1435
result/cdn2_colo28.ns130.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8117, 2052141 req, miss ratio 0.0898, byte miss ratio 0.0898
result/cdn2_colo28.ns130.oracleGeneral.zst S4LRU(25:25:25:25) cache size    16235, 2052141 req, miss ratio 0.0652, byte miss ratio 0.0652
result/cdn2_colo28.ns130.oracleGeneral.zst S4LRU(25:25:25:25) cache size    32470, 2052141 req, miss ratio 0.0478, byte miss ratio 0.0478
result/cdn2_colo28.ns130.oracleGeneral.zst S4LRU(25:25:25:25) cache size    64940, 2052141 req, miss ratio 0.0400, byte miss ratio 0.0400
result/cdn2_colo28.ns130.oracleGeneral.zst B-LRU cache size       81, 2052141 req, miss ratio 0.3928, byte miss ratio 0.3928
result/cdn2_colo28.ns130.oracleGeneral.zst B-LRU cache size      243, 2052141 req, miss ratio 0.3273, byte miss ratio 0.3273
result/cdn2_colo28.ns130.oracleGeneral.zst B-LRU cache size      811, 2052141 req, miss ratio 0.2565, byte miss ratio 0.2565
result/cdn2_colo28.ns130.oracleGeneral.zst B-LRU cache size     2435, 2052141 req, miss ratio 0.1935, byte miss ratio 0.1935
result/cdn2_colo28.ns130.oracleGeneral.zst B-LRU cache size     8117, 2052141 req, miss ratio 0.1354, byte miss ratio 0.1354
result/cdn2_colo28.ns130.oracleGeneral.zst B-LRU cache size    16235, 2052141 req, miss ratio 0.1097, byte miss ratio 0.1097
result/cdn2_colo28.ns130.oracleGeneral.zst B-LRU cache size    32470, 2052141 req, miss ratio 0.0879, byte miss ratio 0.0879
result/cdn2_colo28.ns130.oracleGeneral.zst B-LRU cache size    64940, 2052141 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cdn2_colo28.ns130.oracleGeneral.zst TwoQ cache size       81, 2052141 req, miss ratio 0.3119, byte miss ratio 0.3119
result/cdn2_colo28.ns130.oracleGeneral.zst TwoQ cache size      243, 2052141 req, miss ratio 0.2535, byte miss ratio 0.2535
result/cdn2_colo28.ns130.oracleGeneral.zst TwoQ cache size      811, 2052141 req, miss ratio 0.1924, byte miss ratio 0.1924
result/cdn2_colo28.ns130.oracleGeneral.zst TwoQ cache size     2435, 2052141 req, miss ratio 0.1396, byte miss ratio 0.1396
result/cdn2_colo28.ns130.oracleGeneral.zst TwoQ cache size     8117, 2052141 req, miss ratio 0.0870, byte miss ratio 0.0870
result/cdn2_colo28.ns130.oracleGeneral.zst TwoQ cache size    16235, 2052141 req, miss ratio 0.0652, byte miss ratio 0.0652
result/cdn2_colo28.ns130.oracleGeneral.zst TwoQ cache size    32470, 2052141 req, miss ratio 0.0537, byte miss ratio 0.0537
