result/io_traces.ns292.oracleGeneral.zst S3FIFO-1 cache size       49, 1200000 req, miss ratio 0.8548, byte miss ratio 0.8548
result/io_traces.ns292.oracleGeneral.zst S3FIFO-1 cache size      147, 1200000 req, miss ratio 0.7822, byte miss ratio 0.7822
result/io_traces.ns292.oracleGeneral.zst S3FIFO-1 cache size      492, 1200000 req, miss ratio 0.7561, byte miss ratio 0.7561
result/io_traces.ns292.oracleGeneral.zst S3FIFO-1 cache size     1478, 1200000 req, miss ratio 0.7206, byte miss ratio 0.7206
result/io_traces.ns292.oracleGeneral.zst S3FIFO-1 cache size     4926, 1200000 req, miss ratio 0.6980, byte miss ratio 0.6980
result/io_traces.ns292.oracleGeneral.zst S3FIFO-1 cache size     9853, 1200000 req, miss ratio 0.6937, byte miss ratio 0.6937
result/io_traces.ns292.oracleGeneral.zst S3FIFO-1 cache size    19707, 1200000 req, miss ratio 0.4255, byte miss ratio 0.4255
result/io_traces.ns292.oracleGeneral.zst S3FIFO-1 cache size    39415, 1200000 req, miss ratio 0.0419, byte miss ratio 0.0419
result/io_traces.ns292.oracleGeneral.zst LeCaR cache size       49, 1200000 req, miss ratio 0.9718, byte miss ratio 0.9718
result/io_traces.ns292.oracleGeneral.zst LeCaR cache size      147, 1200000 req, miss ratio 0.8094, byte miss ratio 0.8094
result/io_traces.ns292.oracleGeneral.zst LeCaR cache size      492, 1200000 req, miss ratio 0.7733, byte miss ratio 0.7733
result/io_traces.ns292.oracleGeneral.zst LeCaR cache size     1478, 1200000 req, miss ratio 0.7518, byte miss ratio 0.7518
result/io_traces.ns292.oracleGeneral.zst LeCaR cache size     4926, 1200000 req, miss ratio 0.7363, byte miss ratio 0.7363
result/io_traces.ns292.oracleGeneral.zst LeCaR cache size     9853, 1200000 req, miss ratio 0.7192, byte miss ratio 0.7192
result/io_traces.ns292.oracleGeneral.zst LeCaR cache size    19707, 1200000 req, miss ratio 0.7078, byte miss ratio 0.7078
result/io_traces.ns292.oracleGeneral.zst LeCaR cache size    39415, 1200000 req, miss ratio 0.0416, byte miss ratio 0.0416
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d-1 cache size       49, 1200000 req, miss ratio 0.8520, byte miss ratio 0.8520
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d-1 cache size      147, 1200000 req, miss ratio 0.7784, byte miss ratio 0.7784
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d-1 cache size      492, 1200000 req, miss ratio 0.7561, byte miss ratio 0.7561
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d-1 cache size     1478, 1200000 req, miss ratio 0.7196, byte miss ratio 0.7196
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d-1 cache size     4926, 1200000 req, miss ratio 0.6981, byte miss ratio 0.6981
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d-1 cache size     9853, 1200000 req, miss ratio 0.6937, byte miss ratio 0.6937
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d-1 cache size    19707, 1200000 req, miss ratio 0.4238, byte miss ratio 0.4238
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d-1 cache size    39415, 1200000 req, miss ratio 0.0419, byte miss ratio 0.0419
result/io_traces.ns292.oracleGeneral.zst LRB cache size       49, 1200000 req, miss ratio 0.8373, byte miss ratio 0.8373
result/io_traces.ns292.oracleGeneral.zst LRB cache size      147, 1200000 req, miss ratio 0.7866, byte miss ratio 0.7866
result/io_traces.ns292.oracleGeneral.zst LRB cache size      492, 1200000 req, miss ratio 0.7485, byte miss ratio 0.7485
result/io_traces.ns292.oracleGeneral.zst LRB cache size     1478, 1200000 req, miss ratio 0.7143, byte miss ratio 0.7143
result/io_traces.ns292.oracleGeneral.zst LRB cache size     4926, 1200000 req, miss ratio 0.6622, byte miss ratio 0.6622
result/io_traces.ns292.oracleGeneral.zst LRB cache size     9853, 1200000 req, miss ratio 0.5728, byte miss ratio 0.5728
result/io_traces.ns292.oracleGeneral.zst LRB cache size    19707, 1200000 req, miss ratio 0.4100, byte miss ratio 0.4100
result/io_traces.ns292.oracleGeneral.zst LRB cache size    39415, 1200000 req, miss ratio 0.0458, byte miss ratio 0.0458
result/io_traces.ns292.oracleGeneral.zst B-LRU cache size       49, 1200000 req, miss ratio 0.9858, byte miss ratio 0.9858
result/io_traces.ns292.oracleGeneral.zst B-LRU cache size      147, 1200000 req, miss ratio 0.9247, byte miss ratio 0.9247
result/io_traces.ns292.oracleGeneral.zst B-LRU cache size      492, 1200000 req, miss ratio 0.7840, byte miss ratio 0.7840
result/io_traces.ns292.oracleGeneral.zst B-LRU cache size     1478, 1200000 req, miss ratio 0.7587, byte miss ratio 0.7587
result/io_traces.ns292.oracleGeneral.zst B-LRU cache size     4926, 1200000 req, miss ratio 0.7431, byte miss ratio 0.7431
result/io_traces.ns292.oracleGeneral.zst B-LRU cache size     9853, 1200000 req, miss ratio 0.7305, byte miss ratio 0.7305
result/io_traces.ns292.oracleGeneral.zst B-LRU cache size    19707, 1200000 req, miss ratio 0.6936, byte miss ratio 0.6936
result/io_traces.ns292.oracleGeneral.zst B-LRU cache size    39415, 1200000 req, miss ratio 0.0788, byte miss ratio 0.0788
result/io_traces.ns292.oracleGeneral.zst TwoQ cache size       49, 1200000 req, miss ratio 0.8997, byte miss ratio 0.8997
result/io_traces.ns292.oracleGeneral.zst TwoQ cache size      147, 1200000 req, miss ratio 0.7872, byte miss ratio 0.7872
result/io_traces.ns292.oracleGeneral.zst TwoQ cache size      492, 1200000 req, miss ratio 0.7629, byte miss ratio 0.7629
result/io_traces.ns292.oracleGeneral.zst TwoQ cache size     1478, 1200000 req, miss ratio 0.7273, byte miss ratio 0.7273
result/io_traces.ns292.oracleGeneral.zst TwoQ cache size     4926, 1200000 req, miss ratio 0.7076, byte miss ratio 0.7076
result/io_traces.ns292.oracleGeneral.zst TwoQ cache size     9853, 1200000 req, miss ratio 0.7030, byte miss ratio 0.7030
result/io_traces.ns292.oracleGeneral.zst TwoQ cache size    19707, 1200000 req, miss ratio 0.4556, byte miss ratio 0.4556
result/io_traces.ns292.oracleGeneral.zst TwoQ cache size    39415, 1200000 req, miss ratio 0.0747, byte miss ratio 0.0747
result/io_traces.ns292.oracleGeneral.zst S4LRU(25:25:25:25) cache size       49, 1200000 req, miss ratio 0.9313, byte miss ratio 0.9313
result/io_traces.ns292.oracleGeneral.zst S4LRU(25:25:25:25) cache size      147, 1200000 req, miss ratio 0.8680, byte miss ratio 0.8680
result/io_traces.ns292.oracleGeneral.zst S4LRU(25:25:25:25) cache size      492, 1200000 req, miss ratio 0.7717, byte miss ratio 0.7717
result/io_traces.ns292.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1478, 1200000 req, miss ratio 0.7343, byte miss ratio 0.7343
result/io_traces.ns292.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4926, 1200000 req, miss ratio 0.6729, byte miss ratio 0.6729
result/io_traces.ns292.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9853, 1200000 req, miss ratio 0.6007, byte miss ratio 0.6007
result/io_traces.ns292.oracleGeneral.zst S4LRU(25:25:25:25) cache size    19707, 1200000 req, miss ratio 0.4603, byte miss ratio 0.4603
result/io_traces.ns292.oracleGeneral.zst S4LRU(25:25:25:25) cache size    39415, 1200000 req, miss ratio 0.0551, byte miss ratio 0.0551
result/io_traces.ns292.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       49, 1200000 req, miss ratio 0.9876, byte miss ratio 0.9876
result/io_traces.ns292.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      147, 1200000 req, miss ratio 0.8910, byte miss ratio 0.8910
result/io_traces.ns292.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      492, 1200000 req, miss ratio 0.7837, byte miss ratio 0.7837
result/io_traces.ns292.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1478, 1200000 req, miss ratio 0.7552, byte miss ratio 0.7552
result/io_traces.ns292.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4926, 1200000 req, miss ratio 0.7194, byte miss ratio 0.7194
result/io_traces.ns292.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9853, 1200000 req, miss ratio 0.6415, byte miss ratio 0.6415
result/io_traces.ns292.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    19707, 1200000 req, miss ratio 0.4628, byte miss ratio 0.4628
result/io_traces.ns292.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    39415, 1200000 req, miss ratio 0.0790, byte miss ratio 0.0790
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d cache size       49, 1200000 req, miss ratio 0.8541, byte miss ratio 0.8541
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d cache size      147, 1200000 req, miss ratio 0.7819, byte miss ratio 0.7819
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d cache size      492, 1200000 req, miss ratio 0.7575, byte miss ratio 0.7575
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d cache size     1478, 1200000 req, miss ratio 0.7205, byte miss ratio 0.7205
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d cache size     4926, 1200000 req, miss ratio 0.7026, byte miss ratio 0.7026
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d cache size     9853, 1200000 req, miss ratio 0.6985, byte miss ratio 0.6985
result/io_traces.ns292.oracleGeneral.zst S3FIFO-d cache size    19707, 1200000 req, miss ratio 0.4246, byte miss ratio 0.4246
