result/tencentBlock.ns2109.oracleGeneral.zst B-LRU cache size    67500, 56844956 req, miss ratio 0.4816, byte miss ratio 0.4816
result/tencentBlock.ns2109.oracleGeneral.zst B-LRU cache size   225001, 56844956 req, miss ratio 0.2471, byte miss ratio 0.2471
result/tencentBlock.ns2109.oracleGeneral.zst B-LRU cache size   450002, 56844956 req, miss ratio 0.1578, byte miss ratio 0.1578
result/tencentBlock.ns2109.oracleGeneral.zst B-LRU cache size   900004, 56844956 req, miss ratio 0.0899, byte miss ratio 0.0899
result/tencentBlock.ns2109.oracleGeneral.zst B-LRU cache size  1800008, 56844956 req, miss ratio 0.0772, byte miss ratio 0.0772
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d cache size     2250, 56844956 req, miss ratio 0.7925, byte miss ratio 0.7925
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d cache size     6750, 56844956 req, miss ratio 0.6732, byte miss ratio 0.6732
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d cache size    22500, 56844956 req, miss ratio 0.5503, byte miss ratio 0.5503
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d cache size    67500, 56844956 req, miss ratio 0.4265, byte miss ratio 0.4265
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d cache size   225001, 56844956 req, miss ratio 0.2263, byte miss ratio 0.2263
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d cache size   450002, 56844956 req, miss ratio 0.1263, byte miss ratio 0.1263
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d cache size   900004, 56844956 req, miss ratio 0.0648, byte miss ratio 0.0648
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO-d cache size  1800008, 56844956 req, miss ratio 0.0402, byte miss ratio 0.0402
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO cache size     2250, 56844956 req, miss ratio 0.7845, byte miss ratio 0.7845
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO cache size     6750, 56844956 req, miss ratio 0.6902, byte miss ratio 0.6902
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO cache size    22500, 56844956 req, miss ratio 0.5674, byte miss ratio 0.5674
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO cache size    67500, 56844956 req, miss ratio 0.4244, byte miss ratio 0.4244
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO cache size   225001, 56844956 req, miss ratio 0.2243, byte miss ratio 0.2243
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO cache size   450002, 56844956 req, miss ratio 0.1222, byte miss ratio 0.1222
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO cache size   900004, 56844956 req, miss ratio 0.0559, byte miss ratio 0.0559
result/tencentBlock.ns2109.oracleGeneral.zst S3FIFO cache size  1800008, 56844956 req, miss ratio 0.0402, byte miss ratio 0.0402
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2250, 56844956 req, miss ratio 0.8186, byte miss ratio 0.8186
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     6750, 56844956 req, miss ratio 0.7496, byte miss ratio 0.7496
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22500, 56844956 req, miss ratio 0.7269, byte miss ratio 0.7269
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    67500, 56844956 req, miss ratio 0.5883, byte miss ratio 0.5883
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   225001, 56844956 req, miss ratio 0.2458, byte miss ratio 0.2458
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   450002, 56844956 req, miss ratio 0.1219, byte miss ratio 0.1219
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   900004, 56844956 req, miss ratio 0.0642, byte miss ratio 0.0642
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size  1800008, 56844956 req, miss ratio 0.0429, byte miss ratio 0.0429
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2250, 56844956 req, miss ratio 0.8293, byte miss ratio 0.8293
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     6750, 56844956 req, miss ratio 0.7698, byte miss ratio 0.7698
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22500, 56844956 req, miss ratio 0.6391, byte miss ratio 0.6391
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    67500, 56844956 req, miss ratio 0.4991, byte miss ratio 0.4991
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   225001, 56844956 req, miss ratio 0.2394, byte miss ratio 0.2394
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   450002, 56844956 req, miss ratio 0.1179, byte miss ratio 0.1179
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   900004, 56844956 req, miss ratio 0.0640, byte miss ratio 0.0640
result/tencentBlock.ns2109.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size  1800008, 56844956 req, miss ratio 0.0452, byte miss ratio 0.0452
