result/tencentBlock.ns5936.oracleGeneral.zst FIFO cache size    18232, 3720288 req, miss ratio 0.0700, byte miss ratio 0.0700
result/tencentBlock.ns5936.oracleGeneral.zst FIFO cache size    36465, 3720288 req, miss ratio 0.0398, byte miss ratio 0.0398
result/tencentBlock.ns5936.oracleGeneral.zst FIFO cache size    72930, 3720288 req, miss ratio 0.0303, byte miss ratio 0.0303
result/tencentBlock.ns5936.oracleGeneral.zst ARC cache size       91, 3720288 req, miss ratio 0.1903, byte miss ratio 0.1903
result/tencentBlock.ns5936.oracleGeneral.zst ARC cache size      273, 3720288 req, miss ratio 0.1348, byte miss ratio 0.1348
result/tencentBlock.ns5936.oracleGeneral.zst ARC cache size      911, 3720288 req, miss ratio 0.1201, byte miss ratio 0.1201
result/tencentBlock.ns5936.oracleGeneral.zst ARC cache size     2734, 3720288 req, miss ratio 0.1108, byte miss ratio 0.1108
result/tencentBlock.ns5936.oracleGeneral.zst ARC cache size     9116, 3720288 req, miss ratio 0.0949, byte miss ratio 0.0949
result/tencentBlock.ns5936.oracleGeneral.zst ARC cache size    18232, 3720288 req, miss ratio 0.0589, byte miss ratio 0.0589
result/tencentBlock.ns5936.oracleGeneral.zst ARC cache size    36465, 3720288 req, miss ratio 0.0279, byte miss ratio 0.0279
result/tencentBlock.ns5936.oracleGeneral.zst ARC cache size    72930, 3720288 req, miss ratio 0.0248, byte miss ratio 0.0248
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d-1 cache size       91, 3720288 req, miss ratio 0.1927, byte miss ratio 0.1927
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d-1 cache size      273, 3720288 req, miss ratio 0.1345, byte miss ratio 0.1345
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d-1 cache size      911, 3720288 req, miss ratio 0.1194, byte miss ratio 0.1194
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d-1 cache size     2734, 3720288 req, miss ratio 0.1102, byte miss ratio 0.1102
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d-1 cache size     9116, 3720288 req, miss ratio 0.0885, byte miss ratio 0.0885
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d-1 cache size    18232, 3720288 req, miss ratio 0.0614, byte miss ratio 0.0614
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d-1 cache size    36465, 3720288 req, miss ratio 0.0285, byte miss ratio 0.0285
result/tencentBlock.ns5936.oracleGeneral.zst S3FIFO-d-1 cache size    72930, 3720288 req, miss ratio 0.0248, byte miss ratio 0.0248
result/tencentBlock.ns5936.oracleGeneral.zst LRB cache size       91, 3720288 req, miss ratio 0.2275, byte miss ratio 0.2275
result/tencentBlock.ns5936.oracleGeneral.zst LRB cache size      273, 3720288 req, miss ratio 0.1395, byte miss ratio 0.1395
result/tencentBlock.ns5936.oracleGeneral.zst LRB cache size      911, 3720288 req, miss ratio 0.1179, byte miss ratio 0.1179
result/tencentBlock.ns5936.oracleGeneral.zst LRB cache size     2734, 3720288 req, miss ratio 0.1062, byte miss ratio 0.1062
result/tencentBlock.ns5936.oracleGeneral.zst LRB cache size     9116, 3720288 req, miss ratio 0.0843, byte miss ratio 0.0843
result/tencentBlock.ns5936.oracleGeneral.zst LRB cache size    18232, 3720288 req, miss ratio 0.0561, byte miss ratio 0.0561
result/tencentBlock.ns5936.oracleGeneral.zst LRB cache size    36465, 3720288 req, miss ratio 0.0311, byte miss ratio 0.0311
result/tencentBlock.ns5936.oracleGeneral.zst LRB cache size    72930, 3720288 req, miss ratio 0.0256, byte miss ratio 0.0256
result/tencentBlock.ns5936.oracleGeneral.zst TwoQ cache size       91, 3720288 req, miss ratio 0.1999, byte miss ratio 0.1999
result/tencentBlock.ns5936.oracleGeneral.zst TwoQ cache size      273, 3720288 req, miss ratio 0.1388, byte miss ratio 0.1388
result/tencentBlock.ns5936.oracleGeneral.zst TwoQ cache size      911, 3720288 req, miss ratio 0.1210, byte miss ratio 0.1210
result/tencentBlock.ns5936.oracleGeneral.zst TwoQ cache size     2734, 3720288 req, miss ratio 0.1121, byte miss ratio 0.1121
result/tencentBlock.ns5936.oracleGeneral.zst TwoQ cache size     9116, 3720288 req, miss ratio 0.0857, byte miss ratio 0.0857
result/tencentBlock.ns5936.oracleGeneral.zst TwoQ cache size    18232, 3720288 req, miss ratio 0.0579, byte miss ratio 0.0579
result/tencentBlock.ns5936.oracleGeneral.zst TwoQ cache size    36465, 3720288 req, miss ratio 0.0336, byte miss ratio 0.0336
result/tencentBlock.ns5936.oracleGeneral.zst TwoQ cache size    72930, 3720288 req, miss ratio 0.0303, byte miss ratio 0.0303
result/tencentBlock.ns5936.oracleGeneral.zst S4LRU(25:25:25:25) cache size       91, 3720288 req, miss ratio 0.2108, byte miss ratio 0.2108
result/tencentBlock.ns5936.oracleGeneral.zst S4LRU(25:25:25:25) cache size      273, 3720288 req, miss ratio 0.1515, byte miss ratio 0.1515
result/tencentBlock.ns5936.oracleGeneral.zst S4LRU(25:25:25:25) cache size      911, 3720288 req, miss ratio 0.1214, byte miss ratio 0.1214
result/tencentBlock.ns5936.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2734, 3720288 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns5936.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9116, 3720288 req, miss ratio 0.0993, byte miss ratio 0.0993
result/tencentBlock.ns5936.oracleGeneral.zst S4LRU(25:25:25:25) cache size    18232, 3720288 req, miss ratio 0.0784, byte miss ratio 0.0784
