result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRU cache size 12560974, 190994596 req, miss ratio 0.1772, byte miss ratio 0.1772
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRU cache size 25121949, 190994596 req, miss ratio 0.1655, byte miss ratio 0.1655
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst Clock cache size    31402, 190994596 req, miss ratio 0.6467, byte miss ratio 0.6467
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst Clock cache size    94207, 190994596 req, miss ratio 0.6029, byte miss ratio 0.6029
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst Clock cache size   314024, 190994596 req, miss ratio 0.5158, byte miss ratio 0.5158
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst Clock cache size   942073, 190994596 req, miss ratio 0.3412, byte miss ratio 0.3412
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst Clock cache size  3140243, 190994596 req, miss ratio 0.2323, byte miss ratio 0.2323
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst Clock cache size  6280487, 190994596 req, miss ratio 0.1991, byte miss ratio 0.1991
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst Clock cache size 12560974, 190994596 req, miss ratio 0.1799, byte miss ratio 0.1799
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst Clock cache size 25121949, 190994596 req, miss ratio 0.1669, byte miss ratio 0.1669
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LHD cache size    31402, 190994596 req, miss ratio 0.6172, byte miss ratio 0.6172
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LHD cache size    94207, 190994596 req, miss ratio 0.5714, byte miss ratio 0.5714
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LHD cache size   314024, 190994596 req, miss ratio 0.4649, byte miss ratio 0.4649
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LHD cache size   942073, 190994596 req, miss ratio 0.3301, byte miss ratio 0.3301
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LHD cache size  3140243, 190994596 req, miss ratio 0.2373, byte miss ratio 0.2373
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LHD cache size  6280487, 190994596 req, miss ratio 0.2158, byte miss ratio 0.2158
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LHD cache size 12560974, 190994596 req, miss ratio 0.1931, byte miss ratio 0.1931
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LHD cache size 25121949, 190994596 req, miss ratio 0.1687, byte miss ratio 0.1687
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LIRS cache size    31402, 190994596 req, miss ratio 0.6416, byte miss ratio 0.6416
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LIRS cache size    94207, 190994596 req, miss ratio 0.5997, byte miss ratio 0.5997
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LIRS cache size   314024, 190994596 req, miss ratio 0.4899, byte miss ratio 0.4899
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LIRS cache size   942073, 190994596 req, miss ratio 0.3408, byte miss ratio 0.3408
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LIRS cache size  3140243, 190994596 req, miss ratio 0.2291, byte miss ratio 0.2291
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LIRS cache size  6280487, 190994596 req, miss ratio 0.1971, byte miss ratio 0.1971
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LIRS cache size 12560974, 190994596 req, miss ratio 0.1778, byte miss ratio 0.1778
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LIRS cache size 25121949, 190994596 req, miss ratio 0.1656, byte miss ratio 0.1656
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    31402, 190994596 req, miss ratio 0.6434, byte miss ratio 0.6434
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    94207, 190994596 req, miss ratio 0.5926, byte miss ratio 0.5926
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   314024, 190994596 req, miss ratio 0.4830, byte miss ratio 0.4830
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   942073, 190994596 req, miss ratio 0.3362, byte miss ratio 0.3362
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3140243, 190994596 req, miss ratio 0.2284, byte miss ratio 0.2284
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  6280487, 190994596 req, miss ratio 0.1972, byte miss ratio 0.1972
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 12560974, 190994596 req, miss ratio 0.1873, byte miss ratio 0.1873
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S3FIFO-d-1 cache size 25121949, 190994596 req, miss ratio 0.1727, byte miss ratio 0.1727
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRB cache size    31402, 190994596 req, miss ratio 0.6141, byte miss ratio 0.6141
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRB cache size    94207, 190994596 req, miss ratio 0.5641, byte miss ratio 0.5641
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRB cache size   314024, 190994596 req, miss ratio 0.4744, byte miss ratio 0.4744
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRB cache size   942073, 190994596 req, miss ratio 0.3611, byte miss ratio 0.3611
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRB cache size  3140243, 190994596 req, miss ratio 0.2359, byte miss ratio 0.2359
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRB cache size  6280487, 190994596 req, miss ratio 0.1938, byte miss ratio 0.1938
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRB cache size 12560974, 190994596 req, miss ratio 0.1768, byte miss ratio 0.1768
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst LRB cache size 25121949, 190994596 req, miss ratio 0.1655, byte miss ratio 0.1655
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    31402, 190994596 req, miss ratio 0.6489, byte miss ratio 0.6489
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size    94207, 190994596 req, miss ratio 0.5885, byte miss ratio 0.5885
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   314024, 190994596 req, miss ratio 0.5067, byte miss ratio 0.5067
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size   942073, 190994596 req, miss ratio 0.3428, byte miss ratio 0.3428
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  3140243, 190994596 req, miss ratio 0.2268, byte miss ratio 0.2268
result/graph_feature_service_cache.1.oracleGeneral.sample10.zst S4LRU(25:25:25:25) cache size  6280487, 190994596 req, miss ratio 0.1955, byte miss ratio 0.1955
