result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size       28, 1050312 req, miss ratio 0.7018, byte miss ratio 0.7018
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size       86, 1050312 req, miss ratio 0.3753, byte miss ratio 0.3753
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size      289, 1050312 req, miss ratio 0.0096, byte miss ratio 0.0096
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size      579, 1050312 req, miss ratio 0.0066, byte miss ratio 0.0066
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size     1158, 1050312 req, miss ratio 0.0053, byte miss ratio 0.0053
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d-1 cache size     2316, 1050312 req, miss ratio 0.0044, byte miss ratio 0.0044
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size        8, 1050312 req, miss ratio 0.7146, byte miss ratio 0.7146
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size       28, 1050312 req, miss ratio 0.6485, byte miss ratio 0.6485
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size       86, 1050312 req, miss ratio 0.4591, byte miss ratio 0.4591
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size      289, 1050312 req, miss ratio 0.0475, byte miss ratio 0.0475
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size      579, 1050312 req, miss ratio 0.0061, byte miss ratio 0.0061
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size     1158, 1050312 req, miss ratio 0.0058, byte miss ratio 0.0058
result/tencentBlock.ns22175.oracleGeneral.zst LRB cache size     2316, 1050312 req, miss ratio 0.0039, byte miss ratio 0.0039
result/tencentBlock.ns22175.oracleGeneral.zst S4LRU(25:25:25:25) cache size        8, 1050312 req, miss ratio 0.7104, byte miss ratio 0.7104
result/tencentBlock.ns22175.oracleGeneral.zst S4LRU(25:25:25:25) cache size       28, 1050312 req, miss ratio 0.6808, byte miss ratio 0.6808
result/tencentBlock.ns22175.oracleGeneral.zst S4LRU(25:25:25:25) cache size       86, 1050312 req, miss ratio 0.4941, byte miss ratio 0.4941
result/tencentBlock.ns22175.oracleGeneral.zst S4LRU(25:25:25:25) cache size      289, 1050312 req, miss ratio 0.0094, byte miss ratio 0.0094
result/tencentBlock.ns22175.oracleGeneral.zst S4LRU(25:25:25:25) cache size      579, 1050312 req, miss ratio 0.0078, byte miss ratio 0.0078
result/tencentBlock.ns22175.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1158, 1050312 req, miss ratio 0.0052, byte miss ratio 0.0052
result/tencentBlock.ns22175.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2316, 1050312 req, miss ratio 0.0039, byte miss ratio 0.0039
result/tencentBlock.ns22175.oracleGeneral.zst TwoQ cache size        8, 1050312 req, miss ratio 0.7278, byte miss ratio 0.7278
result/tencentBlock.ns22175.oracleGeneral.zst TwoQ cache size       28, 1050312 req, miss ratio 0.7136, byte miss ratio 0.7136
result/tencentBlock.ns22175.oracleGeneral.zst TwoQ cache size       86, 1050312 req, miss ratio 0.4741, byte miss ratio 0.4741
result/tencentBlock.ns22175.oracleGeneral.zst TwoQ cache size      289, 1050312 req, miss ratio 0.0098, byte miss ratio 0.0098
result/tencentBlock.ns22175.oracleGeneral.zst TwoQ cache size      579, 1050312 req, miss ratio 0.0065, byte miss ratio 0.0065
result/tencentBlock.ns22175.oracleGeneral.zst TwoQ cache size     1158, 1050312 req, miss ratio 0.0057, byte miss ratio 0.0057
result/tencentBlock.ns22175.oracleGeneral.zst TwoQ cache size     2316, 1050312 req, miss ratio 0.0050, byte miss ratio 0.0050
result/tencentBlock.ns22175.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        8, 1050312 req, miss ratio 0.7326, byte miss ratio 0.7326
result/tencentBlock.ns22175.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       28, 1050312 req, miss ratio 0.7323, byte miss ratio 0.7323
result/tencentBlock.ns22175.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       86, 1050312 req, miss ratio 0.7317, byte miss ratio 0.7317
result/tencentBlock.ns22175.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      289, 1050312 req, miss ratio 0.0111, byte miss ratio 0.0111
result/tencentBlock.ns22175.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      579, 1050312 req, miss ratio 0.0069, byte miss ratio 0.0069
result/tencentBlock.ns22175.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1158, 1050312 req, miss ratio 0.0053, byte miss ratio 0.0053
result/tencentBlock.ns22175.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2316, 1050312 req, miss ratio 0.0050, byte miss ratio 0.0050
result/tencentBlock.ns22175.oracleGeneral.zst B-LRU cache size        8, 1050312 req, miss ratio 0.7330, byte miss ratio 0.7330
result/tencentBlock.ns22175.oracleGeneral.zst B-LRU cache size       28, 1050312 req, miss ratio 0.7327, byte miss ratio 0.7327
result/tencentBlock.ns22175.oracleGeneral.zst B-LRU cache size       86, 1050312 req, miss ratio 0.7321, byte miss ratio 0.7321
result/tencentBlock.ns22175.oracleGeneral.zst B-LRU cache size      289, 1050312 req, miss ratio 0.0116, byte miss ratio 0.0116
result/tencentBlock.ns22175.oracleGeneral.zst B-LRU cache size      579, 1050312 req, miss ratio 0.0069, byte miss ratio 0.0069
result/tencentBlock.ns22175.oracleGeneral.zst B-LRU cache size     1158, 1050312 req, miss ratio 0.0065, byte miss ratio 0.0065
result/tencentBlock.ns22175.oracleGeneral.zst B-LRU cache size     2316, 1050312 req, miss ratio 0.0059, byte miss ratio 0.0059
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d cache size        8, 1050312 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d cache size       28, 1050312 req, miss ratio 0.6210, byte miss ratio 0.6210
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d cache size       86, 1050312 req, miss ratio 0.3903, byte miss ratio 0.3903
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d cache size      289, 1050312 req, miss ratio 0.0097, byte miss ratio 0.0097
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d cache size      579, 1050312 req, miss ratio 0.0067, byte miss ratio 0.0067
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d cache size     1158, 1050312 req, miss ratio 0.0048, byte miss ratio 0.0048
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO-d cache size     2316, 1050312 req, miss ratio 0.0047, byte miss ratio 0.0047
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO cache size        8, 1050312 req, miss ratio 1.0000, byte miss ratio 1.0000
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO cache size       28, 1050312 req, miss ratio 0.6209, byte miss ratio 0.6209
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO cache size       86, 1050312 req, miss ratio 0.4028, byte miss ratio 0.4028
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO cache size      289, 1050312 req, miss ratio 0.0097, byte miss ratio 0.0097
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO cache size      579, 1050312 req, miss ratio 0.0067, byte miss ratio 0.0067
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO cache size     1158, 1050312 req, miss ratio 0.0048, byte miss ratio 0.0048
result/tencentBlock.ns22175.oracleGeneral.zst S3FIFO cache size     2316, 1050312 req, miss ratio 0.0047, byte miss ratio 0.0047
