result/tencentBlock.ns21096.oracleGeneral.zst LRU cache size      789, 8585481 req, miss ratio 0.4763, byte miss ratio 0.4763
result/tencentBlock.ns21096.oracleGeneral.zst LRU cache size     2368, 8585481 req, miss ratio 0.4182, byte miss ratio 0.4182
result/tencentBlock.ns21096.oracleGeneral.zst LRU cache size     7896, 8585481 req, miss ratio 0.3550, byte miss ratio 0.3550
result/tencentBlock.ns21096.oracleGeneral.zst LRU cache size    23688, 8585481 req, miss ratio 0.3193, byte miss ratio 0.3193
result/tencentBlock.ns21096.oracleGeneral.zst LRU cache size    78960, 8585481 req, miss ratio 0.2407, byte miss ratio 0.2407
result/tencentBlock.ns21096.oracleGeneral.zst LRU cache size   157920, 8585481 req, miss ratio 0.1649, byte miss ratio 0.1649
result/tencentBlock.ns21096.oracleGeneral.zst LRU cache size   315840, 8585481 req, miss ratio 0.1055, byte miss ratio 0.1055
result/tencentBlock.ns21096.oracleGeneral.zst LRU cache size   631681, 8585481 req, miss ratio 0.0927, byte miss ratio 0.0927
result/tencentBlock.ns21096.oracleGeneral.zst Clock cache size      789, 8585481 req, miss ratio 0.4730, byte miss ratio 0.4730
result/tencentBlock.ns21096.oracleGeneral.zst Clock cache size     2368, 8585481 req, miss ratio 0.4179, byte miss ratio 0.4179
result/tencentBlock.ns21096.oracleGeneral.zst Clock cache size     7896, 8585481 req, miss ratio 0.3535, byte miss ratio 0.3535
result/tencentBlock.ns21096.oracleGeneral.zst Clock cache size    23688, 8585481 req, miss ratio 0.3203, byte miss ratio 0.3203
result/tencentBlock.ns21096.oracleGeneral.zst Clock cache size    78960, 8585481 req, miss ratio 0.2541, byte miss ratio 0.2541
result/tencentBlock.ns21096.oracleGeneral.zst Clock cache size   157920, 8585481 req, miss ratio 0.1758, byte miss ratio 0.1758
result/tencentBlock.ns21096.oracleGeneral.zst Clock cache size   315840, 8585481 req, miss ratio 0.1111, byte miss ratio 0.1111
result/tencentBlock.ns21096.oracleGeneral.zst Clock cache size   631681, 8585481 req, miss ratio 0.0934, byte miss ratio 0.0934
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d-1 cache size      789, 8585481 req, miss ratio 0.4584, byte miss ratio 0.4584
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d-1 cache size     2368, 8585481 req, miss ratio 0.3796, byte miss ratio 0.3796
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d-1 cache size     7896, 8585481 req, miss ratio 0.3333, byte miss ratio 0.3333
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d-1 cache size    23688, 8585481 req, miss ratio 0.3122, byte miss ratio 0.3122
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d-1 cache size    78960, 8585481 req, miss ratio 0.2420, byte miss ratio 0.2420
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d-1 cache size   157920, 8585481 req, miss ratio 0.1649, byte miss ratio 0.1649
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d-1 cache size   315840, 8585481 req, miss ratio 0.1067, byte miss ratio 0.1067
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d-1 cache size   631681, 8585481 req, miss ratio 0.0931, byte miss ratio 0.0931
result/tencentBlock.ns21096.oracleGeneral.zst LRB cache size      789, 8585481 req, miss ratio 0.5470, byte miss ratio 0.5470
result/tencentBlock.ns21096.oracleGeneral.zst LRB cache size     2368, 8585481 req, miss ratio 0.4005, byte miss ratio 0.4005
result/tencentBlock.ns21096.oracleGeneral.zst LRB cache size     7896, 8585481 req, miss ratio 0.3364, byte miss ratio 0.3364
result/tencentBlock.ns21096.oracleGeneral.zst LRB cache size    23688, 8585481 req, miss ratio 0.2898, byte miss ratio 0.2898
result/tencentBlock.ns21096.oracleGeneral.zst LRB cache size    78960, 8585481 req, miss ratio 0.2118, byte miss ratio 0.2118
result/tencentBlock.ns21096.oracleGeneral.zst LRB cache size   157920, 8585481 req, miss ratio 0.1422, byte miss ratio 0.1422
result/tencentBlock.ns21096.oracleGeneral.zst LRB cache size   315840, 8585481 req, miss ratio 0.1014, byte miss ratio 0.1014
result/tencentBlock.ns21096.oracleGeneral.zst LRB cache size   631681, 8585481 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns21096.oracleGeneral.zst S4LRU(25:25:25:25) cache size      789, 8585481 req, miss ratio 0.5087, byte miss ratio 0.5087
result/tencentBlock.ns21096.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2368, 8585481 req, miss ratio 0.4131, byte miss ratio 0.4131
result/tencentBlock.ns21096.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7896, 8585481 req, miss ratio 0.3447, byte miss ratio 0.3447
result/tencentBlock.ns21096.oracleGeneral.zst S4LRU(25:25:25:25) cache size    23688, 8585481 req, miss ratio 0.3242, byte miss ratio 0.3242
result/tencentBlock.ns21096.oracleGeneral.zst S4LRU(25:25:25:25) cache size    78960, 8585481 req, miss ratio 0.2691, byte miss ratio 0.2691
result/tencentBlock.ns21096.oracleGeneral.zst S4LRU(25:25:25:25) cache size   157920, 8585481 req, miss ratio 0.1831, byte miss ratio 0.1831
result/tencentBlock.ns21096.oracleGeneral.zst S4LRU(25:25:25:25) cache size   315840, 8585481 req, miss ratio 0.1078, byte miss ratio 0.1078
result/tencentBlock.ns21096.oracleGeneral.zst S4LRU(25:25:25:25) cache size   631681, 8585481 req, miss ratio 0.0929, byte miss ratio 0.0929
result/tencentBlock.ns21096.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      789, 8585481 req, miss ratio 0.5105, byte miss ratio 0.5105
result/tencentBlock.ns21096.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2368, 8585481 req, miss ratio 0.4332, byte miss ratio 0.4332
result/tencentBlock.ns21096.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7896, 8585481 req, miss ratio 0.3638, byte miss ratio 0.3638
result/tencentBlock.ns21096.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    23688, 8585481 req, miss ratio 0.3282, byte miss ratio 0.3282
result/tencentBlock.ns21096.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    78960, 8585481 req, miss ratio 0.2863, byte miss ratio 0.2863
result/tencentBlock.ns21096.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   157920, 8585481 req, miss ratio 0.2177, byte miss ratio 0.2177
result/tencentBlock.ns21096.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   315840, 8585481 req, miss ratio 0.1328, byte miss ratio 0.1328
result/tencentBlock.ns21096.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   631681, 8585481 req, miss ratio 0.1008, byte miss ratio 0.1008
result/tencentBlock.ns21096.oracleGeneral.zst B-LRU cache size      789, 8585481 req, miss ratio 0.5190, byte miss ratio 0.5190
result/tencentBlock.ns21096.oracleGeneral.zst B-LRU cache size     2368, 8585481 req, miss ratio 0.4627, byte miss ratio 0.4627
result/tencentBlock.ns21096.oracleGeneral.zst B-LRU cache size     7896, 8585481 req, miss ratio 0.4010, byte miss ratio 0.4010
result/tencentBlock.ns21096.oracleGeneral.zst B-LRU cache size    23688, 8585481 req, miss ratio 0.3695, byte miss ratio 0.3695
result/tencentBlock.ns21096.oracleGeneral.zst B-LRU cache size    78960, 8585481 req, miss ratio 0.2907, byte miss ratio 0.2907
result/tencentBlock.ns21096.oracleGeneral.zst B-LRU cache size   157920, 8585481 req, miss ratio 0.2223, byte miss ratio 0.2223
result/tencentBlock.ns21096.oracleGeneral.zst B-LRU cache size   315840, 8585481 req, miss ratio 0.1757, byte miss ratio 0.1757
result/tencentBlock.ns21096.oracleGeneral.zst B-LRU cache size   631681, 8585481 req, miss ratio 0.1683, byte miss ratio 0.1683
result/tencentBlock.ns21096.oracleGeneral.zst TwoQ cache size      789, 8585481 req, miss ratio 0.4528, byte miss ratio 0.4528
result/tencentBlock.ns21096.oracleGeneral.zst TwoQ cache size     2368, 8585481 req, miss ratio 0.3674, byte miss ratio 0.3674
result/tencentBlock.ns21096.oracleGeneral.zst TwoQ cache size     7896, 8585481 req, miss ratio 0.3324, byte miss ratio 0.3324
result/tencentBlock.ns21096.oracleGeneral.zst TwoQ cache size    23688, 8585481 req, miss ratio 0.3056, byte miss ratio 0.3056
result/tencentBlock.ns21096.oracleGeneral.zst TwoQ cache size    78960, 8585481 req, miss ratio 0.2222, byte miss ratio 0.2222
result/tencentBlock.ns21096.oracleGeneral.zst TwoQ cache size   157920, 8585481 req, miss ratio 0.1495, byte miss ratio 0.1495
result/tencentBlock.ns21096.oracleGeneral.zst TwoQ cache size   315840, 8585481 req, miss ratio 0.1165, byte miss ratio 0.1165
result/tencentBlock.ns21096.oracleGeneral.zst TwoQ cache size   631681, 8585481 req, miss ratio 0.1048, byte miss ratio 0.1048
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d cache size      789, 8585481 req, miss ratio 0.4619, byte miss ratio 0.4619
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d cache size     2368, 8585481 req, miss ratio 0.3792, byte miss ratio 0.3792
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d cache size     7896, 8585481 req, miss ratio 0.3333, byte miss ratio 0.3333
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d cache size    23688, 8585481 req, miss ratio 0.3167, byte miss ratio 0.3167
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d cache size    78960, 8585481 req, miss ratio 0.2389, byte miss ratio 0.2389
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d cache size   157920, 8585481 req, miss ratio 0.1645, byte miss ratio 0.1645
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d cache size   315840, 8585481 req, miss ratio 0.1075, byte miss ratio 0.1075
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO-d cache size   631681, 8585481 req, miss ratio 0.0930, byte miss ratio 0.0930
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO cache size      789, 8585481 req, miss ratio 0.4729, byte miss ratio 0.4729
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO cache size     2368, 8585481 req, miss ratio 0.3782, byte miss ratio 0.3782
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO cache size     7896, 8585481 req, miss ratio 0.3336, byte miss ratio 0.3336
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO cache size    23688, 8585481 req, miss ratio 0.3182, byte miss ratio 0.3182
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO cache size    78960, 8585481 req, miss ratio 0.2400, byte miss ratio 0.2400
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO cache size   157920, 8585481 req, miss ratio 0.1599, byte miss ratio 0.1599
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO cache size   315840, 8585481 req, miss ratio 0.1085, byte miss ratio 0.1085
result/tencentBlock.ns21096.oracleGeneral.zst S3FIFO cache size   631681, 8585481 req, miss ratio 0.0930, byte miss ratio 0.0930
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      789, 8585481 req, miss ratio 0.6193, byte miss ratio 0.6193
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2368, 8585481 req, miss ratio 0.5989, byte miss ratio 0.5989
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7896, 8585481 req, miss ratio 0.3812, byte miss ratio 0.3812
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    23688, 8585481 req, miss ratio 0.3056, byte miss ratio 0.3056
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    78960, 8585481 req, miss ratio 0.2096, byte miss ratio 0.2096
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   157920, 8585481 req, miss ratio 0.1415, byte miss ratio 0.1415
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   315840, 8585481 req, miss ratio 0.1120, byte miss ratio 0.1120
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   631681, 8585481 req, miss ratio 0.0973, byte miss ratio 0.0973
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      789, 8585481 req, miss ratio 0.4956, byte miss ratio 0.4956
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2368, 8585481 req, miss ratio 0.3787, byte miss ratio 0.3787
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7896, 8585481 req, miss ratio 0.3346, byte miss ratio 0.3346
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    23688, 8585481 req, miss ratio 0.3395, byte miss ratio 0.3395
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    78960, 8585481 req, miss ratio 0.2102, byte miss ratio 0.2102
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   157920, 8585481 req, miss ratio 0.1390, byte miss ratio 0.1390
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   315840, 8585481 req, miss ratio 0.1087, byte miss ratio 0.1087
result/tencentBlock.ns21096.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   631681, 8585481 req, miss ratio 0.0978, byte miss ratio 0.0978
