result/cdn1_lax.ns27.oracleGeneral.bin.zst Clock cache size    19199, 3502955 req, miss ratio 0.6079, byte miss ratio 0.6079
result/cdn1_lax.ns27.oracleGeneral.bin.zst Clock cache size    63999, 3502955 req, miss ratio 0.3863, byte miss ratio 0.3863
result/cdn1_lax.ns27.oracleGeneral.bin.zst Clock cache size   127999, 3502955 req, miss ratio 0.2697, byte miss ratio 0.2697
result/cdn1_lax.ns27.oracleGeneral.bin.zst Clock cache size   255998, 3502955 req, miss ratio 0.2029, byte miss ratio 0.2029
result/cdn1_lax.ns27.oracleGeneral.bin.zst Clock cache size   511996, 3502955 req, miss ratio 0.1834, byte miss ratio 0.1834
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d-1 cache size      639, 3502955 req, miss ratio 0.8361, byte miss ratio 0.8361
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1919, 3502955 req, miss ratio 0.7896, byte miss ratio 0.7896
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d-1 cache size     6399, 3502955 req, miss ratio 0.6947, byte miss ratio 0.6947
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d-1 cache size    19199, 3502955 req, miss ratio 0.5487, byte miss ratio 0.5487
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d-1 cache size    63999, 3502955 req, miss ratio 0.3471, byte miss ratio 0.3471
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d-1 cache size   127999, 3502955 req, miss ratio 0.2590, byte miss ratio 0.2590
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d-1 cache size   255998, 3502955 req, miss ratio 0.2055, byte miss ratio 0.2055
result/cdn1_lax.ns27.oracleGeneral.bin.zst S3FIFO-d-1 cache size   511996, 3502955 req, miss ratio 0.1834, byte miss ratio 0.1834
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRB cache size      639, 3502955 req, miss ratio 0.8000, byte miss ratio 0.8000
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRB cache size     1919, 3502955 req, miss ratio 0.7514, byte miss ratio 0.7514
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRB cache size     6399, 3502955 req, miss ratio 0.6673, byte miss ratio 0.6673
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRB cache size    19199, 3502955 req, miss ratio 0.5498, byte miss ratio 0.5498
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRB cache size    63999, 3502955 req, miss ratio 0.3994, byte miss ratio 0.3994
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRB cache size   127999, 3502955 req, miss ratio 0.3075, byte miss ratio 0.3075
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRB cache size   255998, 3502955 req, miss ratio 0.2177, byte miss ratio 0.2177
result/cdn1_lax.ns27.oracleGeneral.bin.zst LRB cache size   511996, 3502955 req, miss ratio 0.1833, byte miss ratio 0.1833
result/cdn1_lax.ns27.oracleGeneral.bin.zst B-LRU cache size      639, 3502955 req, miss ratio 0.8460, byte miss ratio 0.8460
result/cdn1_lax.ns27.oracleGeneral.bin.zst B-LRU cache size     1919, 3502955 req, miss ratio 0.8149, byte miss ratio 0.8149
result/cdn1_lax.ns27.oracleGeneral.bin.zst B-LRU cache size     6399, 3502955 req, miss ratio 0.7316, byte miss ratio 0.7316
result/cdn1_lax.ns27.oracleGeneral.bin.zst B-LRU cache size    19199, 3502955 req, miss ratio 0.5937, byte miss ratio 0.5937
