result/cdn2_colo28.ns114.oracleGeneral.zst ARC cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d-1 cache size     1162, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d-1 cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d-1 cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d-1 cache size    34880, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d-1 cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d-1 cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d-1 cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S3FIFO-d-1 cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst LRB cache size     1162, 9861230 req, miss ratio 0.1184, byte miss ratio 0.1184
result/cdn2_colo28.ns114.oracleGeneral.zst LRB cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns114.oracleGeneral.zst LRB cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst LRB cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst LRB cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst LRB cache size   232535, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst LRB cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst LRB cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1162, 9861230 req, miss ratio 0.1183, byte miss ratio 0.1183
result/cdn2_colo28.ns114.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3488, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst S4LRU(25:25:25:25) cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst S4LRU(25:25:25:25) cache size    34880, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst S4LRU(25:25:25:25) cache size   116267, 9861230 req, miss ratio 0.1180, byte miss ratio 0.1180
result/cdn2_colo28.ns114.oracleGeneral.zst S4LRU(25:25:25:25) cache size   232535, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S4LRU(25:25:25:25) cache size   465070, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst S4LRU(25:25:25:25) cache size   930141, 9861230 req, miss ratio 0.1179, byte miss ratio 0.1179
result/cdn2_colo28.ns114.oracleGeneral.zst TwoQ cache size     1162, 9861230 req, miss ratio 0.1184, byte miss ratio 0.1184
result/cdn2_colo28.ns114.oracleGeneral.zst TwoQ cache size     3488, 9861230 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_colo28.ns114.oracleGeneral.zst TwoQ cache size    11626, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
result/cdn2_colo28.ns114.oracleGeneral.zst TwoQ cache size    34880, 9861230 req, miss ratio 0.1181, byte miss ratio 0.1181
